Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.91;4.78;90.88;42.88;30.24;3762.37;20.35;64.30;36.62;14.29;34.50;41.79;39.27;92.66;
10 (s);11.91;4.78;91.37;43.13;30.30;3762.63;20.35;64.30;36.64;14.30;34.52;41.79;39.27;92.37;
15 (s);11.91;4.78;91.35;42.96;30.17;3762.51;20.35;64.30;36.67;14.30;34.53;41.80;39.28;92.37;
20 (s);11.91;4.78;90.66;43.19;30.26;3762.42;20.36;64.32;36.69;14.30;34.53;41.80;39.28;92.74;
25 (s);11.93;4.77;91.37;42.79;30.28;3764.90;20.36;64.31;36.72;14.25;34.52;41.81;39.31;96.46;
30 (s);11.97;4.77;91.36;35.22;30.55;3764.98;20.35;64.33;36.73;14.23;34.52;41.83;39.30;96.54;
35 (s);12.04;4.77;91.35;28.75;30.26;3765.14;20.33;64.36;36.76;14.23;34.54;42.05;39.26;96.68;
40 (s);12.13;4.76;92.34;28.84;30.48;3765.13;20.31;64.42;36.79;14.21;34.54;42.44;39.22;97.03;
45 (s);12.18;4.76;92.51;28.88;30.62;3765.23;20.30;64.49;36.81;14.21;34.53;42.80;39.21;97.12;
50 (s);12.22;4.76;93.55;28.90;30.57;3764.84;20.29;64.55;36.83;14.22;34.53;43.10;39.19;97.26;
55 (s);12.25;4.77;93.55;28.92;30.54;3765.11;20.28;64.58;36.84;14.23;34.53;43.32;39.19;97.24;
60 (s);12.28;4.77;93.60;28.85;30.36;3765.25;20.28;64.60;36.86;14.23;34.53;43.47;39.19;97.42;
65 (s);12.30;4.77;94.29;29.05;30.36;3764.82;20.27;64.63;36.89;14.24;34.53;43.60;39.19;97.39;
70 (s);12.32;4.77;94.29;28.94;30.39;3765.05;20.27;64.66;36.91;14.24;34.53;43.70;39.20;97.36;
75 (s);12.33;4.77;94.30;28.79;30.41;3765.62;20.27;64.68;36.93;14.24;34.54;43.77;39.20;97.45;
80 (s);12.35;4.77;94.30;28.87;30.24;3765.40;20.27;64.71;36.96;14.25;34.54;43.83;39.21;97.60;
85 (s);12.36;4.77;94.31;29.03;30.39;3765.38;20.27;64.73;36.98;14.25;34.55;43.89;39.21;97.63;
90 (s);12.38;4.78;94.29;28.96;30.37;3765.42;20.28;64.76;37.01;14.30;34.56;43.95;39.22;97.43;
95 (s);12.39;4.77;94.30;28.93;30.48;3765.52;20.29;64.78;37.05;14.28;34.57;44.00;39.21;97.56;
100 (s);12.40;4.78;94.29;28.98;30.39;3765.33;20.30;64.81;37.10;14.29;34.59;44.04;39.18;97.64;
105 (s);12.41;4.77;94.30;28.83;30.38;3765.94;20.31;64.83;37.13;14.29;34.61;44.08;39.20;97.62;
110 (s);12.43;4.78;94.31;28.81;30.44;3765.64;20.32;64.86;37.17;14.31;34.62;44.12;39.22;97.77;
115 (s);12.44;4.78;94.28;28.96;30.39;3765.53;20.34;64.86;37.21;14.35;34.62;44.15;39.24;97.84;
120 (s);12.45;4.78;94.29;28.85;30.27;3765.13;20.35;64.88;37.27;14.32;34.62;44.21;39.27;97.84;
125 (s);12.46;4.78;94.29;28.88;30.42;3765.65;20.36;64.89;37.31;14.34;34.62;44.25;39.26;97.94;
130 (s);12.46;4.78;94.54;28.89;30.40;3765.50;20.37;64.89;37.36;14.35;34.61;44.27;39.27;97.96;
135 (s);12.48;4.79;94.29;28.86;30.38;3765.22;20.37;64.88;37.41;14.36;34.61;44.30;39.29;97.87;
140 (s);12.48;4.79;94.30;28.95;30.48;3765.88;20.36;64.89;37.44;14.37;34.61;44.34;39.30;97.88;
145 (s);12.49;4.79;94.29;28.80;30.28;3765.41;20.35;64.92;37.50;14.39;34.63;44.35;39.31;98.03;
150 (s);12.50;4.79;94.29;28.67;30.19;3766.24;20.34;64.94;37.54;14.38;34.63;44.37;39.33;97.99;
155 (s);12.50;4.79;94.48;28.87;30.49;3765.87;20.33;64.97;37.59;14.40;34.62;44.40;39.33;98.09;
160 (s);12.51;4.79;94.53;28.88;30.45;3765.49;20.33;64.99;37.63;14.40;34.63;44.41;39.34;97.91;
165 (s);12.52;4.79;94.54;28.98;30.47;3765.84;20.32;65.03;37.66;14.41;34.65;44.43;39.35;97.97;
170 (s);12.52;4.80;94.54;28.92;30.42;3765.33;20.32;65.04;37.69;14.42;34.66;44.46;39.36;98.05;
175 (s);12.53;4.80;94.55;28.82;30.31;3765.42;20.31;65.07;37.74;14.43;34.66;44.49;39.36;98.20;
180 (s);12.53;4.80;94.54;28.76;30.37;3765.68;20.31;65.10;37.79;14.45;34.67;44.51;39.36;98.00;
185 (s);12.54;4.80;94.54;28.90;30.46;3766.01;20.31;65.12;37.83;14.45;34.66;44.52;39.37;98.22;
190 (s);12.55;4.80;94.53;28.84;30.42;3765.82;20.32;65.15;37.87;14.46;34.65;44.54;39.39;98.17;
195 (s);12.55;4.80;94.53;29.04;30.40;3765.52;20.32;65.17;37.91;14.47;34.66;44.56;39.39;98.09;
200 (s);12.56;4.80;94.54;28.68;30.48;3766.02;20.33;65.19;37.96;14.48;34.68;44.57;39.41;98.24;
205 (s);12.56;4.81;94.54;28.70;30.36;3765.66;20.35;65.20;38.02;14.49;34.70;44.59;39.42;98.21;
210 (s);12.57;4.81;94.54;29.03;30.34;3765.97;20.37;65.20;38.07;14.50;34.70;44.61;39.43;98.14;
215 (s);12.57;4.81;94.54;28.77;30.54;3765.71;20.38;65.21;38.11;14.52;34.67;44.63;39.44;98.40;
220 (s);12.58;4.81;94.30;28.89;30.71;3765.65;20.39;65.22;38.15;14.52;34.67;44.64;39.45;98.14;
225 (s);12.58;4.81;94.29;28.77;30.69;3765.87;20.39;65.24;38.18;14.53;34.67;44.65;39.49;98.41;
230 (s);12.58;4.81;94.30;28.96;30.57;3765.35;20.38;65.26;38.22;14.52;34.68;44.67;39.50;98.23;
236 (s);12.59;4.81;94.29;28.77;30.64;3765.92;20.37;65.27;38.26;14.54;34.69;44.68;39.51;98.36;
241 (s);12.59;4.82;94.28;28.91;30.65;3765.53;20.37;65.28;38.29;14.56;34.68;44.69;39.52;98.34;
246 (s);12.60;4.82;94.31;28.91;30.76;3765.72;20.36;65.32;38.32;14.56;34.68;44.71;39.52;98.40;
251 (s);12.60;4.82;94.31;28.73;30.61;3765.75;20.36;65.34;38.36;14.56;34.69;44.72;39.51;98.40;
256 (s);12.60;4.82;94.29;28.81;30.61;3765.77;20.36;65.35;38.39;14.58;34.71;44.74;39.52;98.42;
261 (s);12.61;4.82;94.29;28.75;30.55;3765.97;20.35;65.36;38.42;14.58;34.72;44.77;39.52;98.33;
266 (s);12.61;4.82;94.29;28.89;30.96;3766.11;20.35;65.36;38.46;14.59;34.74;44.77;39.54;98.57;
271 (s);12.62;4.82;94.29;28.79;30.79;3765.53;20.36;65.38;38.49;14.60;34.73;44.78;39.56;98.27;
276 (s);12.62;4.82;93.81;28.69;30.64;3766.38;20.36;65.41;38.52;14.60;34.74;44.80;39.56;98.54;
281 (s);12.63;4.82;93.80;28.74;30.56;3765.85;20.37;65.43;38.55;14.60;34.75;44.82;39.56;98.35;
286 (s);12.63;4.82;93.82;28.73;30.67;3766.00;20.39;65.43;38.58;14.61;34.75;44.83;39.58;98.47;
291 (s);12.63;4.82;92.81;28.81;30.53;3765.76;20.40;65.43;38.61;14.61;34.75;44.85;39.60;98.49;
296 (s);12.64;4.82;92.76;28.71;30.47;3765.96;20.40;65.43;38.62;14.61;34.75;44.86;39.61;98.46;
301 (s);12.64;4.83;91.61;28.77;30.76;3766.04;20.40;65.45;38.64;14.62;34.75;44.87;39.60;98.62;
306 (s);12.64;4.83;90.90;28.72;30.72;3766.05;20.39;65.46;38.66;14.62;34.75;44.88;39.61;98.52;
311 (s);12.65;4.83;90.65;28.81;30.78;3765.95;20.38;65.49;38.67;14.62;34.76;44.89;39.61;98.42;
316 (s);12.65;4.83;90.65;28.78;30.71;3765.93;20.37;65.49;38.69;14.63;34.77;44.90;39.62;98.67;
321 (s);12.66;4.83;90.65;28.73;30.56;3765.57;20.37;65.51;38.70;14.63;34.78;44.91;39.63;98.54;
