Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);12.53;4.57;78.32;175.93;373.59;3372.08;19.47;63.37;37.46;12.94;27.93;45.74;19.29;90.27;
20 (s);12.52;4.57;79.31;175.45;364.58;3372.17;19.46;63.37;37.51;12.91;27.93;45.71;19.26;90.43;
30 (s);12.52;4.56;80.51;170.95;369.80;3371.90;19.45;63.38;37.55;12.91;27.94;45.70;19.23;90.41;
40 (s);12.51;4.56;81.22;171.82;368.49;3372.14;19.43;63.40;37.57;12.91;27.95;45.69;19.23;89.88;
50 (s);12.51;4.57;81.23;174.22;367.44;3372.12;19.42;63.42;37.59;12.91;27.95;45.69;19.21;89.22;
60 (s);12.50;4.56;81.23;174.64;368.53;3372.08;19.41;63.42;37.61;12.90;27.95;45.70;19.20;88.19;
70 (s);12.50;4.57;81.92;171.18;367.36;3372.18;19.38;63.42;37.62;12.92;27.95;45.68;19.19;87.72;
80 (s);12.50;4.56;81.96;170.02;365.34;3372.13;19.37;63.43;37.63;12.91;27.95;45.67;19.18;87.59;
90 (s);12.50;4.57;81.95;173.53;364.84;3372.24;19.37;63.45;37.63;12.91;27.96;45.67;19.17;87.62;
100 (s);12.49;4.57;82.18;173.44;368.59;3372.18;19.36;63.46;37.64;12.93;27.96;45.66;19.16;87.70;
110 (s);12.49;4.57;82.19;173.30;369.36;3372.16;19.36;63.45;37.66;12.93;27.98;45.65;19.15;87.94;
120 (s);12.49;4.57;81.95;174.48;368.01;3371.93;19.37;63.47;37.67;12.94;27.99;45.65;19.13;88.46;
130 (s);12.49;4.57;81.96;174.15;368.89;3372.11;19.36;63.44;37.67;12.96;28.00;45.66;19.13;88.89;
141 (s);12.49;4.57;82.20;174.51;369.55;3371.87;19.36;63.45;37.69;12.97;28.00;45.65;19.14;89.58;
151 (s);12.49;4.58;82.19;176.97;370.58;3372.12;19.35;63.46;37.69;12.98;28.00;45.64;19.13;90.18;
161 (s);12.49;4.58;81.95;173.25;367.79;3371.95;19.35;63.48;37.70;12.99;28.01;45.65;19.12;90.47;
171 (s);12.49;4.58;82.20;172.42;367.23;3371.84;19.34;63.46;37.72;13.01;28.02;45.65;19.12;89.74;
181 (s);12.49;4.58;82.18;172.13;367.21;3372.28;19.34;63.46;37.73;13.02;28.02;45.67;19.13;88.50;
191 (s);12.49;4.58;82.69;174.61;372.17;3372.43;19.33;63.48;37.74;13.02;28.01;45.67;19.13;87.76;
201 (s);12.49;4.58;82.19;174.72;367.16;3372.33;19.32;63.46;37.74;13.02;28.00;45.68;19.12;88.26;
211 (s);12.50;4.59;82.17;175.19;367.72;3372.28;19.31;63.50;37.74;13.05;28.00;45.68;19.11;89.10;
221 (s);12.49;4.59;82.19;170.58;367.42;3372.14;19.31;63.51;37.75;13.05;28.00;45.69;19.12;90.42;
231 (s);12.49;4.59;82.19;173.09;366.98;3372.15;19.29;63.49;37.76;13.05;28.01;45.69;19.10;90.17;
241 (s);12.49;4.59;82.20;169.98;363.18;3372.13;19.28;63.48;37.76;13.05;28.01;45.69;19.10;87.88;
251 (s);12.49;4.59;82.19;171.75;366.86;3372.01;19.28;63.51;37.77;13.07;28.00;45.69;19.09;88.46;
261 (s);12.49;4.59;82.18;175.75;367.64;3372.28;19.28;63.51;37.79;13.08;27.99;45.68;19.09;90.11;
271 (s);12.49;4.59;82.18;171.73;368.76;3372.10;19.27;63.50;37.80;13.10;27.99;45.70;19.08;90.34;
281 (s);12.49;4.59;82.19;173.55;369.21;3372.24;19.26;63.51;37.81;13.10;28.01;45.71;19.08;87.79;
291 (s);12.49;4.60;82.18;172.97;369.74;3371.86;19.25;63.54;37.80;13.12;28.03;45.71;19.07;88.95;
301 (s);12.49;4.59;82.19;171.16;370.57;3371.91;19.24;63.54;37.81;13.10;28.05;45.71;19.09;90.56;
311 (s);12.49;4.60;82.19;173.46;369.47;3372.15;19.24;63.54;37.82;13.12;28.07;45.72;19.09;88.71;
321 (s);12.50;4.60;82.19;175.75;367.54;3372.19;19.24;63.53;37.81;13.13;28.08;45.72;19.09;88.33;
331 (s);12.50;4.60;82.17;172.57;367.66;3372.14;19.23;63.51;37.81;13.15;28.07;45.71;19.09;90.62;
342 (s);12.50;4.60;82.18;170.80;368.08;3371.93;19.23;63.51;37.81;13.16;28.07;45.74;19.08;88.30;
352 (s);12.50;4.60;81.23;172.04;366.78;3372.13;19.23;63.52;37.80;13.17;28.08;45.75;19.07;89.47;
362 (s);12.51;4.60;80.53;172.09;367.04;3371.87;19.23;63.51;37.78;13.16;28.08;45.75;19.07;89.57;
372 (s);12.51;4.60;79.78;171.04;366.54;3372.08;19.23;63.49;37.75;13.15;28.08;45.75;19.06;88.73;
382 (s);12.51;4.60;74.94;173.65;370.54;3372.13;19.22;63.49;37.74;13.16;28.07;45.76;19.04;90.76;
392 (s);12.51;4.60;74.69;175.93;369.86;3372.20;19.21;63.50;37.74;13.17;28.08;45.76;19.03;87.86;
402 (s);12.51;4.60;74.70;170.78;367.74;3372.25;19.20;63.52;37.74;13.16;28.08;45.77;19.03;90.52;
412 (s);12.51;4.60;72.59;170.93;369.61;3372.19;19.20;63.51;37.75;13.15;28.09;45.78;19.02;88.38;
422 (s);12.51;4.60;74.13;172.49;370.47;3372.06;19.20;63.53;37.77;13.16;28.09;45.78;19.01;89.43;
432 (s);12.51;4.60;73.73;170.47;368.57;3372.05;19.20;63.52;37.77;13.15;28.10;45.78;19.02;90.08;
442 (s);12.51;4.60;73.73;171.05;368.87;3372.26;19.20;63.51;37.77;13.16;28.12;45.78;19.02;88.75;
452 (s);12.51;4.60;73.72;175.48;369.58;3372.39;19.20;63.52;37.76;13.15;28.13;45.78;19.03;90.73;
462 (s);12.52;4.60;74.46;172.25;367.99;3372.42;19.20;63.50;37.77;13.14;28.15;45.80;19.03;88.18;
472 (s);12.52;4.60;74.69;174.27;366.64;3372.11;19.20;63.52;37.76;13.16;28.16;45.80;19.03;90.76;
482 (s);12.52;4.60;74.70;172.23;364.72;3372.11;19.20;63.50;37.75;13.16;28.13;45.81;19.04;87.74;
492 (s);12.52;4.60;74.68;173.28;364.78;3372.19;19.19;63.53;37.75;13.15;28.11;45.81;19.04;90.53;
502 (s);12.53;4.60;74.70;171.42;368.16;3372.54;19.19;63.56;37.75;13.16;28.12;45.81;19.04;87.89;
512 (s);12.53;4.60;74.96;172.80;369.25;3372.55;19.19;63.56;37.75;13.17;28.13;45.82;19.02;90.39;
522 (s);12.53;4.60;74.95;175.31;367.22;3372.41;19.19;63.54;37.74;13.16;28.15;45.84;19.00;88.03;
532 (s);12.53;4.60;74.93;171.39;370.53;3372.42;19.19;63.52;37.72;13.16;28.16;45.83;19.00;90.45;
543 (s);12.54;4.60;74.94;173.97;366.43;3372.27;19.19;63.52;37.70;13.17;28.16;45.83;19.00;87.78;
553 (s);12.54;4.60;74.95;174.10;369.97;3372.43;19.18;63.52;37.71;13.17;28.16;45.85;19.02;90.92;
563 (s);12.54;4.60;74.93;174.12;365.18;3372.25;19.19;63.53;37.68;13.16;28.17;45.85;19.01;88.23;
573 (s);12.55;4.60;74.83;171.62;363.30;3372.41;19.19;63.53;37.67;13.15;28.18;45.86;19.01;90.74;
583 (s);12.55;4.60;74.46;171.29;367.27;3372.25;19.19;63.53;37.67;13.16;28.20;45.87;19.02;88.78;
593 (s);12.55;4.60;73.97;175.88;369.27;3372.54;19.20;63.53;37.64;13.15;28.22;45.87;19.03;89.41;
603 (s);12.56;4.60;73.96;173.06;364.18;3372.38;19.20;63.52;37.64;13.15;28.22;45.87;19.03;89.77;
613 (s);12.56;4.60;73.94;174.82;368.61;3372.27;19.20;63.53;37.64;13.14;28.22;45.88;19.05;88.35;
623 (s);12.55;4.60;73.97;174.58;368.24;3372.51;19.20;63.54;37.64;13.15;28.21;45.90;19.06;90.52;
633 (s);12.55;4.60;73.96;175.92;368.46;3372.19;19.20;63.51;37.64;13.14;28.20;45.90;19.06;87.84;
643 (s);12.56;4.60;73.95;173.96;369.28;3372.05;19.20;63.53;37.63;13.14;28.21;45.91;19.06;90.85;
653 (s);12.56;4.60;73.94;170.00;369.08;3372.31;19.19;63.53;37.64;13.13;28.23;45.93;19.06;88.24;
663 (s);12.56;4.60;73.97;172.91;369.40;3372.50;19.18;63.53;37.63;13.13;28.25;45.93;19.07;90.69;
673 (s);12.56;4.60;73.95;173.15;366.75;3372.22;19.18;63.55;37.62;13.13;28.25;45.91;19.08;89.13;
683 (s);12.56;4.60;73.95;174.46;369.66;3372.27;19.19;63.57;37.63;13.12;28.25;45.91;19.08;89.20;
693 (s);12.56;4.60;73.96;171.97;368.77;3372.23;19.20;63.59;37.64;13.13;28.24;45.91;19.09;90.18;
703 (s);12.57;4.60;73.96;174.99;370.21;3372.48;19.21;63.58;37.64;13.11;28.25;45.92;19.09;87.85;
713 (s);12.57;4.60;73.96;170.99;364.27;3372.25;19.21;63.56;37.64;13.12;28.25;45.93;19.09;91.03;
723 (s);12.57;4.60;73.95;170.61;369.21;3372.11;19.22;63.56;37.64;13.12;28.25;45.94;19.09;88.54;
734 (s);12.57;4.60;73.98;177.27;369.86;3372.23;19.22;63.55;37.64;13.12;28.26;45.95;19.10;90.17;
744 (s);12.57;4.60;73.96;170.88;367.56;3372.23;19.23;63.56;37.63;13.12;28.27;45.94;19.10;89.79;
754 (s);12.57;4.60;73.95;175.18;368.36;3372.22;19.23;63.58;37.64;13.11;28.28;45.94;19.11;87.96;
764 (s);12.57;4.60;73.96;176.73;370.53;3372.22;19.24;63.57;37.63;13.11;28.29;45.93;19.11;90.89;
774 (s);12.58;4.59;73.96;173.94;367.16;3372.17;19.24;63.58;37.63;13.11;28.29;45.95;19.10;88.45;
784 (s);12.58;4.60;73.96;172.57;370.09;3372.27;19.24;63.60;37.64;13.11;28.27;45.95;19.11;89.89;
794 (s);12.58;4.59;73.96;173.24;370.22;3372.20;19.25;63.58;37.64;13.11;28.27;45.96;19.12;89.56;
804 (s);12.58;4.59;73.95;173.50;366.16;3372.02;19.26;63.57;37.63;13.11;28.26;45.97;19.11;88.00;
814 (s);12.58;4.59;73.97;173.41;367.19;3372.35;19.26;63.54;37.64;13.10;28.26;45.96;19.12;90.81;
824 (s);12.58;4.59;73.95;174.65;369.01;3372.36;19.27;63.57;37.65;13.11;28.27;45.96;19.12;88.03;
834 (s);12.58;4.59;73.72;168.73;365.48;3372.43;19.26;63.58;37.64;13.10;28.29;45.96;19.12;90.83;
844 (s);12.58;4.59;73.72;170.24;365.63;3372.23;19.26;63.59;37.64;13.10;28.30;45.96;19.12;89.29;
854 (s);12.58;4.59;73.71;174.20;368.31;3372.23;19.27;63.57;37.64;13.09;28.31;45.97;19.13;88.51;
