Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.33;4.35;127.30;12.29;19.77;3533.58;19.31;32.46;27.70;11.47;21.92;30.17;33.29;74.00;
20 (s);8.40;4.31;104.84;12.18;19.59;3534.00;19.14;32.74;28.18;11.20;21.93;30.45;32.92;74.02;
30 (s);8.46;4.28;107.96;12.20;19.47;3533.97;18.99;32.96;28.57;10.99;21.94;30.71;32.56;74.25;
40 (s);8.50;4.26;107.61;12.19;19.66;3533.92;18.84;33.19;28.95;10.80;21.94;30.98;32.22;74.36;
50 (s);8.55;4.24;116.61;12.16;19.68;3632.30;18.72;33.39;29.25;10.64;21.95;31.18;31.96;74.67;
60 (s);8.59;4.21;131.44;12.13;19.31;3632.20;18.60;33.56;29.52;10.50;21.96;31.36;31.75;74.86;
70 (s);8.62;4.20;119.13;12.19;19.73;3632.52;18.48;33.75;29.78;10.36;21.97;31.55;31.51;75.08;
80 (s);8.66;4.17;100.31;12.08;19.32;3632.58;18.37;33.90;29.98;10.21;21.98;31.71;31.31;75.00;
90 (s);8.69;4.16;117.09;12.02;19.49;3632.87;18.26;34.06;30.16;10.10;21.99;31.86;31.11;74.99;
100 (s);8.72;4.14;117.37;12.27;19.27;3632.92;18.15;34.20;30.36;9.98;21.99;32.00;30.94;75.02;
110 (s);8.75;4.11;107.50;12.19;19.54;3736.55;18.05;34.32;30.53;9.78;22.00;32.12;30.79;72.18;
120 (s);8.77;4.10;115.48;12.04;19.41;3736.50;17.91;34.45;30.69;9.66;22.00;32.24;30.54;72.49;
131 (s);8.80;4.08;103.52;12.26;19.61;3737.62;17.82;34.55;30.83;9.55;22.00;32.34;30.36;72.78;
141 (s);8.82;4.07;119.40;12.10;19.52;3736.90;17.73;34.65;30.94;9.46;22.00;32.44;30.23;72.65;
151 (s);8.84;4.06;108.65;12.30;19.51;3737.57;17.64;34.76;31.07;9.40;22.00;32.54;30.10;72.97;
161 (s);8.85;4.05;123.98;12.18;19.36;3737.79;17.57;34.87;31.18;9.34;21.99;32.62;30.01;73.29;
171 (s);8.87;4.07;142.44;12.33;19.70;3737.97;17.49;34.97;31.30;9.44;21.99;32.70;29.91;73.38;
181 (s);8.89;4.07;131.18;12.22;19.60;3737.92;17.46;35.07;31.37;9.44;21.99;32.77;29.91;73.69;
191 (s);8.91;4.06;115.65;12.22;19.40;3738.16;17.42;35.16;31.46;9.42;22.00;32.86;29.92;73.86;
201 (s);8.92;4.06;128.04;12.16;19.48;3738.28;17.37;35.27;31.55;9.39;22.00;32.93;29.90;74.14;
211 (s);8.94;4.06;125.36;11.86;19.46;3738.55;17.33;35.37;31.64;9.37;22.01;33.00;29.87;74.22;
221 (s);8.96;4.06;113.87;11.93;19.36;3738.80;17.29;35.46;31.73;9.38;22.02;33.09;29.85;74.09;
231 (s);8.98;4.06;121.83;11.87;19.60;3738.75;17.24;35.56;31.82;9.37;22.03;33.16;29.83;74.49;
241 (s);8.99;4.06;114.77;11.86;19.51;3739.40;17.21;35.66;31.90;9.38;22.04;33.23;29.83;74.55;
251 (s);9.01;4.06;108.91;11.95;19.33;3738.75;17.16;35.77;31.97;9.37;22.05;33.30;29.79;74.87;
