Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.66;4.27;70.82;220.91;330.06;3370.94;17.45;62.16;35.65;10.91;26.65;42.71;17.08;85.26;
20 (s);11.64;4.27;70.84;225.64;327.67;3370.90;17.45;62.11;35.65;10.90;26.64;42.56;17.07;84.93;
30 (s);11.61;4.27;70.36;225.93;326.83;3370.68;17.46;62.11;35.62;10.89;26.63;42.44;17.08;85.33;
40 (s);11.59;4.27;69.86;221.67;327.99;3370.90;17.45;62.10;35.58;10.88;26.63;42.34;17.08;86.04;
50 (s);11.57;4.27;69.85;224.78;326.74;3370.80;17.45;62.06;35.55;10.86;26.66;42.26;17.06;84.80;
60 (s);11.56;4.26;69.75;224.09;324.52;3370.76;17.44;62.03;35.52;10.85;26.68;42.18;17.06;85.99;
70 (s);11.55;4.26;69.62;222.48;326.48;3370.75;17.45;62.03;35.50;10.85;26.70;42.13;17.06;84.70;
80 (s);11.54;4.26;69.36;224.04;331.94;3370.48;17.46;62.04;35.45;10.85;26.72;42.08;17.06;85.60;
90 (s);11.53;4.26;69.86;224.81;325.88;3370.52;17.46;62.04;35.42;10.85;26.71;42.06;17.07;85.66;
100 (s);11.52;4.27;69.87;224.23;325.42;3370.57;17.46;62.02;35.39;10.86;26.71;42.02;17.08;84.62;
110 (s);11.51;4.26;69.86;222.96;326.94;3370.66;17.47;61.97;35.34;10.84;26.72;41.98;17.08;85.25;
120 (s);11.50;4.26;69.88;224.81;331.78;3370.41;17.47;61.96;35.30;10.83;26.72;41.95;17.08;85.70;
130 (s);11.50;4.26;69.85;224.61;326.42;3370.51;17.47;61.93;35.27;10.83;26.71;41.91;17.08;85.61;
140 (s);11.49;4.26;69.87;223.62;326.50;3370.37;17.47;61.90;35.22;10.83;26.71;41.89;17.08;85.22;
151 (s);11.48;4.26;69.86;226.24;326.15;3370.75;17.48;61.89;35.18;10.81;26.71;41.88;17.08;84.82;
161 (s);11.48;4.26;69.85;222.88;326.76;3370.75;17.47;61.89;35.13;10.82;26.72;41.86;17.08;84.53;
171 (s);11.47;4.26;70.36;226.80;326.34;3370.87;17.48;61.87;35.08;10.82;26.72;41.83;17.07;84.68;
181 (s);11.47;4.26;70.60;224.47;326.41;3370.93;17.47;61.83;35.05;10.80;26.71;41.81;17.07;84.82;
191 (s);11.46;4.26;70.84;222.98;328.02;3370.91;17.47;61.83;35.02;10.79;26.71;41.79;17.07;85.14;
201 (s);11.46;4.26;70.83;223.09;324.52;3370.77;17.47;61.83;34.99;10.80;26.72;41.77;17.07;85.20;
211 (s);11.45;4.26;70.82;224.87;325.33;3370.70;17.47;61.80;34.96;10.82;26.72;41.76;17.07;85.25;
221 (s);11.45;4.26;70.82;223.98;326.31;3370.73;17.48;61.79;34.93;10.79;26.71;41.75;17.07;85.26;
231 (s);11.45;4.26;70.84;223.07;322.77;3370.58;17.48;61.79;34.90;10.79;26.70;41.73;17.06;85.27;
241 (s);11.44;4.26;71.56;224.92;327.24;3370.73;17.48;61.79;34.89;10.79;26.71;41.73;17.07;85.33;
251 (s);11.44;4.26;71.55;224.00;325.33;3370.86;17.48;61.75;34.88;10.81;26.73;41.70;17.06;85.19;
