Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.94;5.69;62.12;334.04;675.67;2040.84;26.20;56.56;31.72;19.82;31.56;41.82;26.50;51.86;
10 (s);11.94;5.69;62.37;334.95;672.83;2041.08;26.20;56.56;31.71;19.82;31.56;41.83;26.50;52.01;
15 (s);11.94;5.69;62.37;332.63;675.59;2040.92;26.20;56.55;31.72;19.81;31.55;41.83;26.50;51.36;
20 (s);11.94;5.69;62.37;333.64;674.02;2041.02;26.19;56.55;31.72;19.81;31.56;41.83;26.51;51.98;
25 (s);11.94;5.69;62.37;335.64;677.23;2040.77;26.19;56.55;31.73;19.81;31.56;41.83;26.51;52.11;
30 (s);11.94;5.68;62.37;335.22;672.50;2040.90;26.18;56.55;31.73;19.81;31.57;41.82;26.51;51.25;
35 (s);11.95;5.69;62.38;335.07;676.19;2041.00;26.18;56.54;31.73;19.81;31.58;41.83;26.51;52.04;
40 (s);11.94;5.69;62.36;335.37;679.25;2040.96;26.18;56.55;31.72;19.81;31.58;41.83;26.51;51.80;
45 (s);11.95;5.69;62.37;335.61;675.02;2040.92;26.18;56.55;31.71;19.82;31.58;41.83;26.51;51.38;
50 (s);11.95;5.69;62.37;335.54;680.63;2040.89;26.19;56.56;31.72;19.82;31.59;41.83;26.51;52.12;
55 (s);11.95;5.69;62.39;335.79;677.74;2041.08;26.19;56.55;31.72;19.82;31.60;41.83;26.52;51.60;
60 (s);11.95;5.69;62.37;335.30;677.34;2038.64;26.19;56.53;31.73;19.83;31.60;41.84;26.52;51.58;
65 (s);11.95;5.69;62.37;334.45;674.37;2038.57;26.20;56.54;31.72;19.82;31.60;41.84;26.52;52.21;
70 (s);11.95;5.69;62.35;333.60;674.39;2039.02;26.20;56.53;31.72;19.82;31.61;41.84;26.53;51.39;
75 (s);11.95;5.69;62.36;333.93;674.66;2039.61;26.21;56.53;31.72;19.83;31.61;41.85;26.53;51.72;
80 (s);11.95;5.69;62.37;334.98;677.09;2039.63;26.21;56.53;31.73;19.83;31.60;41.86;26.53;52.10;
