Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.96;4.39;51.94;172.09;425.73;3371.34;17.84;61.79;34.15;11.72;27.24;43.80;18.70;87.11;
20 (s);11.98;4.39;51.94;172.46;426.47;3371.13;17.86;61.81;34.11;11.69;27.25;43.85;18.72;86.66;
30 (s);11.99;4.39;51.69;170.81;425.76;3371.39;17.88;61.82;34.07;11.70;27.25;43.90;18.76;86.31;
40 (s);12.01;4.38;51.20;172.33;424.52;3371.53;17.91;61.85;34.06;11.68;27.25;43.95;18.80;86.30;
50 (s);12.03;4.38;50.96;169.99;426.05;3371.31;17.94;61.85;34.07;11.67;27.25;44.01;18.84;86.31;
60 (s);12.05;4.38;50.97;173.87;425.56;3371.41;17.97;61.87;34.10;11.68;27.24;44.04;18.88;86.46;
70 (s);12.06;4.38;50.61;172.61;426.41;3371.46;18.00;61.86;34.09;11.65;27.24;44.08;18.90;87.09;
80 (s);12.08;4.38;50.97;174.20;429.98;3371.48;18.04;61.90;34.10;11.64;27.26;44.12;18.93;87.96;
90 (s);12.10;4.38;50.71;172.38;425.79;3371.40;18.07;61.92;34.10;11.62;27.27;44.16;18.96;87.83;
100 (s);12.12;4.38;50.94;171.69;424.70;3371.28;18.10;61.95;34.11;11.63;27.28;44.22;18.99;86.44;
110 (s);12.14;4.37;50.77;169.88;423.48;3371.37;18.13;61.97;34.12;11.59;27.28;44.26;19.02;87.11;
120 (s);12.16;4.37;51.21;170.30;424.91;3371.48;18.15;61.98;34.15;11.60;27.28;44.31;19.05;88.24;
130 (s);12.19;4.37;51.70;174.84;426.36;3371.51;18.19;61.96;34.19;11.58;27.29;44.35;19.05;86.33;
140 (s);12.21;4.37;51.93;176.11;426.52;3371.20;18.22;61.99;34.22;11.60;27.31;44.39;19.06;88.24;
151 (s);12.23;4.37;52.43;172.44;429.75;3371.61;18.25;62.04;34.25;11.61;27.30;44.42;19.09;87.69;
