Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);12.14;4.65;119.47;160.79;298.71;3457.50;20.58;59.55;43.63;13.46;29.32;45.04;19.82;90.38;
2 (s);12.15;4.65;124.08;161.95;298.07;3457.69;20.58;59.56;43.64;13.47;29.32;45.05;19.82;88.28;
3 (s);12.15;4.65;118.92;162.45;298.81;3457.47;20.58;59.58;43.65;13.46;29.32;45.06;19.82;90.33;
4 (s);12.16;4.65;130.32;159.69;296.72;3457.69;20.59;59.59;43.68;13.46;29.33;45.09;19.81;89.07;
5 (s);12.17;4.65;121.66;158.93;300.59;3457.71;20.59;59.61;43.71;13.46;29.32;45.11;19.81;89.32;
6 (s);12.17;4.65;124.85;161.64;299.11;3457.73;20.59;59.62;43.74;13.48;29.32;45.13;19.81;89.91;
7 (s);12.18;4.65;118.36;162.50;299.02;3457.72;20.59;59.64;43.76;13.48;29.33;45.15;19.81;88.18;
8 (s);12.18;4.65;127.16;162.13;297.31;3457.63;20.59;59.65;43.78;13.48;29.32;45.17;19.81;90.50;
9 (s);12.19;4.65;121.71;164.59;302.38;3457.71;20.59;59.65;43.79;13.47;29.32;45.17;19.81;88.50;
10 (s);12.20;4.65;122.93;166.27;300.23;3457.89;20.59;59.67;43.82;13.47;29.32;45.20;19.81;90.07;
11 (s);12.20;4.65;122.24;164.87;299.55;3457.88;20.59;59.69;43.85;13.46;29.32;45.23;19.81;89.81;
12 (s);12.21;4.65;123.73;168.52;299.64;3457.74;20.59;59.70;43.88;13.47;29.32;45.25;19.81;88.43;
13 (s);12.21;4.65;126.84;163.56;298.63;3457.60;20.59;59.71;43.91;13.47;29.32;45.28;19.80;90.66;
14 (s);12.22;4.65;112.37;165.89;299.16;3457.79;20.59;59.72;43.92;13.48;29.32;45.30;19.81;88.56;
15 (s);12.22;4.65;125.95;163.83;298.09;3457.67;20.59;59.72;43.93;13.48;29.32;45.30;19.81;89.97;
16 (s);12.23;4.65;118.60;167.06;297.67;3457.78;20.59;59.73;43.95;13.48;29.32;45.33;19.81;89.95;
17 (s);12.23;4.65;133.10;162.64;298.26;3457.77;20.59;59.74;43.97;13.49;29.32;45.36;19.81;88.26;
18 (s);12.24;4.65;110.85;162.42;299.38;3457.78;20.59;59.75;43.99;13.48;29.32;45.39;19.81;90.70;
19 (s);12.24;4.65;123.35;167.95;297.36;3457.73;20.59;59.76;44.01;13.49;29.32;45.42;19.81;88.96;
20 (s);12.25;4.65;118.33;164.57;298.22;3457.73;20.59;59.77;44.03;13.48;29.32;45.45;19.81;89.58;
21 (s);12.26;4.65;127.38;162.72;300.25;3457.57;20.59;59.77;44.03;13.50;29.32;45.45;19.81;90.38;
22 (s);12.26;4.65;116.60;162.74;301.56;3457.73;20.59;59.78;44.05;13.48;29.32;45.48;19.81;88.35;
23 (s);12.27;4.65;122.41;163.97;300.01;3457.81;20.58;59.79;44.07;13.50;29.32;45.50;19.82;90.67;
24 (s);12.27;4.65;123.63;166.49;298.57;3457.72;20.58;59.80;44.09;13.50;29.32;45.53;19.82;89.59;
25 (s);12.28;4.65;113.79;164.98;298.35;3457.76;20.58;59.82;44.11;13.50;29.31;45.56;19.82;88.68;
26 (s);12.28;4.65;124.55;166.77;299.36;3457.91;20.58;59.83;44.13;13.50;29.31;45.58;19.82;90.85;
27 (s);12.29;4.66;113.61;165.11;296.81;3457.81;20.58;59.83;44.13;13.51;29.31;45.58;19.82;88.84;
28 (s);12.29;4.65;131.29;165.32;300.93;3457.79;20.58;59.84;44.15;13.51;29.31;45.61;19.82;89.74;
29 (s);12.30;4.65;122.15;166.01;298.14;3457.65;20.59;59.85;44.17;13.51;29.31;45.63;19.82;90.56;
30 (s);12.30;4.66;123.33;159.93;298.23;3457.82;20.59;59.86;44.19;13.52;29.31;45.66;19.83;88.47;
31 (s);12.31;4.66;122.64;164.68;298.48;3457.84;20.59;59.87;44.21;13.52;29.31;45.68;19.83;90.56;
32 (s);12.32;4.66;117.73;163.28;300.12;3457.80;20.59;59.88;44.24;13.52;29.30;45.70;19.83;90.24;
33 (s);12.32;4.66;123.63;166.07;300.56;3457.76;20.59;59.88;44.24;13.53;29.30;45.70;19.83;88.40;
34 (s);12.33;4.66;128.81;162.78;300.01;3457.85;20.59;59.90;44.26;13.53;29.30;45.72;19.83;90.93;
35 (s);12.33;4.66;119.03;162.30;298.60;3457.67;20.59;59.91;44.28;13.52;29.30;45.74;19.84;89.90;
36 (s);12.34;4.66;120.53;164.40;296.93;3457.81;20.59;59.92;44.31;13.53;29.30;45.76;19.84;88.52;
