Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.65;4.13;117.33;195.20;308.67;2813.88;18.27;47.98;35.27;9.92;24.40;36.43;17.18;63.84;
2 (s);9.65;4.13;106.27;194.07;310.05;2813.96;18.27;47.99;35.29;9.91;24.40;36.44;17.19;63.93;
3 (s);9.65;4.13;119.74;191.99;310.94;2813.86;18.27;48.00;35.30;9.92;24.40;36.46;17.19;63.87;
4 (s);9.66;4.13;105.97;193.41;309.32;2813.92;18.28;48.01;35.32;9.92;24.40;36.47;17.19;64.19;
5 (s);9.66;4.14;117.77;193.33;312.03;2813.94;18.28;48.02;35.33;9.93;24.40;36.49;17.19;64.27;
6 (s);9.66;4.14;107.82;198.44;313.10;2813.94;18.28;48.03;35.33;9.94;24.40;36.49;17.19;64.08;
7 (s);9.66;4.14;109.03;192.14;310.70;2813.86;18.28;48.04;35.34;9.95;24.40;36.51;17.19;64.19;
8 (s);9.67;4.14;119.79;194.20;310.39;2813.93;18.28;48.05;35.35;9.95;24.40;36.52;17.19;64.37;
9 (s);9.67;4.14;113.53;202.36;311.60;2813.78;18.29;48.06;35.37;9.95;24.40;36.54;17.19;64.17;
10 (s);9.67;4.14;109.22;196.10;310.51;2813.90;18.29;48.07;35.38;9.95;24.40;36.55;17.20;63.97;
11 (s);9.67;4.14;118.65;195.07;311.12;2813.82;18.29;48.08;35.39;9.96;24.40;36.57;17.20;64.01;
12 (s);9.68;4.14;115.75;195.39;311.40;2813.95;18.29;48.08;35.39;9.97;24.40;36.57;17.20;63.92;
13 (s);9.68;4.14;119.03;196.98;311.22;2813.86;18.29;48.09;35.40;9.96;24.40;36.58;17.20;63.99;
14 (s);9.68;4.14;112.36;198.42;310.56;2813.97;18.30;48.10;35.41;9.94;24.40;36.59;17.20;63.98;
15 (s);9.69;4.14;107.64;196.81;308.39;2813.94;18.30;48.11;35.42;9.95;24.41;36.60;17.21;64.01;
16 (s);9.69;4.14;119.25;192.62;311.25;2813.97;18.30;48.12;35.43;9.96;24.41;36.61;17.21;64.09;
17 (s);9.69;4.14;108.55;195.50;309.10;2814.06;18.30;48.13;35.44;9.94;24.41;36.62;17.21;64.35;
18 (s);9.69;4.14;110.71;195.57;311.97;2814.20;18.30;48.13;35.44;9.94;24.41;36.62;17.21;64.37;
19 (s);9.69;4.14;120.51;192.42;307.58;2813.91;18.31;48.14;35.45;9.96;24.41;36.63;17.22;64.12;
20 (s);9.70;4.14;107.25;197.51;311.14;2814.13;18.31;48.15;35.46;9.94;24.41;36.65;17.22;64.13;
21 (s);9.70;4.14;112.39;193.48;309.61;2813.94;18.31;48.16;35.47;9.97;24.42;36.66;17.22;64.34;
22 (s);9.70;4.14;115.83;194.67;309.02;2813.93;18.31;48.17;35.49;9.98;24.42;36.68;17.23;64.13;
23 (s);9.71;4.14;108.09;196.64;310.35;2813.87;18.31;48.19;35.50;9.97;24.42;36.69;17.23;64.13;
24 (s);9.71;4.14;115.96;199.19;312.15;2813.80;18.31;48.19;35.50;9.99;24.42;36.69;17.23;64.17;
25 (s);9.71;4.14;114.30;193.79;309.24;2813.87;18.32;48.20;35.51;9.98;24.42;36.70;17.23;64.27;
26 (s);9.71;4.14;109.71;195.75;310.27;2813.90;18.32;48.21;35.53;9.98;24.42;36.71;17.23;64.17;
27 (s);9.71;4.14;123.56;194.07;310.80;2813.76;18.32;48.22;35.54;9.98;24.42;36.73;17.23;64.12;
28 (s);9.72;4.14;109.19;199.46;308.71;2813.83;18.32;48.23;35.55;9.98;24.42;36.74;17.23;64.15;
29 (s);9.72;4.14;103.07;194.55;311.31;2813.82;18.32;48.24;35.57;9.99;24.42;36.75;17.24;64.16;
30 (s);9.72;4.15;115.78;193.76;309.13;2813.71;18.33;48.25;35.57;10.01;24.42;36.75;17.24;64.14;
31 (s);9.73;4.14;102.50;200.57;310.96;2813.80;18.33;48.25;35.58;10.00;24.42;36.76;17.24;64.27;
32 (s);9.73;4.15;119.04;191.85;310.07;2813.75;18.33;48.26;35.59;10.02;24.42;36.77;17.25;64.51;
33 (s);9.73;4.15;108.19;196.89;309.17;2813.83;18.33;48.27;35.61;10.01;24.42;36.78;17.25;64.24;
34 (s);9.73;4.15;112.24;190.17;309.50;2813.87;18.33;48.28;35.62;10.01;24.42;36.79;17.26;64.15;
35 (s);9.73;4.15;116.25;198.56;309.54;2814.03;18.34;48.29;35.63;10.01;24.42;36.81;17.26;64.12;
36 (s);9.74;4.15;115.83;200.15;309.71;2813.93;18.34;48.29;35.64;10.01;24.42;36.81;17.27;64.24;
37 (s);9.74;4.15;112.55;198.38;312.22;2814.12;18.34;48.29;35.64;10.01;24.43;36.82;17.27;64.28;
38 (s);9.74;4.15;108.26;196.29;310.72;2814.09;18.34;48.30;35.66;10.00;24.42;36.84;17.27;64.48;
39 (s);9.74;4.15;117.04;195.88;311.89;2814.02;18.34;48.31;35.67;10.01;24.42;36.85;17.27;64.37;
40 (s);9.75;4.15;109.30;193.67;309.52;2814.07;18.34;48.32;35.68;10.01;24.43;36.86;17.28;64.29;
41 (s);9.75;4.15;119.29;192.68;308.62;2814.07;18.34;48.33;35.68;10.03;24.43;36.88;17.28;64.40;
42 (s);9.75;4.15;106.29;193.52;309.05;2813.90;18.34;48.33;35.69;10.02;24.43;36.89;17.29;64.52;
