Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);10.17;4.53;121.27;610.51;279.64;2820.27;21.16;59.30;38.34;12.69;27.03;37.29;19.48;66.69;
2 (s);10.17;4.53;97.20;608.91;279.61;2820.07;21.15;59.30;38.29;12.66;27.03;37.27;19.47;66.58;
3 (s);10.16;4.53;127.61;610.34;280.21;2820.10;21.15;59.29;38.24;12.68;27.03;37.25;19.47;66.53;
4 (s);10.16;4.53;84.98;612.57;281.18;2820.24;21.15;59.28;38.19;12.66;27.03;37.23;19.46;66.59;
5 (s);10.15;4.53;123.17;613.22;281.46;2820.09;21.15;59.27;38.15;12.67;27.03;37.21;19.45;66.58;
6 (s);10.15;4.53;92.50;611.42;280.88;2820.07;21.14;59.26;38.10;12.65;27.03;37.19;19.45;66.60;
7 (s);10.14;4.53;117.05;618.46;282.83;2820.09;21.14;59.26;38.09;12.66;27.03;37.19;19.45;66.60;
8 (s);10.14;4.53;105.85;610.31;279.63;2820.17;21.14;59.25;38.06;12.65;27.03;37.16;19.44;66.60;
9 (s);10.13;4.53;116.28;611.09;281.63;2820.02;21.14;59.24;38.01;12.65;27.03;37.13;19.44;66.64;
10 (s);10.13;4.52;97.16;613.81;280.86;2820.03;21.13;59.23;37.97;12.62;27.03;37.11;19.44;66.56;
11 (s);10.12;4.52;105.03;612.48;280.86;2820.12;21.13;59.22;37.92;12.63;27.03;37.08;19.44;66.52;
12 (s);10.12;4.52;116.27;611.29;281.19;2820.05;21.13;59.21;37.89;12.62;27.03;37.06;19.44;66.53;
13 (s);10.12;4.52;97.34;615.17;281.23;2820.13;21.13;59.21;37.88;12.61;27.03;37.06;19.44;66.53;
14 (s);10.11;4.52;121.85;613.89;283.30;2820.03;21.13;59.20;37.85;12.62;27.03;37.04;19.43;66.48;
15 (s);10.11;4.52;94.17;614.09;280.80;2820.09;21.12;59.19;37.81;12.60;27.03;37.03;19.43;66.39;
16 (s);10.10;4.52;121.93;613.06;281.53;2820.13;21.12;59.18;37.77;12.59;27.03;37.00;19.43;66.48;
17 (s);10.10;4.52;92.65;611.64;282.87;2820.00;21.12;59.18;37.73;12.58;27.04;36.98;19.43;66.39;
18 (s);10.09;4.52;132.37;614.70;280.93;2820.06;21.11;59.17;37.70;12.60;27.04;36.97;19.42;66.36;
19 (s);10.09;4.52;91.76;614.33;282.42;2820.12;21.11;59.17;37.68;12.59;27.04;36.96;19.42;66.39;
20 (s);10.08;4.52;126.94;612.61;280.95;2819.99;21.11;59.16;37.66;12.58;27.04;36.94;19.41;66.38;
21 (s);10.08;4.51;96.17;610.81;279.54;2820.04;21.11;59.15;37.63;12.55;27.04;36.92;19.40;66.37;
22 (s);10.07;4.51;128.20;612.80;280.58;2820.01;21.11;59.14;37.59;12.57;27.04;36.91;19.39;66.30;
23 (s);10.07;4.51;85.58;611.41;279.57;2820.21;21.11;59.13;37.56;12.54;27.04;36.89;19.38;66.32;
24 (s);10.06;4.51;141.79;616.98;280.56;2820.01;21.10;59.12;37.53;12.56;27.04;36.87;19.37;66.37;
25 (s);10.07;4.51;79.64;609.72;279.82;2820.08;21.10;59.12;37.51;12.52;27.04;36.87;19.37;66.34;
26 (s);10.05;4.51;133.78;609.04;278.86;2820.02;21.10;59.11;37.49;12.55;27.04;36.86;19.37;66.31;
27 (s);10.06;4.51;87.95;615.07;282.13;2820.13;21.10;59.10;37.46;12.52;27.04;36.84;19.37;66.30;
28 (s);10.05;4.51;131.48;612.32;279.07;2819.95;21.10;59.09;37.43;12.54;27.04;36.82;19.36;66.28;
29 (s);10.05;4.51;90.31;607.83;280.76;2820.14;21.10;59.08;37.41;12.52;27.04;36.80;19.36;66.28;
30 (s);10.04;4.51;124.49;611.35;280.48;2819.96;21.09;59.07;37.38;12.53;27.04;36.78;19.35;66.30;
31 (s);10.04;4.50;89.97;611.73;280.33;2820.06;21.09;59.07;37.37;12.50;27.04;36.78;19.35;66.23;
32 (s);10.03;4.50;126.32;614.71;281.92;2819.94;21.09;59.07;37.36;12.50;27.04;36.77;19.34;66.23;
33 (s);10.03;4.50;97.04;613.13;283.04;2820.04;21.09;59.06;37.33;12.50;27.04;36.76;19.33;66.29;
34 (s);10.03;4.50;123.64;612.05;282.15;2819.95;21.09;59.05;37.30;12.51;27.04;36.74;19.33;66.29;
35 (s);10.03;4.50;91.43;608.42;280.05;2820.12;21.09;59.04;37.28;12.48;27.04;36.73;19.32;66.26;
36 (s);10.02;4.51;127.01;610.20;279.60;2819.94;21.09;59.03;37.25;12.51;27.03;36.71;19.31;66.18;
37 (s);10.03;4.50;98.01;607.77;281.47;2820.08;21.08;59.03;37.24;12.49;27.03;36.70;19.31;66.16;
38 (s);10.01;4.50;133.98;614.40;283.29;2820.06;21.08;59.02;37.23;12.50;27.03;36.70;19.31;66.24;
39 (s);10.02;4.50;88.53;612.12;282.72;2820.10;21.08;59.02;37.21;12.46;27.03;36.68;19.30;66.20;
40 (s);10.01;4.50;135.88;612.27;281.64;2820.07;21.08;59.00;37.18;12.48;27.03;36.67;19.29;66.18;
41 (s);10.01;4.49;86.66;613.83;282.89;2820.00;21.08;58.99;37.16;12.43;27.04;36.65;19.29;66.16;
42 (s);10.00;4.50;124.14;606.06;278.93;2819.95;21.08;58.98;37.14;12.46;27.04;36.64;19.28;66.17;
43 (s);10.00;4.50;104.33;614.06;281.33;2819.88;21.08;58.97;37.12;12.45;27.04;36.63;19.27;66.18;
44 (s);9.99;4.50;116.49;610.70;279.73;2820.13;21.08;58.96;37.11;12.48;27.04;36.63;19.27;66.08;
45 (s);10.00;4.49;89.94;611.79;280.85;2820.06;21.07;58.95;37.10;12.43;27.03;36.61;19.27;66.09;
46 (s);9.99;4.50;115.17;613.16;281.06;2820.07;21.07;58.94;37.08;12.45;27.04;36.60;19.27;66.11;
47 (s);9.99;4.49;105.74;609.92;279.77;2819.91;21.07;58.93;37.06;12.42;27.03;36.59;19.26;66.01;
48 (s);9.98;4.49;111.69;613.09;282.19;2820.09;21.07;58.93;37.04;12.44;27.04;36.58;19.26;66.14;
49 (s);9.98;4.49;114.23;609.23;280.12;2819.92;21.07;58.92;37.02;12.42;27.03;36.57;19.26;66.08;
50 (s);9.98;4.49;101.83;607.97;277.59;2819.93;21.07;58.92;37.02;12.44;27.03;36.57;19.26;66.05;
51 (s);9.98;4.49;110.42;613.35;279.64;2820.15;21.07;58.91;36.99;12.43;27.04;36.56;19.25;66.00;
52 (s);9.98;4.49;102.61;613.37;279.56;2819.97;21.07;58.90;36.97;12.40;27.04;36.54;19.25;66.00;
53 (s);9.97;4.49;127.19;612.11;283.06;2820.17;21.07;58.89;36.95;12.41;27.04;36.53;19.24;65.95;
54 (s);9.97;4.49;92.08;610.77;280.47;2820.18;21.07;58.88;36.93;12.41;27.04;36.52;19.24;66.09;
55 (s);9.97;4.49;125.50;603.46;278.91;2819.87;21.06;58.87;36.91;12.42;27.04;36.50;19.23;66.00;
56 (s);9.97;4.49;92.03;610.94;281.20;2820.04;21.06;58.87;36.91;12.39;27.04;36.50;19.23;65.98;
57 (s);9.95;4.49;145.62;611.53;281.81;2819.78;21.06;58.86;36.89;12.42;27.04;36.49;19.23;66.01;
58 (s);9.96;4.49;101.08;612.88;282.77;2820.14;21.06;58.85;36.87;12.39;27.04;36.48;19.23;65.95;
59 (s);9.95;4.49;123.67;607.92;280.19;2819.98;21.06;58.85;36.86;12.40;27.04;36.47;19.22;65.96;
60 (s);9.95;4.49;102.70;610.54;280.76;2820.12;21.06;58.84;36.84;12.39;27.05;36.45;19.22;65.90;
61 (s);9.94;4.49;122.50;611.78;281.78;2819.98;21.06;58.83;36.82;12.39;27.05;36.44;19.21;65.95;
62 (s);9.95;4.48;104.09;614.46;280.86;2820.02;21.05;58.82;36.81;12.37;27.05;36.42;19.21;65.90;
63 (s);9.94;4.48;122.73;611.41;282.75;2819.98;21.05;58.82;36.81;12.37;27.05;36.42;19.21;66.01;
64 (s);9.94;4.48;98.80;612.53;279.48;2819.96;21.05;58.81;36.79;12.36;27.05;36.41;19.21;65.98;
65 (s);9.94;4.48;124.20;614.42;282.34;2820.02;21.05;58.80;36.78;12.37;27.05;36.40;19.20;65.90;
66 (s);9.94;4.48;95.39;609.45;281.70;2820.00;21.05;58.79;36.77;12.36;27.05;36.39;19.20;65.90;
67 (s);9.93;4.48;127.08;616.36;280.73;2819.92;21.05;58.79;36.75;12.37;27.06;36.38;19.19;65.85;
68 (s);9.94;4.48;83.95;614.22;280.34;2820.06;21.04;58.78;36.74;12.33;27.06;36.37;19.18;65.89;
69 (s);9.93;4.48;139.00;609.74;282.36;2820.01;21.04;58.78;36.73;12.36;27.06;36.37;19.18;65.92;
70 (s);9.93;4.48;85.83;609.80;281.87;2820.04;21.04;58.77;36.72;12.33;27.06;36.36;19.18;65.89;
71 (s);9.92;4.48;128.89;614.50;279.20;2819.98;21.04;58.76;36.71;12.35;27.06;36.36;19.18;65.88;
72 (s);9.93;4.48;97.97;612.60;280.73;2820.07;21.04;58.75;36.69;12.35;27.06;36.35;19.18;65.85;
73 (s);9.92;4.48;130.47;614.81;281.62;2820.02;21.04;58.75;36.68;12.35;27.06;36.34;19.17;65.86;
74 (s);9.93;4.48;95.26;611.60;278.43;2820.06;21.04;58.74;36.67;12.32;27.07;36.33;19.18;65.85;
75 (s);9.91;4.48;123.93;613.88;281.78;2819.91;21.03;58.74;36.66;12.35;27.07;36.33;19.18;65.79;
76 (s);9.92;4.48;105.71;608.57;277.56;2820.02;21.03;58.74;36.65;12.32;27.07;36.32;19.18;65.89;
77 (s);9.91;4.48;106.75;613.97;281.13;2819.87;21.03;58.73;36.63;12.33;27.07;36.32;19.18;65.84;
78 (s);9.91;4.48;111.68;612.57;281.13;2820.08;21.03;58.72;36.62;12.31;27.07;36.32;19.18;65.87;
79 (s);9.91;4.48;104.86;611.78;280.92;2819.93;21.03;58.71;36.61;12.32;27.07;36.31;19.18;65.85;
