Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.05;3.81;128.15;119.58;277.05;3549.35;17.57;39.25;36.74;7.51;22.23;38.13;15.05;79.99;
20 (s);10.08;3.80;116.79;120.40;278.40;3395.82;17.53;39.39;36.86;7.46;22.23;38.25;15.02;80.10;
30 (s);10.10;3.80;120.39;122.15;278.39;3396.03;17.50;39.53;36.96;7.40;22.22;38.37;14.96;80.44;
40 (s);10.13;3.79;107.47;120.29;278.99;3396.02;17.47;39.68;37.09;7.32;22.21;38.46;14.95;80.16;
50 (s);10.15;3.78;122.55;115.20;277.95;3395.93;17.45;39.82;37.20;7.30;22.20;38.56;14.93;80.50;
60 (s);10.18;3.78;117.63;117.19;272.58;3396.29;17.43;39.93;37.30;7.28;22.19;38.66;14.92;80.72;
70 (s);10.20;3.77;109.78;118.02;272.50;3396.32;17.40;40.09;37.41;7.20;22.18;38.76;14.91;80.70;
80 (s);10.22;3.77;111.63;113.42;270.04;3396.23;17.38;40.24;37.51;7.18;22.17;38.85;14.90;80.62;
90 (s);10.25;3.77;119.36;114.78;273.00;3396.16;17.36;40.37;37.61;7.17;22.16;38.95;14.88;81.05;
100 (s);10.27;3.76;128.82;114.46;270.53;3396.37;17.33;40.52;37.72;7.13;22.15;39.05;14.86;81.34;
110 (s);10.30;3.76;115.73;111.62;269.52;3396.63;17.31;40.67;37.80;7.09;22.14;39.15;14.84;81.68;
120 (s);10.32;3.76;128.73;110.09;270.02;3396.61;17.28;40.82;37.88;7.11;22.13;39.24;14.84;81.47;
130 (s);10.34;3.75;126.33;111.22;269.23;3396.83;17.26;40.97;37.98;7.06;22.13;39.33;14.83;81.73;
140 (s);10.37;3.75;121.34;105.95;270.25;3396.85;17.23;41.09;38.06;7.04;22.12;39.43;14.81;81.75;
150 (s);10.39;3.74;118.88;110.43;266.93;3396.77;17.21;41.24;38.17;6.99;22.12;39.54;14.78;81.64;
160 (s);10.42;3.74;124.07;104.95;265.70;3396.79;17.19;41.39;38.23;6.99;22.11;39.60;14.77;82.31;
170 (s);10.44;3.74;119.13;105.93;266.04;3397.01;17.19;41.52;38.33;6.97;22.10;39.68;14.75;82.10;
180 (s);10.46;3.74;123.81;103.72;267.69;3396.96;17.19;41.66;38.43;6.95;22.11;39.77;14.72;82.45;
191 (s);10.49;3.74;122.81;101.08;267.48;3397.10;17.17;41.79;38.52;6.94;22.11;39.85;14.70;82.32;
201 (s);10.51;3.74;123.01;103.71;247.35;3397.33;17.15;41.92;38.62;6.92;22.11;39.94;14.69;82.42;
211 (s);10.53;3.73;123.79;101.28;243.58;3397.18;17.13;42.04;38.69;6.87;22.12;40.04;14.64;82.67;
221 (s);10.55;3.72;116.04;98.74;245.58;3397.40;17.11;42.21;38.77;6.82;22.13;40.11;14.54;82.36;
231 (s);10.57;3.72;116.65;98.17;247.21;3397.47;17.09;42.37;38.86;6.80;22.14;40.21;14.49;82.89;
241 (s);10.59;3.71;125.23;94.08;244.71;3397.36;17.08;42.51;38.91;6.75;22.13;40.28;14.48;82.91;
251 (s);10.61;3.71;123.20;95.66;247.06;3397.42;17.07;42.62;39.00;6.75;22.14;40.35;14.45;82.98;
261 (s);10.63;3.71;128.99;95.50;246.61;3397.48;17.05;42.82;39.10;6.75;22.14;40.43;14.46;82.67;
271 (s);10.65;3.71;119.38;95.61;247.85;3397.66;17.04;42.96;39.17;6.72;22.13;40.49;14.41;83.16;
281 (s);10.67;3.71;119.12;95.11;245.35;3397.73;17.03;43.10;39.25;6.70;22.12;40.57;14.42;83.14;
291 (s);10.69;3.71;117.94;93.98;246.49;3396.48;17.01;43.24;39.32;6.70;22.11;40.65;14.40;80.28;
301 (s);10.70;3.72;119.74;92.85;241.49;3396.38;17.01;43.38;39.38;6.77;22.10;40.71;14.42;79.12;
311 (s);10.71;3.72;122.87;91.54;246.10;3396.62;17.02;43.51;39.44;6.80;22.10;40.77;14.42;79.13;
321 (s);10.72;3.72;121.05;89.37;250.22;3396.81;17.02;43.63;39.51;6.82;22.10;40.82;14.44;79.47;
331 (s);10.74;3.72;120.70;86.86;245.34;3396.80;17.01;43.74;39.57;6.80;22.09;40.88;14.48;79.58;
341 (s);10.76;3.72;125.40;89.42;243.81;3396.93;17.01;43.86;39.63;6.84;22.09;40.95;14.49;80.41;
351 (s);10.78;3.72;125.85;81.40;242.50;3396.92;17.03;43.99;39.70;6.84;22.09;41.00;14.49;80.78;
361 (s);10.80;3.72;126.70;84.14;240.23;3396.76;17.03;44.09;39.77;6.84;22.10;41.07;14.50;80.53;
371 (s);10.82;3.72;121.65;79.84;241.14;3396.95;17.03;44.20;39.83;6.83;22.10;41.16;14.50;79.70;
381 (s);10.84;3.73;126.99;82.72;242.55;3397.03;17.04;44.28;39.92;6.85;22.09;41.20;14.51;79.60;
391 (s);10.86;3.73;121.22;81.96;244.34;3397.11;17.04;44.40;40.00;6.87;22.09;41.27;14.51;80.56;
401 (s);10.88;3.73;120.20;81.64;242.43;3397.02;17.03;44.56;40.07;6.86;22.09;41.34;14.53;81.14;
411 (s);10.90;3.73;122.91;80.68;242.71;3397.40;17.02;44.69;40.13;6.86;22.10;41.41;14.54;80.58;
421 (s);10.92;3.73;124.69;79.83;239.97;3511.55;17.01;44.82;40.22;6.87;22.10;41.48;14.54;79.73;
431 (s);10.95;3.71;120.85;78.99;239.47;3635.29;17.00;44.92;40.29;6.77;22.10;41.54;14.55;83.82;
441 (s);10.97;3.71;115.44;79.59;239.63;3635.31;16.98;45.10;40.36;6.72;22.12;41.63;14.55;83.99;
451 (s);11.00;3.71;116.05;78.86;239.23;3635.40;16.96;45.28;40.46;6.70;22.13;41.73;14.53;84.02;
461 (s);11.02;3.70;124.27;78.78;237.69;3635.41;16.96;45.42;40.54;6.69;22.13;41.81;14.53;84.17;
472 (s);11.04;3.70;117.69;75.98;238.57;3635.36;16.95;45.54;40.62;6.68;22.13;41.88;14.52;83.99;
482 (s);11.07;3.70;122.37;69.79;236.99;3635.51;16.95;45.71;40.69;6.68;22.13;41.96;14.50;84.44;
492 (s);11.10;3.71;122.85;71.90;239.04;3635.38;16.95;45.85;40.79;6.69;22.14;42.03;14.50;84.22;
502 (s);11.13;3.71;127.12;64.30;237.11;3635.67;16.95;45.97;40.90;6.70;22.14;42.12;14.52;84.31;
512 (s);11.15;3.71;124.37;52.39;237.68;3635.41;16.94;46.13;41.01;6.69;22.15;42.21;14.52;84.67;
522 (s);11.18;3.70;118.98;54.21;236.65;3635.39;16.93;46.27;41.10;6.68;22.15;42.30;14.52;84.47;
532 (s);11.20;3.71;117.76;56.35;236.83;3635.43;16.92;46.39;41.19;6.69;22.14;42.40;14.54;84.54;
542 (s);11.23;3.71;122.42;57.30;237.86;3635.55;16.92;46.53;41.30;6.71;22.12;42.48;14.55;84.79;
552 (s);11.25;3.71;132.76;57.27;237.53;3635.65;16.93;46.66;41.38;6.70;22.11;42.55;14.55;85.03;
562 (s);11.28;3.70;126.12;57.39;236.51;3635.58;16.93;46.82;41.47;6.68;22.11;42.64;14.56;84.92;
572 (s);11.30;3.71;123.31;57.84;237.26;3635.83;16.92;46.96;41.55;6.72;22.12;42.73;14.58;84.88;
582 (s);11.32;3.71;124.72;57.73;237.02;3635.68;16.92;47.08;41.64;6.71;22.13;42.80;14.59;84.87;
592 (s);11.35;3.71;117.07;57.32;235.90;3635.68;16.94;47.23;41.74;6.72;22.13;42.88;14.60;84.90;
