Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);10.28;5.35;117.41;387.53;1032.34;2911.54;26.26;44.57;36.67;17.83;30.60;38.14;27.34;70.91;
2 (s);10.29;5.34;132.25;383.58;1032.33;2911.43;26.23;44.68;36.74;17.81;30.60;38.19;27.32;70.88;
3 (s);10.30;5.33;122.38;388.09;1032.35;2911.53;26.20;44.79;36.80;17.76;30.60;38.24;27.30;70.88;
3 (s);10.31;5.33;119.01;384.78;1032.34;2911.51;26.20;44.79;36.81;17.74;30.60;38.24;27.29;70.84;
4 (s);10.31;5.33;120.45;384.91;1032.32;2911.44;26.18;44.89;36.87;17.73;30.59;38.28;27.28;70.84;
5 (s);10.32;5.33;127.43;378.26;1032.30;2911.56;26.16;44.98;36.93;17.71;30.59;38.33;27.26;70.92;
6 (s);10.33;5.32;115.79;380.90;1032.36;2911.63;26.15;44.99;36.93;17.70;30.59;38.33;27.26;70.91;
7 (s);10.34;5.32;127.61;376.62;1032.34;2911.33;26.13;45.08;36.99;17.67;30.59;38.37;27.24;70.95;
8 (s);10.35;5.31;123.81;379.46;1032.33;2911.51;26.11;45.17;37.04;17.63;30.59;38.41;27.23;70.92;
9 (s);10.36;5.31;119.36;376.46;1032.32;2911.58;26.09;45.26;37.09;17.60;30.58;38.46;27.21;71.04;
10 (s);10.37;5.31;124.80;376.78;1032.36;2911.57;26.07;45.35;37.15;17.58;30.58;38.50;27.19;71.00;
11 (s);10.38;5.30;125.11;381.05;1032.34;2911.52;26.05;45.44;37.21;17.56;30.58;38.54;27.18;71.04;
12 (s);10.39;5.29;119.51;380.75;1032.35;2911.42;26.04;45.46;37.21;17.52;30.58;38.55;27.18;70.96;
13 (s);10.40;5.29;121.37;378.31;1032.36;2911.58;26.03;45.53;37.26;17.51;30.58;38.58;27.17;70.97;
14 (s);10.41;5.29;124.62;381.15;1032.37;2911.47;26.01;45.62;37.30;17.48;30.58;38.62;27.16;71.02;
15 (s);10.42;5.29;127.76;375.54;1032.34;2911.50;25.99;45.70;37.35;17.48;30.58;38.66;27.15;71.03;
16 (s);10.43;5.28;126.37;379.22;1032.33;2911.37;25.97;45.78;37.39;17.43;30.58;38.70;27.14;71.05;
17 (s);10.44;5.28;121.52;379.40;1032.34;2911.50;25.95;45.87;37.44;17.41;30.58;38.74;27.13;71.03;
18 (s);10.45;5.27;121.28;378.90;1032.36;2911.61;25.95;45.89;37.45;17.39;30.58;38.75;27.13;71.06;
19 (s);10.45;5.27;132.94;380.98;1032.34;2911.30;25.93;45.95;37.49;17.36;30.58;38.77;27.12;71.05;
20 (s);10.46;5.27;122.41;381.85;1032.35;2911.39;25.92;46.03;37.54;17.35;30.58;38.81;27.11;71.15;
21 (s);10.47;5.26;127.04;379.63;1032.34;2911.34;25.90;46.11;37.58;17.33;30.58;38.85;27.10;71.14;
22 (s);10.48;5.26;123.30;376.59;1032.36;2911.29;25.89;46.19;37.63;17.31;30.58;38.88;27.10;71.26;
23 (s);10.48;5.26;122.23;380.84;1032.35;2911.25;25.87;46.27;37.67;17.31;30.58;38.92;27.09;71.14;
24 (s);10.49;5.26;128.42;379.15;1032.32;2911.46;25.87;46.29;37.69;17.29;30.58;38.93;27.09;71.20;
25 (s);10.50;5.25;121.70;380.23;1032.33;2911.44;25.86;46.33;37.72;17.26;30.58;38.96;27.08;71.15;
26 (s);10.51;5.24;127.97;376.68;1032.32;2911.43;25.84;46.40;37.76;17.22;30.58;38.99;27.08;71.19;
27 (s);10.51;5.24;115.43;380.04;1032.32;2911.38;25.83;46.47;37.80;17.21;30.57;39.02;27.07;71.21;
28 (s);10.52;5.24;130.80;379.21;1032.33;2911.35;25.81;46.54;37.84;17.20;30.57;39.06;27.07;71.29;
29 (s);10.53;5.24;123.29;376.58;1032.31;2911.39;25.80;46.59;37.87;17.19;30.57;39.09;27.06;71.26;
30 (s);10.54;5.24;127.54;380.51;1032.36;2911.38;25.79;46.63;37.89;17.17;30.57;39.10;27.06;71.25;
31 (s);10.55;5.23;122.26;378.74;1032.35;2911.46;25.79;46.66;37.91;17.15;30.57;39.12;27.05;71.26;
32 (s);10.55;5.23;120.81;378.58;1032.33;2911.41;25.77;46.72;37.95;17.14;30.57;39.16;27.05;71.32;
33 (s);10.56;5.23;117.46;381.12;1032.36;2911.39;25.76;46.78;37.99;17.10;30.57;39.19;27.04;71.33;
34 (s);10.56;5.23;132.82;376.69;1032.35;2911.36;25.75;46.84;38.03;17.10;30.57;39.22;27.04;71.33;
35 (s);10.57;5.22;118.84;374.50;1032.31;2911.46;25.73;46.90;38.06;17.08;30.57;39.25;27.03;71.26;
36 (s);10.58;5.22;125.22;381.75;1032.34;2911.28;25.73;46.94;38.08;17.09;30.57;39.27;27.03;71.38;
