Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);11.26;4.21;123.03;150.27;353.56;3118.75;20.53;56.07;41.50;10.50;25.20;42.85;19.44;74.78;
2 (s);11.26;4.21;127.20;152.02;352.63;3118.72;20.53;56.08;41.51;10.49;25.20;42.85;19.44;74.65;
3 (s);11.26;4.21;120.33;150.57;353.88;3118.87;20.53;56.09;41.51;10.49;25.21;42.85;19.44;74.78;
4 (s);11.26;4.21;122.61;148.79;353.65;3118.83;20.53;56.10;41.52;10.50;25.21;42.86;19.45;74.73;
5 (s);11.26;4.22;122.95;150.51;351.75;3118.63;20.53;56.10;41.52;10.50;25.21;42.86;19.45;74.69;
6 (s);11.26;4.21;120.83;149.25;355.43;3118.64;20.53;56.10;41.53;10.49;25.21;42.86;19.45;74.70;
7 (s);11.26;4.21;120.68;147.09;352.58;3118.76;20.53;56.11;41.53;10.49;25.21;42.86;19.46;74.79;
8 (s);11.26;4.21;125.14;147.36;353.00;3118.63;20.53;56.11;41.53;10.48;25.21;42.87;19.46;74.75;
9 (s);11.26;4.21;119.78;145.55;354.43;3118.73;20.53;56.12;41.54;10.47;25.21;42.87;19.46;74.60;
10 (s);11.26;4.21;118.35;148.83;354.37;3118.69;20.54;56.13;41.55;10.46;25.21;42.87;19.46;74.76;
11 (s);11.26;4.21;127.27;147.72;352.93;3118.78;20.54;56.14;41.56;10.48;25.21;42.87;19.46;74.79;
12 (s);11.27;4.21;123.48;149.87;354.65;3118.72;20.54;56.14;41.56;10.48;25.21;42.87;19.46;74.75;
13 (s);11.27;4.21;120.96;148.98;353.29;3118.71;20.54;56.15;41.56;10.48;25.22;42.87;19.46;74.84;
14 (s);11.27;4.21;117.77;150.07;352.36;3118.73;20.54;56.16;41.57;10.49;25.22;42.88;19.46;74.82;
15 (s);11.27;4.21;122.94;151.75;354.02;3118.81;20.54;56.16;41.58;10.50;25.22;42.88;19.46;74.77;
16 (s);11.27;4.22;127.67;148.87;355.09;3118.90;20.54;56.17;41.58;10.50;25.22;42.88;19.47;74.80;
17 (s);11.27;4.21;119.27;148.11;352.48;3118.76;20.54;56.17;41.58;10.50;25.22;42.89;19.47;74.86;
18 (s);11.27;4.22;128.41;150.88;354.85;3118.91;20.54;56.17;41.58;10.51;25.22;42.89;19.47;74.84;
19 (s);11.27;4.21;116.60;154.56;355.40;3118.88;20.54;56.17;41.58;10.50;25.22;42.89;19.47;74.83;
20 (s);11.27;4.22;125.31;152.51;351.59;3118.74;20.54;56.16;41.58;10.51;25.23;42.89;19.46;74.89;
21 (s);11.27;4.22;121.89;148.88;356.60;3118.92;20.55;56.16;41.58;10.51;25.23;42.89;19.46;74.82;
22 (s);11.27;4.22;120.52;148.58;354.71;3118.56;20.55;56.16;41.58;10.51;25.23;42.89;19.46;74.85;
23 (s);11.27;4.22;120.84;152.95;355.16;3118.75;20.55;56.16;41.58;10.51;25.23;42.89;19.46;74.84;
24 (s);11.28;4.22;119.38;149.23;352.51;3118.71;20.55;56.17;41.58;10.51;25.23;42.89;19.46;74.85;
25 (s);11.28;4.22;123.48;147.88;353.01;3118.82;20.55;56.17;41.58;10.51;25.23;42.89;19.46;74.82;
26 (s);11.28;4.22;121.21;148.74;354.61;3118.89;20.55;56.18;41.58;10.51;25.23;42.90;19.46;75.03;
27 (s);11.28;4.22;121.39;148.23;353.83;3118.78;20.55;56.19;41.59;10.51;25.23;42.90;19.46;75.12;
28 (s);11.28;4.22;121.06;150.61;354.83;3118.79;20.55;56.19;41.58;10.50;25.23;42.90;19.46;75.15;
29 (s);11.28;4.22;118.27;149.19;352.31;3118.92;20.55;56.20;41.58;10.51;25.23;42.90;19.46;75.24;
30 (s);11.28;4.22;124.39;147.13;354.11;3118.81;20.55;56.21;41.58;10.52;25.23;42.90;19.46;75.22;
31 (s);11.28;4.22;119.55;146.76;355.72;3118.88;20.55;56.21;41.59;10.51;25.23;42.90;19.46;75.24;
32 (s);11.28;4.22;124.92;146.04;353.29;3118.85;20.55;56.22;41.59;10.51;25.23;42.91;19.46;75.19;
33 (s);11.28;4.22;119.63;146.63;352.68;3118.95;20.55;56.24;41.59;10.52;25.23;42.91;19.46;75.16;
