Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.76;4.22;69.53;167.57;325.63;3741.78;17.08;61.48;34.97;10.55;26.20;43.26;16.66;89.12;
20 (s);11.77;4.22;69.87;170.19;326.13;3742.26;17.08;61.52;34.99;10.55;26.22;43.28;16.66;89.20;
30 (s);11.77;4.22;69.87;169.18;330.78;3741.93;17.08;61.53;35.00;10.54;26.22;43.31;16.65;89.08;
40 (s);11.78;4.22;69.86;169.87;328.76;3742.06;17.08;61.54;35.00;10.53;26.22;43.33;16.66;89.02;
50 (s);11.78;4.22;70.34;167.37;325.45;3742.10;17.08;61.54;35.03;10.51;26.23;43.35;16.66;89.10;
60 (s);11.79;4.22;69.88;164.90;324.91;3741.92;17.07;61.57;35.03;10.54;26.23;43.37;16.66;89.14;
70 (s);11.79;4.22;70.35;168.27;323.05;3741.82;17.08;61.59;35.05;10.53;26.22;43.38;16.66;89.17;
80 (s);11.80;4.22;70.35;167.93;326.21;3741.95;17.08;61.60;35.06;10.51;26.22;43.40;16.65;88.94;
90 (s);11.80;4.22;70.33;168.23;325.53;3742.14;17.08;61.62;35.06;10.53;26.22;43.40;16.65;89.34;
100 (s);11.80;4.22;70.35;166.89;327.85;3741.88;17.08;61.64;35.08;10.52;26.23;43.42;16.65;89.06;
110 (s);11.80;4.22;70.35;169.61;329.73;3741.89;17.08;61.63;35.10;10.52;26.24;43.42;16.65;89.39;
120 (s);11.81;4.22;70.52;169.97;325.50;3742.24;17.09;61.64;35.10;10.55;26.26;43.41;16.66;89.00;
130 (s);11.81;4.22;70.35;167.31;326.40;3742.18;17.09;61.66;35.09;10.54;26.26;43.44;16.66;89.36;
140 (s);11.81;4.22;70.34;170.27;327.63;3741.98;17.09;61.68;35.11;10.52;26.27;43.45;16.66;88.98;
150 (s);11.82;4.22;70.34;170.23;325.40;3741.83;17.09;61.69;35.12;10.54;26.30;43.46;16.66;89.29;
161 (s);11.82;4.22;70.34;171.18;325.49;3742.06;17.10;61.71;35.13;10.55;26.31;43.48;16.68;89.11;
171 (s);11.82;4.22;70.83;168.66;327.65;3741.99;17.11;61.72;35.14;10.53;26.31;43.48;16.69;89.28;
181 (s);11.83;4.22;70.85;169.99;326.36;3741.95;17.11;61.73;35.16;10.55;26.31;43.49;16.69;88.98;
191 (s);11.83;4.22;70.83;170.85;327.61;3741.96;17.11;61.75;35.18;10.55;26.30;43.51;16.69;89.31;
201 (s);11.83;4.22;70.85;169.20;324.91;3742.13;17.11;61.77;35.18;10.55;26.31;43.52;16.69;89.17;
211 (s);11.84;4.22;70.83;169.17;325.06;3742.11;17.11;61.78;35.20;10.55;26.30;43.53;16.70;89.26;
221 (s);11.84;4.22;70.61;169.02;326.65;3742.08;17.12;61.79;35.21;10.55;26.29;43.54;16.71;89.24;
231 (s);11.84;4.22;70.76;171.40;327.89;3742.08;17.12;61.78;35.20;10.55;26.29;43.55;16.71;89.11;
241 (s);11.84;4.22;70.59;173.03;324.71;3741.87;17.13;61.79;35.22;10.56;26.30;43.55;16.71;89.35;
251 (s);11.84;4.22;70.85;168.94;333.00;3742.32;17.13;61.81;35.24;10.56;26.31;43.54;16.70;89.17;
261 (s);11.84;4.22;70.84;168.84;326.93;3742.44;17.13;61.82;35.25;10.56;26.32;43.55;16.72;89.46;
271 (s);11.85;4.22;70.83;168.21;323.43;3742.25;17.14;61.81;35.25;10.55;26.33;43.56;16.72;89.13;
281 (s);11.85;4.23;70.84;170.64;328.05;3741.92;17.14;61.82;35.26;10.59;26.33;43.57;16.72;89.33;
291 (s);11.85;4.22;70.84;170.59;328.57;3742.00;17.14;61.82;35.27;10.56;26.33;43.59;16.73;89.23;
301 (s);11.86;4.23;70.84;165.92;326.93;3741.87;17.15;61.85;35.27;10.58;26.34;43.59;16.72;89.26;
311 (s);11.86;4.22;70.85;168.89;325.64;3741.89;17.14;61.87;35.30;10.57;26.36;43.60;16.72;89.58;
321 (s);11.86;4.23;70.84;167.39;328.71;3742.36;17.15;61.89;35.31;10.58;26.35;43.61;16.73;89.23;
331 (s);11.86;4.23;70.83;170.51;329.25;3742.40;17.15;61.91;35.29;10.58;26.35;43.61;16.73;89.33;
341 (s);11.86;4.23;70.86;168.41;325.32;3742.43;17.16;61.91;35.31;10.57;26.36;43.62;16.74;89.40;
351 (s);11.86;4.23;70.83;170.28;326.90;3742.11;17.16;61.91;35.31;10.59;26.37;43.63;16.74;89.18;
361 (s);11.87;4.23;70.82;168.61;327.02;3741.60;17.17;61.96;35.33;10.59;26.38;43.63;16.74;89.42;
371 (s);11.87;4.23;70.84;170.65;330.19;3742.37;17.17;61.96;35.33;10.59;26.38;43.66;16.75;89.37;
381 (s);11.87;4.23;70.84;169.35;326.49;3742.11;17.17;61.95;35.34;10.60;26.37;43.66;16.75;89.20;
392 (s);11.87;4.23;70.83;169.67;326.78;3742.17;17.17;61.95;35.33;10.62;26.37;43.66;16.76;89.60;
402 (s);11.88;4.23;70.84;169.39;326.85;3742.28;17.18;61.97;35.34;10.59;26.39;43.66;16.77;89.41;
412 (s);11.88;4.23;70.83;166.26;326.50;3742.09;17.18;61.99;35.36;10.61;26.39;43.66;16.77;89.23;
422 (s);11.88;4.23;70.83;168.63;329.16;3742.53;17.18;61.97;35.39;10.60;26.38;43.68;16.77;89.49;
432 (s);11.88;4.23;70.88;170.14;328.13;3741.78;17.19;62.00;35.39;10.61;26.37;43.68;16.77;89.53;
