Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);12.95;5.24;89.97;19.97;40.63;3113.38;23.70;64.83;33.32;17.21;30.67;44.55;48.33;89.15;
10 (s);12.95;5.24;89.96;19.81;40.46;3113.33;23.70;64.83;33.33;17.21;30.66;44.57;48.34;89.19;
15 (s);12.95;5.24;89.97;19.89;40.51;3113.49;23.70;64.83;33.33;17.21;30.64;44.58;48.33;89.31;
20 (s);12.95;5.24;89.98;19.81;40.60;3113.29;23.70;64.84;33.33;17.20;30.62;44.59;48.33;89.20;
25 (s);12.95;5.24;90.21;19.79;40.48;3113.22;23.70;64.83;33.33;17.21;30.61;44.60;48.33;89.18;
30 (s);12.91;5.26;90.19;19.93;40.64;2026.77;23.70;64.84;33.34;17.34;30.60;44.59;48.32;73.75;
35 (s);12.69;5.34;65.32;19.75;40.53;2040.59;23.74;64.70;33.33;17.78;30.61;44.56;48.43;54.56;
40 (s);12.53;5.38;28.59;19.80;40.61;2040.81;23.86;64.11;33.13;18.01;30.62;44.36;48.86;53.65;
45 (s);12.43;5.39;18.75;19.80;40.60;2040.81;23.97;63.62;32.77;18.11;30.64;44.06;49.23;53.15;
50 (s);12.36;5.40;18.87;19.79;40.66;2041.01;24.07;63.27;32.38;18.17;30.64;43.74;49.52;53.24;
55 (s);12.32;5.41;18.99;19.71;40.51;2041.04;24.15;63.02;31.94;18.22;30.65;43.45;49.72;53.47;
60 (s);12.29;5.41;19.00;19.77;40.83;2040.79;24.23;62.92;31.50;18.23;30.65;43.19;49.89;52.75;
65 (s);12.27;5.42;19.23;19.76;40.72;2041.10;24.31;62.84;31.07;18.25;30.65;42.94;50.07;53.07;
70 (s);12.25;5.42;19.24;19.72;40.59;2040.92;24.37;62.78;30.75;18.24;30.66;42.77;50.20;52.70;
75 (s);12.24;5.41;19.24;19.81;40.57;2041.09;24.42;62.73;30.49;18.23;30.66;42.63;50.31;53.13;
