Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);13.21;5.86;61.38;166.19;676.52;2019.37;26.90;58.30;34.66;20.80;32.12;47.59;27.30;55.33;
10 (s);13.21;5.86;61.39;173.72;682.42;2019.36;26.90;58.30;34.66;20.79;32.12;47.57;27.30;54.78;
15 (s);13.21;5.86;61.40;169.46;674.78;2019.38;26.90;58.31;34.67;20.79;32.11;47.57;27.30;55.37;
20 (s);13.21;5.86;61.38;169.67;675.09;2019.58;26.90;58.32;34.68;20.79;32.12;47.57;27.29;55.10;
25 (s);13.21;5.86;61.38;166.93;680.51;2019.62;26.90;58.30;34.67;20.79;32.13;47.57;27.29;54.96;
30 (s);13.21;5.86;61.39;168.47;676.48;2019.75;26.90;58.31;34.68;20.80;32.14;47.58;27.29;55.45;
35 (s);13.21;5.86;61.38;171.02;674.99;2019.65;26.90;58.31;34.68;20.79;32.13;47.58;27.30;54.86;
40 (s);13.21;5.86;61.39;168.45;678.82;2019.72;26.90;58.31;34.69;20.80;32.12;47.58;27.30;55.24;
45 (s);13.21;5.86;61.40;167.85;678.06;2019.85;26.90;58.31;34.69;20.80;32.11;47.58;27.30;55.27;
50 (s);13.21;5.86;61.40;172.34;676.66;2019.83;26.91;58.30;34.70;20.79;32.11;47.57;27.29;54.85;
55 (s);13.21;5.86;61.40;170.30;660.26;2020.02;26.91;58.32;34.71;20.78;32.11;47.58;27.29;55.49;
60 (s);13.21;5.85;61.39;169.48;652.96;2020.08;26.91;58.33;34.71;20.76;32.12;47.59;27.27;55.04;
65 (s);13.20;5.85;61.38;170.43;557.47;2020.13;26.91;58.34;34.72;20.72;32.12;47.57;27.23;55.09;
70 (s);13.20;5.82;61.38;167.98;496.50;2020.18;26.91;58.34;34.73;20.58;32.13;47.56;27.03;55.26;
75 (s);13.20;5.80;61.40;169.93;503.55;2020.38;26.90;58.34;34.74;20.49;32.13;47.56;26.78;54.88;
80 (s);13.19;5.79;61.79;174.52;502.83;2020.34;26.90;58.30;34.76;20.42;32.15;47.56;26.64;55.23;
85 (s);13.18;5.79;68.39;170.47;503.39;2020.54;26.88;58.30;34.78;20.39;32.17;47.55;26.55;54.84;
