Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.69;4.36;124.15;497.61;221.52;3744.44;20.33;34.59;30.27;11.51;24.66;30.96;16.42;79.66;
20 (s);8.71;4.33;132.23;495.49;222.08;3744.39;20.18;34.67;30.41;11.31;24.66;31.03;16.24;80.02;
30 (s);8.72;4.30;114.70;501.22;225.95;3744.89;20.04;34.79;30.56;11.13;24.67;31.09;16.06;79.95;
40 (s);8.74;4.28;131.31;496.24;220.39;3744.14;19.88;34.91;30.70;10.96;24.68;31.15;15.89;79.29;
50 (s);8.75;4.25;121.79;500.22;220.46;3743.63;19.72;34.98;30.80;10.77;24.69;31.20;15.73;77.12;
60 (s);8.76;4.22;123.57;499.43;218.10;3743.89;19.56;35.06;30.88;10.57;24.71;31.25;15.52;77.19;
70 (s);8.77;4.20;118.60;503.67;218.87;3744.13;19.42;35.13;30.97;10.41;24.71;31.29;15.37;77.55;
80 (s);8.78;4.19;119.04;498.63;222.03;3743.76;19.31;35.21;31.05;10.30;24.71;31.33;15.25;77.34;
90 (s);8.79;4.17;126.29;499.73;223.98;3744.23;19.17;35.30;31.10;10.20;24.71;31.37;15.13;77.33;
100 (s);8.79;4.16;120.18;499.56;221.49;3744.58;19.06;35.40;31.15;10.08;24.71;31.39;15.02;77.47;
110 (s);8.80;4.14;129.79;498.03;218.97;3744.51;18.96;35.49;31.20;9.98;24.72;31.41;14.92;77.74;
120 (s);8.80;4.13;128.56;498.02;219.22;3744.54;18.85;35.59;31.25;9.89;24.72;31.42;14.82;77.88;
130 (s);8.81;4.12;124.63;498.56;224.08;3744.56;18.76;35.69;31.28;9.80;24.73;31.45;14.73;77.86;
140 (s);8.81;4.10;107.98;497.69;221.25;3745.21;18.65;35.81;31.32;9.69;24.73;31.46;14.64;78.31;
150 (s);8.81;4.10;132.02;496.98;221.78;3744.82;18.56;35.92;31.34;9.65;24.72;31.48;14.58;78.13;
160 (s);8.81;4.08;121.69;497.36;220.43;3745.05;18.47;36.04;31.35;9.55;24.70;31.49;14.50;78.48;
171 (s);8.82;4.07;123.90;499.96;220.84;3745.39;18.37;36.18;31.38;9.47;24.70;31.50;14.42;78.39;
181 (s);8.82;4.06;114.67;496.16;225.70;3745.27;18.28;36.29;31.41;9.39;24.70;31.50;14.35;78.29;
191 (s);8.82;4.06;126.28;499.98;222.80;3745.29;18.19;36.40;31.42;9.35;24.71;31.51;14.30;78.52;
201 (s);8.82;4.05;139.81;497.75;223.21;3745.38;18.10;36.54;31.42;9.29;24.73;31.53;14.20;78.61;
211 (s);8.83;4.04;111.85;497.06;221.69;3745.68;18.02;36.65;31.43;9.23;24.75;31.54;14.15;78.74;
221 (s);8.83;4.03;131.58;498.49;224.31;3746.02;17.94;36.77;31.44;9.19;24.76;31.55;14.12;78.92;
231 (s);8.83;4.03;128.55;498.69;223.02;3745.68;17.85;36.91;31.47;9.13;24.76;31.56;14.05;79.05;
241 (s);8.83;4.02;103.65;497.17;223.68;3746.07;17.78;37.04;31.47;9.07;24.77;31.57;14.01;79.19;
251 (s);8.83;4.01;132.99;497.06;220.60;3746.14;17.69;37.17;31.49;9.05;24.78;31.58;13.96;79.31;
261 (s);8.84;4.01;122.88;497.73;217.79;3746.09;17.62;37.29;31.50;9.00;24.79;31.59;13.91;79.47;
271 (s);8.84;4.00;122.80;498.32;222.35;3746.10;17.55;37.42;31.52;8.94;24.79;31.60;13.86;79.50;
281 (s);8.84;3.99;140.14;497.81;222.28;3746.54;17.48;37.56;31.53;8.90;24.77;31.61;13.83;79.60;
291 (s);8.84;3.99;119.09;498.09;221.65;3746.27;17.41;37.68;31.54;8.84;24.77;31.62;13.78;79.67;
301 (s);8.84;3.98;129.95;496.49;224.26;3746.65;17.35;37.81;31.54;8.82;24.77;31.62;13.75;79.90;
311 (s);8.84;3.98;137.98;498.79;217.55;3746.79;17.29;37.94;31.55;8.80;24.78;31.63;13.71;80.00;
321 (s);8.85;3.98;123.00;495.36;222.20;3746.92;17.23;38.08;31.54;8.76;24.78;31.63;13.67;80.33;
331 (s);8.85;3.97;130.14;497.34;219.94;3746.79;17.16;38.22;31.53;8.74;24.78;31.64;13.63;80.25;
341 (s);8.86;3.96;125.38;496.37;220.67;3746.99;17.10;38.35;31.55;8.67;24.80;31.65;13.60;80.38;
351 (s);8.86;3.96;121.69;498.26;219.49;3747.05;17.04;38.47;31.56;8.66;24.83;31.66;13.58;80.46;
361 (s);8.86;3.96;128.27;497.38;221.46;3747.20;16.98;38.59;31.58;8.64;24.84;31.67;13.54;80.57;
371 (s);8.87;3.95;122.94;496.66;222.89;3747.29;16.93;38.72;31.59;8.60;24.83;31.69;13.52;80.64;
381 (s);8.87;3.95;131.60;502.16;221.64;3747.88;16.88;38.86;31.60;8.59;24.82;31.70;13.50;80.84;
391 (s);8.87;3.95;119.84;499.06;222.05;3748.01;16.82;38.99;31.60;8.54;24.81;31.71;13.46;80.80;
401 (s);8.88;3.94;123.15;500.32;222.23;3747.54;16.77;39.11;31.61;8.50;24.80;31.71;13.44;80.92;
412 (s);8.88;3.94;123.92;494.63;220.47;3747.87;16.71;39.25;31.63;8.48;24.81;31.71;13.42;81.06;
422 (s);8.88;3.93;114.92;498.58;222.87;3747.62;16.65;39.38;31.64;8.44;24.82;31.72;13.39;81.12;
432 (s);8.88;3.93;112.96;493.50;221.90;3747.89;16.60;39.51;31.65;8.43;24.83;31.73;13.37;81.30;
442 (s);8.89;3.93;133.70;497.82;223.05;3747.63;16.55;39.66;31.64;8.42;24.84;31.75;13.34;81.26;
452 (s);8.89;3.93;138.78;498.25;219.55;3747.63;16.51;39.79;31.65;8.40;24.86;31.76;13.32;81.39;
462 (s);8.90;3.92;129.50;498.16;223.34;3747.92;16.46;39.94;31.64;8.35;24.87;31.77;13.30;81.40;
472 (s);8.90;3.92;114.51;496.73;223.78;3748.38;16.41;40.08;31.66;8.33;24.87;31.78;13.27;81.52;
482 (s);8.91;3.93;103.88;497.05;329.08;3747.99;16.37;40.21;31.65;8.45;24.88;31.79;13.47;81.66;
492 (s);8.92;3.96;110.16;496.98;329.41;3748.33;16.35;40.37;31.64;8.65;24.88;31.82;14.36;81.99;
502 (s);8.94;3.98;125.84;493.87;325.97;3748.50;16.34;40.52;31.64;8.80;24.90;31.85;14.77;82.10;
512 (s);8.97;3.99;122.45;460.84;323.02;3748.52;16.34;40.67;31.63;8.86;24.91;31.94;14.95;82.26;
522 (s);9.01;4.00;74.33;375.64;325.45;3748.92;16.33;40.86;31.64;8.92;24.93;32.10;15.06;82.44;
