Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);12.05;4.51;55.05;19.60;39.92;3761.50;19.54;65.46;35.62;12.56;27.73;41.84;43.21;95.44;
20 (s);12.05;4.51;59.42;19.66;39.99;3761.37;19.59;65.45;35.63;12.56;27.74;41.82;43.29;95.38;
30 (s);12.06;4.52;63.69;19.66;39.99;3761.46;19.64;65.46;35.59;12.58;27.74;41.79;43.39;95.48;
40 (s);12.06;4.52;68.22;19.70;40.01;3761.10;19.69;65.47;35.51;12.58;27.73;41.77;43.45;95.35;
50 (s);12.07;4.52;73.70;19.80;40.38;3761.46;19.74;65.47;35.42;12.59;27.74;41.75;43.53;95.51;
60 (s);12.07;4.52;76.38;19.58;40.02;3761.39;19.80;65.48;35.30;12.63;27.77;41.73;43.61;95.61;
70 (s);12.07;4.52;78.16;19.62;40.14;3761.11;19.84;65.50;35.13;12.64;27.78;41.73;43.66;95.54;
80 (s);12.07;4.53;80.37;19.72;40.14;3761.40;19.88;65.50;34.96;12.68;27.78;41.72;43.71;95.55;
90 (s);12.07;4.53;81.46;19.82;39.97;3761.40;19.92;65.52;34.77;12.69;27.79;41.72;43.71;95.54;
100 (s);12.07;4.54;84.10;19.76;40.05;3762.14;19.95;65.49;34.62;12.75;27.79;41.71;43.72;95.63;
110 (s);12.06;4.54;85.09;19.70;40.06;3761.58;19.98;65.48;34.45;12.77;27.79;41.71;43.75;95.71;
120 (s);12.06;4.55;86.53;19.82;40.04;3761.31;20.01;65.47;34.31;12.80;27.80;41.71;43.73;95.65;
131 (s);12.06;4.55;88.23;19.68;39.93;3761.38;20.03;65.50;34.17;12.83;27.81;41.72;43.74;95.77;
141 (s);12.05;4.56;89.46;19.80;40.22;3761.50;20.06;65.48;34.01;12.87;27.82;41.72;43.75;95.74;
151 (s);12.05;4.56;90.19;19.76;40.26;3761.30;20.09;65.47;33.88;12.91;27.83;41.72;43.77;95.63;
161 (s);12.04;4.57;92.35;19.79;40.10;3761.65;20.11;65.48;33.74;12.94;27.83;41.73;43.79;95.73;
171 (s);12.04;4.58;93.57;19.94;40.44;3761.53;20.13;65.51;33.61;12.99;27.83;41.74;43.79;95.84;
181 (s);12.04;4.59;94.30;19.68;40.06;3761.48;20.16;65.52;33.50;13.05;27.83;41.74;43.77;95.88;
191 (s);12.03;4.59;94.31;19.58;39.95;3761.89;20.18;65.52;33.38;13.05;27.85;41.75;43.73;95.86;
201 (s);12.03;4.59;94.54;19.72;39.86;3761.47;20.20;65.53;33.28;13.10;27.86;41.75;43.72;95.81;
211 (s);12.03;4.60;94.55;19.81;40.07;3761.76;20.22;65.52;33.17;13.12;27.84;41.77;43.73;95.93;
221 (s);12.05;4.60;94.54;19.69;40.09;3761.72;20.25;65.54;33.07;13.13;27.83;41.79;43.73;95.96;
231 (s);12.06;4.60;94.55;19.73;40.02;3761.50;20.26;65.51;32.99;13.16;27.84;41.82;43.71;96.01;
241 (s);12.07;4.61;94.80;19.72;40.33;3761.41;20.28;65.52;32.91;13.19;27.86;41.88;43.71;96.11;
251 (s);12.08;4.61;95.02;19.77;40.32;3761.96;20.29;65.52;32.84;13.21;27.89;41.92;43.72;96.20;
261 (s);12.07;4.62;95.04;19.59;40.00;3761.86;20.32;65.49;32.77;13.27;27.93;41.96;43.77;96.06;
271 (s);12.07;4.62;95.03;19.80;40.25;3761.67;20.34;65.50;32.71;13.29;27.95;41.96;43.79;96.11;
281 (s);12.07;4.63;95.02;19.73;40.04;3762.02;20.35;65.51;32.66;13.32;27.93;41.98;43.81;96.21;
291 (s);12.07;4.63;95.01;19.81;40.30;3761.71;20.36;65.51;32.62;13.34;27.92;41.97;43.79;96.25;
301 (s);12.06;4.63;95.26;19.83;40.23;3761.84;20.36;65.52;32.57;13.35;27.92;41.98;43.76;96.15;
311 (s);12.06;4.64;95.26;19.77;40.08;3761.90;20.36;65.52;32.53;13.38;27.93;41.99;43.75;96.24;
