Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);10.13;4.07;118.52;9.74;18.88;3513.96;16.26;48.37;35.68;9.42;23.42;37.77;30.34;80.08;
2 (s);10.13;4.06;99.16;9.66;19.13;3514.49;16.26;48.39;35.68;9.41;23.42;37.77;30.35;79.33;
3 (s);10.14;4.06;92.57;9.41;19.07;3514.12;16.26;48.40;35.69;9.40;23.42;37.77;30.35;78.94;
4 (s);10.13;4.07;128.73;9.76;19.23;3513.94;16.25;48.41;35.69;9.43;23.42;37.78;30.35;79.68;
5 (s);10.14;4.06;57.48;9.69;18.88;3514.16;16.25;48.41;35.69;9.40;23.42;37.78;30.35;80.21;
6 (s);10.14;4.07;114.62;9.66;18.99;3514.01;16.26;48.42;35.70;9.43;23.42;37.78;30.35;79.59;
7 (s);10.14;4.06;103.98;9.56;18.95;3514.06;16.25;48.43;35.69;9.41;23.42;37.78;30.35;78.88;
8 (s);10.14;4.06;77.83;9.66;19.04;3514.00;16.25;48.44;35.70;9.40;23.42;37.79;30.35;79.74;
9 (s);10.13;4.07;133.16;9.57;18.98;3514.15;16.25;48.46;35.69;9.43;23.42;37.79;30.34;80.18;
10 (s);10.14;4.06;71.03;9.66;19.14;3514.33;16.25;48.47;35.70;9.38;23.42;37.80;30.34;79.73;
11 (s);10.14;4.06;111.18;9.67;18.79;3514.07;16.25;48.47;35.70;9.40;23.42;37.80;30.34;78.83;
12 (s);10.14;4.07;119.17;9.66;18.93;3514.17;16.25;48.48;35.69;9.42;23.42;37.80;30.34;79.37;
13 (s);10.14;4.06;71.41;9.96;19.15;3514.07;16.25;48.49;35.70;9.40;23.42;37.80;30.35;80.14;
14 (s);10.14;4.07;129.08;10.09;19.24;3514.01;16.25;48.49;35.70;9.44;23.42;37.81;30.34;80.06;
15 (s);10.15;4.06;86.50;9.76;19.04;3514.30;16.25;48.50;35.71;9.40;23.42;37.81;30.34;78.95;
16 (s);10.15;4.06;98.34;9.83;18.73;3514.06;16.25;48.51;35.71;9.40;23.42;37.81;30.34;79.27;
17 (s);10.14;4.07;124.08;9.96;19.08;3514.20;16.25;48.51;35.71;9.42;23.42;37.81;30.33;80.16;
18 (s);10.15;4.06;63.32;9.89;18.75;3514.14;16.24;48.52;35.71;9.40;23.42;37.81;30.33;80.08;
19 (s);10.14;4.07;126.69;10.01;19.04;3514.22;16.24;48.53;35.71;9.44;23.42;37.81;30.33;79.02;
20 (s);10.15;4.06;94.81;9.95;19.08;3514.13;16.24;48.54;35.70;9.41;23.42;37.81;30.33;79.25;
21 (s);10.15;4.07;95.66;9.73;18.92;3514.35;16.24;48.55;35.71;9.42;23.42;37.81;30.32;80.06;
22 (s);10.14;4.07;135.41;9.81;19.14;3513.93;16.24;48.57;35.69;9.42;23.42;37.81;30.32;80.13;
23 (s);10.15;4.06;60.10;9.81;19.16;3514.19;16.24;48.57;35.70;9.40;23.42;37.82;30.32;79.14;
24 (s);10.14;4.06;116.47;9.58;18.90;3514.10;16.24;48.58;35.70;9.41;23.42;37.82;30.31;79.22;
25 (s);10.15;4.06;110.73;9.91;19.26;3514.26;16.24;48.59;35.69;9.40;23.42;37.82;30.31;80.11;
26 (s);10.15;4.06;88.45;9.78;18.98;3514.11;16.24;48.60;35.71;9.39;23.42;37.82;30.31;80.20;
27 (s);10.15;4.07;129.64;9.81;18.98;3514.28;16.24;48.61;35.70;9.43;23.42;37.82;30.31;79.16;
28 (s);10.15;4.06;66.93;9.85;18.88;3514.14;16.24;48.62;35.71;9.38;23.42;37.82;30.32;79.22;
29 (s);10.15;4.06;111.37;9.79;19.12;3513.97;16.24;48.62;35.71;9.40;23.43;37.82;30.32;79.97;
30 (s);10.15;4.06;116.25;9.76;19.06;3514.29;16.24;48.63;35.70;9.41;23.43;37.82;30.32;80.26;
