Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);7.12;3.33;114.47;485.26;236.05;3374.43;10.66;27.22;23.03;3.64;16.87;23.17;7.44;57.76;
20 (s);7.12;3.32;64.66;485.51;240.17;3374.59;10.60;27.23;22.99;3.51;16.87;23.15;7.37;57.50;
30 (s);7.12;3.31;25.89;485.37;235.21;3374.55;10.55;27.24;22.98;3.43;16.87;23.17;7.33;59.10;
40 (s);7.13;3.30;24.72;484.27;238.91;3374.86;10.46;27.25;22.97;3.36;16.86;23.11;7.28;59.37;
51 (s);7.13;3.29;43.15;482.37;233.47;3374.48;10.38;27.27;22.91;3.29;16.87;23.14;7.23;58.90;
61 (s);7.13;3.30;93.37;483.46;236.98;3374.42;10.31;27.29;22.89;3.32;16.88;23.13;7.18;58.53;
71 (s);7.13;3.29;110.35;485.25;235.44;3374.44;10.25;27.30;22.88;3.29;16.87;23.16;7.13;58.45;
81 (s);7.14;3.27;18.35;486.41;236.68;3374.70;10.19;27.32;22.84;3.11;16.88;23.10;7.09;58.74;
91 (s);7.14;3.27;29.96;485.88;236.00;3374.75;10.13;27.35;22.80;3.08;16.88;23.12;7.04;59.45;
101 (s);7.14;3.27;116.18;484.59;239.01;3374.70;10.08;27.38;22.73;3.11;16.87;23.12;6.98;60.30;
111 (s);7.15;3.25;22.27;480.30;236.13;3375.04;10.01;27.41;22.68;2.94;16.84;23.15;6.95;58.90;
122 (s);7.15;3.26;84.93;485.13;237.21;3375.04;9.95;27.43;22.66;2.97;16.83;23.14;6.90;59.70;
132 (s);7.16;3.25;31.28;484.45;233.80;3374.99;9.91;27.46;22.64;2.87;16.82;23.14;6.86;59.66;
142 (s);7.16;3.25;79.44;483.47;236.40;3374.81;9.86;27.49;22.59;2.88;16.84;23.11;6.82;60.11;
152 (s);7.16;3.24;19.01;485.24;237.74;3375.10;9.81;27.52;22.50;2.79;16.86;23.14;6.77;59.26;
162 (s);7.17;3.24;103.76;484.58;236.87;3375.03;9.76;27.55;22.49;2.80;16.87;23.12;6.73;60.15;
172 (s);7.17;3.22;45.62;484.39;234.67;3375.18;9.72;27.58;22.43;2.62;16.87;23.16;6.69;61.00;
183 (s);7.18;3.21;24.04;485.87;236.67;3375.10;9.66;27.61;22.34;2.59;16.86;23.14;6.66;61.27;
193 (s);7.18;3.21;86.55;481.91;235.61;3375.40;9.62;27.66;22.30;2.61;16.86;23.16;6.63;61.38;
203 (s);7.19;3.21;74.23;483.97;236.04;3375.36;9.57;27.69;22.29;2.56;16.89;23.18;6.60;61.40;
213 (s);7.19;3.20;40.26;487.15;238.44;3375.39;9.52;27.73;22.15;2.44;16.90;23.18;6.56;60.56;
223 (s);7.20;3.19;27.10;484.24;230.30;3375.64;9.48;27.76;22.08;2.39;16.91;23.20;6.53;60.47;
233 (s);7.20;3.19;38.36;485.30;240.48;3375.61;9.42;27.81;22.07;2.35;16.92;23.21;6.48;61.76;
243 (s);7.21;3.18;36.61;482.02;233.91;3375.41;9.36;27.85;22.01;2.32;16.92;23.20;6.44;60.95;
254 (s);7.22;3.18;41.43;484.15;238.58;3375.53;9.32;27.91;21.78;2.27;16.92;23.21;6.41;61.31;
264 (s);7.23;3.16;46.62;482.56;232.82;3375.53;9.24;27.97;21.72;2.15;16.93;23.20;6.38;60.90;
274 (s);7.23;3.16;46.36;481.97;236.51;3375.62;9.16;28.03;21.84;2.11;16.93;23.22;6.35;62.29;
284 (s);7.24;3.15;43.92;484.56;236.88;3375.45;9.09;28.09;21.84;2.05;16.93;23.25;6.31;61.88;
294 (s);7.24;3.15;45.79;485.18;233.29;3376.10;9.03;28.14;21.88;2.06;16.94;23.23;6.28;61.64;
304 (s);7.25;3.15;45.88;485.27;234.12;3375.98;8.98;28.19;21.88;2.01;16.95;23.24;6.25;61.58;
314 (s);7.25;3.14;44.53;487.62;237.23;3375.74;8.93;28.23;21.79;1.97;16.96;23.28;6.22;61.85;
325 (s);7.26;3.14;44.14;483.74;236.92;3376.15;8.88;28.27;21.65;1.94;16.99;23.28;6.19;62.53;
