Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.45;4.44;67.82;166.04;321.77;2660.95;19.20;44.27;40.79;12.04;24.01;43.17;17.50;64.16;
10 (s);11.46;4.46;76.47;165.31;321.29;2661.06;19.19;44.30;40.79;12.17;24.01;43.20;17.50;64.10;
15 (s);11.47;4.44;73.45;163.44;320.27;2661.19;19.19;44.33;40.80;12.06;24.01;43.23;17.49;63.97;
20 (s);11.48;4.44;49.79;161.66;319.25;2661.02;19.18;44.35;40.85;12.09;24.01;43.26;17.49;64.33;
25 (s);11.48;4.44;61.58;164.42;320.85;2661.08;19.18;44.38;40.88;12.09;24.01;43.28;17.50;64.26;
30 (s);11.49;4.43;65.64;161.72;320.12;2661.13;19.17;44.41;40.87;12.00;24.01;43.31;17.51;64.10;
35 (s);11.50;4.44;65.77;161.40;320.58;2661.06;19.16;44.44;40.86;12.05;24.02;43.33;17.52;64.50;
40 (s);11.51;4.43;67.29;163.97;321.72;2661.30;19.16;44.47;40.86;12.02;24.02;43.35;17.53;64.21;
45 (s);11.52;4.44;66.59;162.39;321.10;2661.12;19.15;44.50;40.87;12.05;24.02;43.38;17.54;64.49;
50 (s);11.53;4.43;64.86;162.41;319.19;2661.12;19.15;44.53;40.89;12.00;24.03;43.41;17.52;64.38;
56 (s);11.53;4.43;65.61;159.75;318.15;2661.08;19.14;44.56;40.90;12.02;24.03;43.45;17.51;64.41;
61 (s);11.54;4.44;70.75;163.52;319.86;2661.30;19.13;44.59;40.93;12.06;24.04;43.48;17.49;64.54;
66 (s);11.55;4.45;64.93;164.00;320.64;2661.25;19.13;44.62;40.97;12.10;24.05;43.50;17.48;64.34;
71 (s);11.56;4.43;67.14;159.25;318.59;2661.20;19.13;44.64;40.98;11.97;24.05;43.53;17.48;64.46;
76 (s);11.57;4.42;65.53;161.29;318.66;2661.08;19.13;44.67;40.97;11.94;24.05;43.55;17.48;64.57;
81 (s);11.58;4.43;69.22;162.41;321.71;2661.30;19.13;44.70;41.01;12.02;24.06;43.59;17.49;64.47;
86 (s);11.59;4.45;57.18;162.84;319.24;2661.31;19.13;44.73;41.02;12.12;24.06;43.63;17.49;64.63;
91 (s);11.59;4.45;64.46;158.60;318.26;2661.30;19.13;44.75;41.05;12.14;24.06;43.63;17.48;64.66;
96 (s);11.60;4.44;73.48;158.41;320.78;2661.32;19.12;44.78;41.08;12.05;24.06;43.66;17.45;64.59;
101 (s);11.61;4.43;57.33;159.04;317.86;2661.27;19.12;44.81;41.10;12.01;24.06;43.69;17.44;64.59;
106 (s);11.62;4.44;63.96;162.13;321.16;2661.39;19.11;44.83;41.13;12.04;24.06;43.73;17.42;64.84;
111 (s);11.62;4.44;65.44;159.53;319.09;2661.44;19.10;44.86;41.16;12.09;24.06;43.77;17.42;65.02;
116 (s);11.63;4.44;72.52;160.81;318.93;2661.22;19.10;44.88;41.19;12.04;24.06;43.80;17.43;64.90;
122 (s);11.64;4.44;76.47;158.68;319.63;2661.29;19.09;44.91;41.20;12.09;24.06;43.81;17.44;64.87;
127 (s);11.65;4.45;57.86;161.29;319.77;2661.30;19.08;44.94;41.20;12.12;24.07;43.82;17.46;64.81;
132 (s);11.66;4.43;72.46;160.06;318.24;2661.34;19.08;44.96;41.25;11.98;24.07;43.84;17.49;64.85;
137 (s);11.66;4.42;70.36;158.81;317.77;2661.30;19.07;44.99;41.26;11.95;24.06;43.86;17.51;64.98;
142 (s);11.67;4.42;61.68;159.80;318.31;2661.30;19.07;45.02;41.29;11.96;24.06;43.91;17.51;64.97;
147 (s);11.68;4.43;66.80;159.84;318.78;2661.41;19.06;45.04;41.30;11.98;24.07;43.94;17.49;65.12;
152 (s);11.68;4.42;70.22;157.07;320.30;2661.32;19.06;45.06;41.33;11.95;24.07;43.96;17.48;65.18;
157 (s);11.69;4.42;66.43;160.61;322.17;2661.29;19.06;45.09;41.33;11.90;24.07;43.99;17.47;65.12;
162 (s);11.70;4.44;66.75;157.65;319.56;2661.35;19.05;45.12;41.35;12.07;24.07;44.02;17.48;65.12;
167 (s);11.71;4.43;65.67;157.14;317.69;2661.37;19.04;45.14;41.38;12.00;24.07;44.03;17.48;65.10;
172 (s);11.71;4.44;64.72;159.82;320.60;2661.46;19.04;45.17;41.42;12.04;24.07;44.06;17.48;65.22;
177 (s);11.72;4.44;69.09;161.24;319.61;2661.31;19.04;45.19;41.45;12.05;24.08;44.09;17.49;65.20;
182 (s);11.73;4.42;67.33;160.00;317.49;2661.17;19.03;45.22;41.48;11.95;24.08;44.12;17.50;65.10;
187 (s);11.73;4.43;66.02;156.54;318.37;2661.20;19.02;45.24;41.49;12.02;24.08;44.14;17.50;65.23;
192 (s);11.74;4.42;85.17;159.73;318.45;2661.26;19.02;45.27;41.52;11.96;24.08;44.15;17.49;65.22;
198 (s);11.75;4.43;69.39;157.49;317.68;2661.33;19.01;45.29;41.57;12.03;24.07;44.19;17.50;65.28;
203 (s);11.76;4.44;51.10;158.22;321.12;2661.31;19.01;45.31;41.59;12.06;24.07;44.23;17.51;65.44;
208 (s);11.76;4.43;66.96;156.46;318.77;2661.28;19.00;45.34;41.64;12.02;24.07;44.25;17.52;65.52;
213 (s);11.77;4.43;78.39;158.08;319.68;2661.36;18.99;45.36;41.68;12.01;24.07;44.27;17.54;65.58;
218 (s);11.78;4.42;62.81;158.45;319.00;2661.13;18.99;45.38;41.68;11.90;24.08;44.30;17.55;65.45;
223 (s);11.78;4.42;64.89;158.22;320.39;2661.21;18.97;45.40;41.70;11.94;24.08;44.32;17.55;65.44;
228 (s);11.79;4.43;77.04;159.76;318.70;2661.20;18.96;45.43;41.72;11.99;24.08;44.34;17.56;65.47;
233 (s);11.80;4.43;63.47;156.21;319.08;2661.18;18.96;45.46;41.72;12.01;24.08;44.35;17.53;65.41;
238 (s);11.80;4.44;68.99;154.50;319.77;2661.26;18.96;45.48;41.76;12.06;24.09;44.38;17.50;65.51;
243 (s);11.81;4.43;69.70;157.33;319.10;2661.29;18.96;45.50;41.77;11.98;24.09;44.41;17.49;65.53;
248 (s);11.82;4.43;66.03;157.66;320.17;2661.23;18.96;45.53;41.79;11.98;24.10;44.43;17.50;65.81;
253 (s);11.83;4.42;72.02;156.22;317.97;2661.11;18.95;45.55;41.81;11.90;24.10;44.45;17.52;65.62;
258 (s);11.83;4.44;67.16;158.36;319.72;2661.19;18.94;45.58;41.85;12.04;24.10;44.48;17.53;65.62;
263 (s);11.84;4.42;65.72;155.59;319.36;2661.25;18.94;45.60;41.86;11.94;24.11;44.50;17.52;65.71;
268 (s);11.85;4.43;75.11;155.69;317.08;2661.14;18.93;45.62;41.87;11.98;24.11;44.53;17.52;65.91;
274 (s);11.85;4.43;70.71;158.58;318.63;2661.18;18.94;45.65;41.89;12.00;24.11;44.55;17.53;65.70;
279 (s);11.86;4.44;66.44;155.82;317.89;2661.31;18.94;45.68;41.94;12.08;24.12;44.58;17.51;65.93;
284 (s);11.87;4.43;63.68;156.90;319.18;2661.20;18.93;45.70;41.93;12.01;24.12;44.60;17.51;65.93;
289 (s);11.88;4.43;72.74;156.76;317.98;2661.06;18.93;45.72;41.96;11.99;24.12;44.62;17.53;65.80;
294 (s);11.88;4.44;67.95;158.16;317.27;2661.22;18.92;45.74;41.98;12.05;24.13;44.64;17.53;66.01;
299 (s);11.89;4.43;67.70;160.85;318.23;2661.29;18.92;45.76;42.01;11.96;24.13;44.67;17.54;66.01;
304 (s);11.89;4.43;68.56;158.43;316.00;2661.16;18.92;45.79;42.05;12.01;24.13;44.70;17.55;65.96;
309 (s);11.90;4.44;64.92;157.43;317.68;2661.23;18.92;45.80;42.05;12.05;24.14;44.71;17.57;66.09;
314 (s);11.91;4.43;63.62;159.06;316.48;2661.30;18.91;45.82;42.08;12.00;24.14;44.73;17.58;65.84;
319 (s);11.91;4.43;64.12;157.38;315.90;2661.30;18.90;45.84;42.09;11.98;24.14;44.75;17.60;66.14;
324 (s);11.92;4.44;64.80;159.06;316.58;2661.32;18.90;45.87;42.12;12.10;24.15;44.77;17.62;66.07;
329 (s);11.92;4.43;64.96;158.66;318.82;2661.35;18.90;45.89;42.17;12.01;24.15;44.78;17.62;66.22;
334 (s);11.93;4.44;70.81;157.45;317.62;2661.29;18.90;45.91;42.18;12.08;24.15;44.80;17.60;65.99;
339 (s);11.94;4.44;65.07;158.05;319.29;2661.24;18.89;45.93;42.20;12.05;24.16;44.81;17.58;66.26;
344 (s);11.94;4.43;64.99;156.65;317.40;2661.35;18.89;45.95;42.21;11.98;24.16;44.84;17.58;66.29;
349 (s);11.95;4.43;67.08;157.12;320.20;2661.30;18.88;45.98;42.22;11.99;24.16;44.86;17.59;66.31;
354 (s);11.96;4.42;67.27;158.16;316.69;2661.26;18.88;46.00;42.25;11.91;24.16;44.89;17.60;66.26;
360 (s);11.96;4.42;66.12;156.66;316.57;2661.37;18.87;46.02;42.26;11.96;24.16;44.92;17.61;66.37;
365 (s);11.97;4.43;67.82;155.70;316.45;2661.39;18.86;46.04;42.28;11.98;24.16;44.94;17.61;66.26;
370 (s);11.98;4.43;67.11;159.01;316.44;2661.56;18.86;46.06;42.28;12.00;24.15;44.95;17.60;66.57;
375 (s);11.98;4.41;67.32;158.26;317.26;2661.62;18.85;46.08;42.30;11.90;24.16;44.98;17.57;66.25;
380 (s);11.99;4.42;63.23;155.47;315.88;2661.51;18.85;46.10;42.32;11.96;24.16;45.00;17.56;66.46;
