Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.22;3.49;56.11;438.71;594.41;3380.47;11.44;47.75;20.08;4.93;18.60;26.76;11.75;68.08;
20 (s);8.24;3.49;56.11;440.90;598.39;3380.11;11.45;47.76;20.11;4.92;18.61;26.87;11.77;68.47;
30 (s);8.25;3.49;56.13;438.19;593.29;3380.49;11.46;47.81;20.11;4.94;18.62;26.88;11.78;69.09;
40 (s);8.27;3.49;56.12;438.99;595.86;3380.28;11.46;47.86;20.12;4.94;18.64;26.96;11.78;69.05;
50 (s);8.28;3.49;54.67;440.09;600.80;3380.60;11.46;47.90;20.10;4.94;18.67;27.03;11.77;68.37;
60 (s);8.29;3.49;54.42;439.37;595.23;3380.69;11.46;47.92;20.12;4.98;18.68;27.07;11.79;69.68;
70 (s);8.30;3.49;53.95;440.07;596.49;3380.62;11.46;47.98;20.13;4.98;18.69;27.13;11.80;68.24;
80 (s);8.31;3.49;53.45;441.05;600.04;3380.66;11.46;47.99;20.09;4.96;18.72;27.14;11.81;69.49;
90 (s);8.32;3.49;52.72;438.09;596.70;3380.65;11.47;48.02;20.09;4.98;18.74;27.17;11.81;68.65;
101 (s);8.33;3.49;52.48;437.58;596.40;3380.37;11.46;48.02;20.06;4.97;18.74;27.22;11.83;69.33;
111 (s);8.34;3.49;52.46;435.38;594.95;3380.50;11.46;48.05;20.05;4.98;18.76;27.27;11.82;69.37;
121 (s);8.35;3.49;52.00;437.89;596.40;3380.55;11.47;48.08;20.06;4.98;18.77;27.30;11.83;68.45;
131 (s);8.36;3.49;51.97;440.96;598.70;3380.52;11.47;48.10;20.08;4.98;18.80;27.35;11.85;69.65;
141 (s);8.37;3.49;51.98;439.11;598.39;3380.87;11.47;48.13;20.09;4.98;18.82;27.33;11.86;69.78;
151 (s);8.38;3.50;51.98;439.24;595.49;3380.51;11.49;48.18;20.11;5.00;18.84;27.38;11.87;69.39;
161 (s);8.38;3.49;51.99;438.79;596.68;3380.61;11.51;48.21;20.11;4.99;18.81;27.40;11.89;68.52;
171 (s);8.38;3.50;51.97;442.10;601.98;3380.69;11.52;48.24;20.15;5.00;18.79;27.49;11.91;68.59;
181 (s);8.39;3.50;51.84;437.14;595.77;3380.60;11.53;48.27;20.16;5.02;18.80;27.47;11.93;69.34;
192 (s);8.39;3.50;51.75;437.95;596.65;3380.59;11.53;48.33;20.19;5.01;18.80;27.44;11.93;69.76;
202 (s);8.40;3.50;51.74;440.40;598.08;3380.96;11.53;48.33;20.22;5.02;18.80;27.51;11.94;69.32;
212 (s);8.40;3.50;51.75;439.60;598.36;3380.84;11.55;48.36;20.21;5.01;18.79;27.49;11.94;69.13;
222 (s);8.41;3.50;51.74;437.57;597.49;3380.71;11.54;48.38;20.20;5.04;18.78;27.48;11.94;68.59;
232 (s);8.41;3.50;51.73;441.19;601.09;3380.77;11.55;48.42;20.23;5.02;18.78;27.50;11.93;69.24;
242 (s);8.41;3.50;51.76;441.19;600.46;3380.60;11.56;48.43;20.24;5.02;18.77;27.52;11.93;69.61;
252 (s);8.42;3.50;51.98;440.70;599.42;3380.62;11.57;48.46;20.27;5.03;18.78;27.57;11.95;68.80;
262 (s);8.42;3.50;51.98;439.41;597.95;3380.60;11.57;48.49;20.30;5.03;18.79;27.53;11.97;68.70;
272 (s);8.42;3.50;51.98;440.76;600.24;3380.71;11.59;48.53;20.31;5.03;18.79;27.58;11.98;68.63;
282 (s);8.43;3.50;52.23;439.67;597.75;3380.97;11.60;48.56;20.33;5.04;18.79;27.54;11.99;69.30;
292 (s);8.43;3.50;52.46;441.53;601.80;3380.85;11.61;48.59;20.35;5.05;18.78;27.55;12.00;69.75;
302 (s);8.43;3.50;52.46;437.78;597.93;3380.74;11.62;48.64;20.36;5.06;18.76;27.63;12.01;70.03;
312 (s);8.43;3.50;52.49;440.50;595.89;3380.87;11.61;48.68;20.40;5.04;18.76;27.56;12.01;69.50;
322 (s);8.43;3.50;52.48;439.59;596.85;3380.85;11.61;48.70;20.40;5.04;18.78;27.58;12.01;69.01;
332 (s);8.44;3.50;53.08;438.61;599.01;3380.61;11.61;48.73;20.41;5.05;18.80;27.59;12.02;68.72;
342 (s);8.44;3.50;53.44;438.34;597.91;3380.65;11.63;48.75;20.44;5.08;18.83;27.60;12.03;69.41;
