Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);7.61;3.80;100.95;501.49;402.19;3384.10;14.23;29.66;26.13;7.42;18.51;25.70;12.21;64.79;
20 (s);7.62;3.79;92.46;500.92;404.37;3384.03;14.14;29.69;26.14;7.37;18.51;25.74;12.18;64.49;
30 (s);7.62;3.78;79.33;499.32;401.02;3384.41;14.05;29.71;26.16;7.28;18.51;25.74;12.13;64.71;
40 (s);7.62;3.78;89.22;501.21;400.33;3384.60;13.97;29.73;26.14;7.24;18.48;25.74;12.09;65.25;
50 (s);7.62;3.77;101.76;498.13;400.02;3384.14;13.90;29.74;26.17;7.20;18.47;25.76;12.03;65.72;
61 (s);7.63;3.76;128.07;503.42;401.12;3383.79;13.83;29.76;26.15;7.12;18.50;25.76;11.95;62.81;
71 (s);7.63;3.75;109.14;499.75;402.02;3383.94;13.73;29.78;26.17;7.03;18.52;25.77;11.90;62.79;
81 (s);7.64;3.74;72.62;498.71;401.55;3384.02;13.62;29.80;26.19;6.94;18.51;25.79;11.86;62.87;
91 (s);7.64;3.73;38.86;501.20;406.59;3383.83;13.54;29.82;26.15;6.88;18.50;25.79;11.82;63.07;
101 (s);7.65;3.72;70.74;500.00;403.70;3384.25;13.48;29.84;26.15;6.83;18.49;25.82;11.75;63.08;
111 (s);7.64;3.72;116.53;498.25;402.16;3384.21;13.42;29.86;26.17;6.80;18.48;25.82;11.69;63.21;
122 (s);7.65;3.71;36.60;496.74;400.89;3384.20;13.34;29.87;26.14;6.69;18.48;25.79;11.63;63.80;
132 (s);7.65;3.70;85.81;499.50;399.39;3384.19;13.27;29.90;26.14;6.68;18.49;25.81;11.58;64.11;
142 (s);7.65;3.70;127.49;500.38;401.78;3384.17;13.21;29.91;26.14;6.67;18.52;25.80;11.55;63.73;
152 (s);7.66;3.69;36.48;500.97;403.34;3384.19;13.13;29.94;26.14;6.58;18.50;25.83;11.52;64.33;
162 (s);7.66;3.69;136.68;499.09;401.03;3384.07;13.05;29.96;26.13;6.60;18.47;25.85;11.51;63.90;
172 (s);7.67;3.68;37.25;503.58;405.36;3384.86;12.96;29.99;26.14;6.47;18.47;25.85;11.49;64.61;
182 (s);7.67;3.68;121.17;502.28;405.39;3384.52;12.88;30.01;26.14;6.51;18.46;25.87;11.43;64.11;
192 (s);7.68;3.67;64.38;499.70;403.98;3384.36;12.79;30.04;26.11;6.41;18.47;25.87;11.38;64.80;
203 (s);7.68;3.66;29.42;499.97;403.23;3384.51;12.74;30.06;26.10;6.37;18.43;25.87;11.34;64.45;
213 (s);7.68;3.67;129.13;498.46;403.53;3384.55;12.70;30.09;26.09;6.40;18.39;25.87;11.32;64.70;
223 (s);7.68;3.66;119.70;501.29;399.97;3384.48;12.65;30.11;26.08;6.34;18.38;25.86;11.29;65.20;
233 (s);7.69;3.65;43.32;497.56;399.61;3384.92;12.59;30.13;26.05;6.22;18.40;25.84;11.26;64.75;
243 (s);7.69;3.64;32.00;498.36;402.26;3384.83;12.55;30.15;26.05;6.21;18.42;25.88;11.22;64.96;
253 (s);7.69;3.64;78.98;501.32;400.85;3384.77;12.50;30.18;26.07;6.19;18.41;25.89;11.17;65.41;
263 (s);7.69;3.64;131.71;500.16;403.71;3384.50;12.44;30.21;26.05;6.19;18.42;25.88;11.13;65.16;
274 (s);7.70;3.64;102.55;498.99;401.17;3384.92;12.39;30.24;26.05;6.14;18.45;25.90;11.09;65.03;
284 (s);7.71;3.62;115.25;497.47;405.55;3384.95;12.33;30.29;25.95;5.99;18.45;25.89;11.05;65.51;
294 (s);7.73;3.60;36.37;497.74;401.62;3385.01;12.27;30.36;25.83;5.84;18.45;25.90;11.02;65.92;
304 (s);7.74;3.60;71.48;498.23;403.17;3385.08;12.19;30.47;25.65;5.82;18.45;25.88;10.99;65.91;
314 (s);7.75;3.59;63.96;500.05;400.97;3385.35;12.12;30.57;25.54;5.75;18.46;25.95;10.99;66.19;
324 (s);7.76;3.58;59.99;498.40;401.52;3385.23;12.04;30.66;25.47;5.71;18.45;25.95;10.96;66.14;
335 (s);7.77;3.58;60.08;500.59;403.24;3385.18;12.01;30.73;25.42;5.70;18.44;25.94;10.94;65.78;
345 (s);7.77;3.57;55.64;499.88;400.42;3385.46;11.97;30.80;25.37;5.64;18.43;26.01;10.87;65.85;
355 (s);7.78;3.57;58.33;500.94;398.91;3385.19;11.92;30.85;25.33;5.58;18.42;25.98;10.83;66.39;
365 (s);7.79;3.56;58.44;503.90;402.41;3385.32;11.86;30.92;25.26;5.54;18.40;26.03;10.82;66.61;
375 (s);7.79;3.56;59.99;501.37;401.77;3385.62;11.81;30.98;25.22;5.50;18.39;26.02;10.83;66.10;
385 (s);7.80;3.56;58.98;497.50;397.57;3385.44;11.75;31.05;25.21;5.49;18.37;26.03;10.80;67.01;
395 (s);7.80;3.55;55.85;497.45;399.54;3385.38;11.71;31.11;25.17;5.46;18.37;26.04;10.73;66.56;
406 (s);7.81;3.54;61.18;498.11;399.11;3385.21;11.70;31.16;25.05;5.39;18.39;26.04;10.67;66.76;
416 (s);7.81;3.54;54.41;498.01;399.76;3385.55;11.68;31.24;24.98;5.37;18.39;26.08;10.62;67.07;
426 (s);7.82;3.53;55.75;498.36;400.41;3385.77;11.66;31.32;25.01;5.29;18.38;26.06;10.58;67.54;
436 (s);7.82;3.53;54.92;500.05;401.73;3385.98;11.61;31.39;25.16;5.30;18.37;26.09;10.57;67.85;
446 (s);7.83;3.52;55.19;499.61;400.11;3385.94;11.57;31.46;25.18;5.23;18.38;26.08;10.54;67.56;
456 (s);7.83;3.52;54.79;502.15;400.15;3385.82;11.54;31.55;25.19;5.20;18.39;26.09;10.52;67.71;
466 (s);7.83;3.52;55.62;500.26;402.96;3385.77;11.50;31.61;25.20;5.18;18.39;26.10;10.49;68.27;
476 (s);7.84;3.51;54.92;502.11;401.45;3386.04;11.48;31.69;25.13;5.16;18.39;26.13;10.47;67.62;
487 (s);7.84;3.51;55.61;498.01;400.45;3385.89;11.45;31.74;25.08;5.13;18.40;26.12;10.44;68.28;
497 (s);7.84;3.51;55.34;500.77;402.90;3386.03;11.41;31.80;25.04;5.10;18.43;26.12;10.42;67.93;
507 (s);7.85;3.51;55.39;502.16;405.01;3386.12;11.34;31.89;24.97;5.08;18.48;26.17;10.42;68.11;
517 (s);7.85;3.50;55.14;500.75;399.60;3386.26;11.28;31.97;24.92;5.06;18.51;26.15;10.44;68.17;
527 (s);7.86;3.50;53.91;500.39;403.03;3386.45;11.24;32.04;24.85;5.05;18.55;26.22;10.46;68.71;
537 (s);7.86;3.50;53.45;503.65;400.80;3386.13;11.23;32.10;24.80;5.05;18.55;26.21;10.46;68.23;
547 (s);7.87;3.49;50.98;500.18;397.70;3386.25;11.21;32.20;24.74;4.99;18.54;26.28;10.44;68.82;
557 (s);7.87;3.49;50.72;502.58;401.22;3386.29;11.18;32.27;24.70;4.97;18.54;26.26;10.40;68.12;
568 (s);7.88;3.49;50.02;503.69;402.91;3386.29;11.16;32.32;24.64;4.95;18.53;26.25;10.41;68.88;
578 (s);7.88;3.48;48.23;502.38;404.94;3386.32;11.14;32.38;24.57;4.90;18.51;26.29;10.39;68.92;
588 (s);7.88;3.48;46.85;501.87;405.61;3386.39;11.13;32.46;24.50;4.84;18.50;26.25;10.37;69.26;
598 (s);7.89;3.47;46.84;500.37;399.39;3386.76;11.09;32.53;24.43;4.82;18.51;26.28;10.34;68.70;
608 (s);7.89;3.47;47.56;499.00;399.40;3386.18;11.05;32.62;24.41;4.78;18.51;26.27;10.35;68.97;
618 (s);7.89;3.47;47.58;500.56;399.61;3386.57;11.01;32.71;24.38;4.76;18.51;26.29;10.33;69.59;
628 (s);7.89;3.46;46.60;501.83;402.50;3386.59;11.00;32.78;24.34;4.72;18.50;26.26;10.31;69.49;
638 (s);7.90;3.46;46.62;503.59;399.56;3386.64;11.00;32.85;24.28;4.69;18.51;26.30;10.28;69.25;
648 (s);7.90;3.45;46.57;500.21;400.65;3386.51;10.98;32.93;24.27;4.66;18.50;26.30;10.25;69.19;
659 (s);7.90;3.45;46.61;502.35;401.80;3386.76;10.96;33.01;24.26;4.65;18.49;26.34;10.23;69.57;
669 (s);7.90;3.45;46.86;501.87;399.47;3386.63;10.93;33.09;24.22;4.59;18.50;26.27;10.26;69.76;
679 (s);7.91;3.45;46.85;498.12;401.83;3387.03;10.90;33.18;24.23;4.59;18.50;26.31;10.29;69.18;
689 (s);7.91;3.45;46.85;504.35;402.62;3386.72;10.85;33.28;24.19;4.59;18.49;26.30;10.31;69.88;
699 (s);7.91;3.45;46.60;502.78;399.03;3386.55;10.82;33.35;24.18;4.60;18.48;26.30;10.31;69.65;
709 (s);7.91;3.44;45.86;497.76;398.93;3386.72;10.79;33.44;24.18;4.51;18.47;26.33;10.29;69.73;
720 (s);7.91;3.43;44.86;501.07;401.45;3386.65;10.79;33.51;24.12;4.48;18.48;26.32;10.27;70.12;
730 (s);7.92;3.44;45.39;500.01;402.55;3387.10;10.79;33.61;24.14;4.50;18.50;26.34;10.25;69.73;
740 (s);7.92;3.43;45.64;498.46;400.40;3386.96;10.77;33.68;24.09;4.47;18.53;26.30;10.26;69.54;
