Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);9.13;4.92;44.17;713.55;1024.24;2102.93;21.94;36.12;31.14;15.19;25.37;32.67;22.39;41.10;
2 (s);9.13;4.92;44.16;707.07;1018.57;2102.99;21.94;36.12;31.13;15.19;25.37;32.68;22.39;40.45;
3 (s);9.13;4.92;44.65;708.69;1019.41;2102.85;21.94;36.13;31.13;15.19;25.37;32.68;22.39;39.84;
4 (s);9.13;4.92;44.65;713.57;1023.42;2103.02;21.94;36.13;31.13;15.19;25.37;32.68;22.39;40.03;
5 (s);9.13;4.92;44.64;707.73;1020.15;2102.92;21.93;36.14;31.13;15.19;25.37;32.68;22.39;40.73;
6 (s);9.13;4.92;44.65;709.41;1021.06;2102.92;21.93;36.14;31.13;15.19;25.37;32.69;22.39;41.15;
7 (s);9.13;4.92;44.65;706.92;1020.00;2102.92;21.93;36.14;31.13;15.18;25.37;32.69;22.39;41.25;
8 (s);9.13;4.92;43.76;710.12;1019.99;2102.88;21.93;36.15;31.13;15.19;25.37;32.69;22.39;40.69;
9 (s);9.13;4.91;43.68;708.72;1021.53;2102.93;21.93;36.15;31.13;15.18;25.38;32.69;22.39;39.77;
10 (s);9.13;4.91;43.95;708.24;1018.07;2102.89;21.93;36.15;31.13;15.17;25.38;32.70;22.39;39.97;
11 (s);9.13;4.91;44.17;709.43;1022.84;2102.93;21.92;36.16;31.12;15.17;25.38;32.70;22.39;40.73;
12 (s);9.13;4.91;43.34;707.51;1018.45;2103.01;21.92;36.16;31.12;15.16;25.38;32.70;22.39;41.20;
13 (s);9.13;4.91;43.43;711.50;1022.05;2102.91;21.92;36.16;31.11;15.17;25.38;32.70;22.39;41.19;
14 (s);9.14;4.91;43.43;708.57;1019.95;2103.09;21.92;36.17;31.11;15.17;25.38;32.71;22.39;40.81;
15 (s);9.14;4.91;43.44;711.41;1021.68;2102.98;21.92;36.17;31.10;15.16;25.38;32.71;22.39;40.10;
16 (s);9.14;4.91;43.44;710.16;1022.70;2102.95;21.92;36.17;31.09;15.16;25.38;32.71;22.39;39.76;
17 (s);9.14;4.91;43.43;710.12;1019.54;2102.94;21.91;36.18;31.08;15.16;25.38;32.71;22.40;40.47;
18 (s);9.14;4.91;43.42;711.53;1022.17;2102.98;21.91;36.18;31.07;15.15;25.38;32.72;22.40;41.06;
19 (s);9.14;4.91;43.43;705.58;1014.64;2102.99;21.91;36.18;31.06;15.14;25.38;32.72;22.40;41.27;
20 (s);9.14;4.91;43.44;708.34;1021.06;2103.03;21.91;36.19;31.06;15.14;25.38;32.72;22.40;41.10;
21 (s);9.14;4.91;43.43;713.40;1025.97;2102.97;21.91;36.19;31.05;15.15;25.37;32.72;22.40;40.48;
22 (s);9.14;4.91;43.19;709.19;1021.15;2102.85;21.91;36.19;31.04;15.15;25.37;32.72;22.40;39.71;
23 (s);9.14;4.91;43.19;712.35;1022.82;2103.00;21.90;36.20;31.03;15.15;25.37;32.73;22.40;40.24;
24 (s);9.14;4.91;43.18;706.44;1019.48;2102.93;21.90;36.20;31.02;15.16;25.37;32.73;22.40;40.96;
25 (s);9.14;4.91;43.20;710.48;1020.53;2102.88;21.90;36.20;31.01;15.17;25.37;32.74;22.40;41.23;
26 (s);9.14;4.91;43.19;711.70;1020.80;2102.97;21.90;36.20;31.01;15.15;25.37;32.74;22.40;40.99;
27 (s);9.14;4.91;42.94;711.02;1019.69;2102.91;21.90;36.21;31.00;15.13;25.37;32.74;22.39;40.26;
28 (s);9.14;4.91;42.95;710.37;1023.56;2102.92;21.90;36.21;31.00;15.13;25.37;32.74;22.40;39.84;
29 (s);9.14;4.91;42.95;708.91;1024.33;2102.86;21.89;36.21;30.99;15.14;25.37;32.74;22.39;40.34;
30 (s);9.15;4.91;42.95;709.33;1020.43;2102.77;21.89;36.22;30.99;15.15;25.37;32.74;22.39;40.96;
31 (s);9.15;4.91;42.95;707.99;1017.79;2102.91;21.89;36.22;30.97;15.15;25.37;32.74;22.39;41.27;
32 (s);9.15;4.91;42.73;706.87;1019.36;2102.85;21.89;36.22;30.97;15.14;25.37;32.74;22.39;41.10;
33 (s);9.15;4.91;42.71;707.64;1016.68;2103.03;21.89;36.22;30.96;15.13;25.37;32.74;22.39;40.38;
34 (s);9.15;4.91;42.45;711.55;1022.30;2102.84;21.89;36.23;30.95;15.13;25.37;32.74;22.39;39.72;
35 (s);9.15;4.91;42.45;706.81;1018.12;2102.91;21.88;36.23;30.94;15.12;25.37;32.74;22.39;40.27;
36 (s);9.15;4.91;42.44;706.16;1018.33;2103.05;21.88;36.23;30.93;15.13;25.37;32.75;22.39;40.97;
37 (s);9.15;4.91;42.45;711.13;1021.10;2102.94;21.88;36.24;30.93;15.13;25.37;32.75;22.39;41.31;
38 (s);9.15;4.91;42.47;706.97;1018.62;2102.82;21.88;36.24;30.92;15.12;25.37;32.75;22.39;41.47;
39 (s);9.15;4.91;42.22;708.84;1021.58;2102.96;21.88;36.24;30.92;15.12;25.37;32.75;22.39;41.04;
40 (s);9.15;4.91;41.97;709.12;1020.78;2102.89;21.88;36.25;30.92;15.13;25.38;32.75;22.39;40.23;
41 (s);9.15;4.91;41.96;710.39;1022.00;2102.99;21.88;36.25;30.91;15.13;25.38;32.76;22.39;39.92;
42 (s);9.15;4.90;41.97;706.47;1017.62;2102.87;21.88;36.25;30.91;15.12;25.38;32.76;22.38;40.36;
43 (s);9.16;4.90;41.97;710.37;1018.42;2102.89;21.88;36.26;30.90;15.11;25.38;32.76;22.38;40.94;
44 (s);9.16;4.90;41.74;710.89;1018.92;2102.93;21.88;36.26;30.89;15.10;25.38;32.76;22.39;41.32;
45 (s);9.16;4.90;41.73;707.36;1022.19;2102.99;21.87;36.26;30.89;15.10;25.38;32.76;22.39;41.45;
46 (s);9.16;4.90;41.73;709.13;1020.44;2102.95;21.87;36.26;30.88;15.10;25.38;32.77;22.38;41.31;
47 (s);9.16;4.90;41.72;707.46;1021.62;2103.04;21.87;36.27;30.87;15.10;25.39;32.77;22.38;40.94;
49 (s);9.16;4.90;41.73;708.43;1021.49;2102.88;21.87;36.27;30.86;15.11;25.39;32.77;22.38;40.34;
50 (s);9.16;4.90;41.49;705.16;1021.10;2103.08;21.87;36.27;30.85;15.11;25.39;32.77;22.38;40.03;
51 (s);9.16;4.90;41.48;708.07;1021.06;2103.01;21.87;36.28;30.84;15.12;25.39;32.77;22.38;40.32;
52 (s);9.16;4.90;41.49;707.34;1020.44;2103.05;21.87;36.28;30.84;15.11;25.39;32.78;22.38;40.92;
53 (s);9.16;4.90;41.48;710.11;1022.79;2103.09;21.86;36.28;30.84;15.10;25.40;32.78;22.38;41.30;
54 (s);9.16;4.90;41.28;709.66;1023.75;2103.13;21.86;36.28;30.84;15.09;25.40;32.78;22.38;41.52;
55 (s);9.16;4.90;41.02;710.03;1021.53;2103.05;21.86;36.29;30.83;15.10;25.40;32.79;22.39;41.26;
56 (s);9.16;4.90;41.01;707.71;1022.01;2103.06;21.86;36.29;30.83;15.09;25.40;32.79;22.39;40.37;
57 (s);9.16;4.90;40.81;708.61;1024.04;2103.11;21.86;36.30;30.82;15.10;25.40;32.79;22.39;39.88;
58 (s);9.16;4.90;40.79;703.59;1020.27;2103.10;21.86;36.30;30.82;15.10;25.40;32.79;22.39;40.25;
59 (s);9.16;4.90;40.77;707.90;1015.81;2103.02;21.86;36.30;30.81;15.09;25.40;32.80;22.39;40.96;
60 (s);9.17;4.90;40.79;708.26;1021.61;2103.11;21.86;36.30;30.81;15.09;25.40;32.80;22.39;41.41;
61 (s);9.17;4.90;40.79;708.20;1019.37;2103.07;21.86;36.30;30.80;15.09;25.40;32.80;22.39;41.50;
62 (s);9.17;4.90;40.78;709.54;1021.14;2103.11;21.85;36.31;30.79;15.09;25.40;32.80;22.39;41.28;
63 (s);9.17;4.90;40.78;706.18;1019.76;2103.03;21.85;36.31;30.78;15.07;25.40;32.80;22.39;40.80;
