Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.74;4.71;68.38;708.96;1025.72;3000.40;21.10;38.66;30.95;13.88;25.73;34.54;22.16;65.72;
10 (s);9.75;4.70;68.37;705.94;1016.59;2999.73;21.08;38.74;30.99;13.83;25.73;34.62;22.15;65.82;
15 (s);9.77;4.70;68.38;705.68;1024.13;2998.70;21.06;38.81;31.02;13.81;25.73;34.67;22.14;65.91;
20 (s);9.78;4.70;68.61;707.50;1021.60;2999.33;21.03;38.88;31.05;13.81;25.74;34.74;22.13;65.99;
25 (s);9.79;4.70;69.07;707.43;1018.91;2998.57;21.01;38.94;31.07;13.81;25.75;34.79;22.10;65.97;
30 (s);9.80;4.70;69.32;705.19;1018.13;2998.19;20.98;39.01;31.10;13.81;25.75;34.85;22.08;66.04;
35 (s);9.81;4.70;69.32;704.11;1019.40;2997.76;20.95;39.07;31.13;13.80;25.76;34.90;22.06;66.27;
40 (s);9.82;4.71;69.30;704.84;1016.18;2997.64;20.93;39.12;31.15;13.86;25.76;34.95;22.05;66.25;
45 (s);9.83;4.70;69.31;704.08;1018.09;2997.63;20.91;39.18;31.19;13.80;25.76;34.99;22.03;66.35;
50 (s);9.84;4.71;69.32;706.91;1021.53;2997.61;20.89;39.24;31.22;13.84;25.77;35.03;22.01;66.43;
56 (s);9.85;4.70;69.31;706.88;1020.82;2997.54;20.87;39.30;31.25;13.82;25.78;35.08;22.00;66.45;
61 (s);9.86;4.71;69.32;703.81;1018.13;2997.50;20.86;39.35;31.28;13.86;25.79;35.12;21.99;66.59;
66 (s);9.87;4.71;69.31;703.84;1017.73;2997.23;20.84;39.41;31.31;13.89;25.80;35.15;21.97;66.68;
71 (s);9.87;4.71;69.32;702.12;1019.36;2997.19;20.83;39.47;31.34;13.86;25.80;35.20;21.97;66.71;
76 (s);9.88;4.71;69.32;702.43;1022.17;2997.29;20.81;39.53;31.39;13.84;25.80;35.25;21.96;66.73;
81 (s);9.89;4.71;69.31;702.56;1014.56;2997.35;20.79;39.59;31.42;13.85;25.81;35.28;21.95;66.86;
86 (s);9.89;4.70;69.31;704.36;1017.98;2997.24;20.77;39.64;31.46;13.83;25.81;35.33;21.93;66.81;
91 (s);9.91;4.70;68.85;700.42;1013.35;2997.19;20.75;39.69;31.50;13.82;25.82;35.35;21.93;66.80;
96 (s);9.91;4.70;67.91;702.01;1016.77;2997.14;20.73;39.75;31.55;13.81;25.82;35.37;21.92;66.74;
101 (s);9.92;4.72;66.79;706.44;1018.68;2997.15;20.71;39.81;31.59;13.96;25.84;35.41;21.92;66.74;
106 (s);9.93;4.70;60.60;707.85;1019.70;2997.18;20.70;39.86;31.62;13.78;25.85;35.43;21.91;66.73;
111 (s);9.94;4.70;59.87;704.09;1017.16;2997.12;20.68;39.91;31.65;13.80;25.86;35.47;21.91;66.69;
116 (s);9.95;4.70;59.65;703.70;1016.26;2997.29;20.67;39.95;31.67;13.78;25.87;35.50;21.91;66.81;
121 (s);9.96;4.70;59.64;705.39;1019.30;2997.09;20.65;40.02;31.70;13.78;25.88;35.56;21.91;66.91;
127 (s);9.96;4.70;59.64;705.79;1021.01;2997.12;20.64;40.06;31.73;13.77;25.89;35.61;21.90;67.00;
132 (s);9.97;4.69;59.65;705.83;1018.86;2997.11;20.63;40.10;31.76;13.75;25.89;35.63;21.90;67.02;
137 (s);9.97;4.69;58.93;703.27;1018.06;2997.15;20.62;40.15;31.79;13.75;25.90;35.65;21.89;66.93;
142 (s);9.98;4.69;57.05;705.23;1017.50;2997.10;20.60;40.20;31.82;13.73;25.90;35.68;21.88;67.13;
147 (s);9.99;4.68;56.98;705.95;1017.91;2997.25;20.59;40.24;31.85;13.69;25.90;35.70;21.88;67.05;
152 (s);9.99;4.69;57.00;706.87;1021.07;2997.15;20.58;40.29;31.87;13.71;25.90;35.72;21.87;67.05;
157 (s);10.00;4.68;57.00;702.85;1017.53;2997.23;20.56;40.34;31.89;13.65;25.90;35.74;21.86;67.29;
162 (s);10.00;4.68;56.98;702.63;1013.41;2997.21;20.55;40.39;31.92;13.69;25.90;35.75;21.86;67.25;
