Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.39;4.82;65.47;711.82;1004.85;3197.28;21.55;56.31;31.60;14.60;28.23;39.74;23.51;79.01;
10 (s);11.39;4.82;65.22;714.45;948.06;3197.57;21.56;56.34;31.60;14.59;28.24;39.74;23.51;79.18;
15 (s);11.39;4.82;65.22;712.95;929.69;3197.59;21.56;56.36;31.60;14.56;28.25;39.75;23.50;78.95;
20 (s);11.39;4.81;65.22;712.21;931.68;3197.64;21.56;56.37;31.60;14.54;28.25;39.76;23.47;78.99;
25 (s);11.39;4.81;65.46;714.37;931.89;3197.82;21.57;56.38;31.60;14.52;28.25;39.77;23.44;78.76;
30 (s);11.39;4.81;65.22;711.72;933.33;3197.73;21.57;56.42;31.61;14.50;28.25;39.77;23.40;79.06;
35 (s);11.39;4.81;65.47;715.59;931.46;3197.64;21.57;56.43;31.61;14.50;28.24;39.76;23.37;79.06;
40 (s);11.39;4.80;65.46;712.33;931.27;3197.66;21.57;56.46;31.61;14.48;28.24;39.76;23.35;78.98;
46 (s);11.39;4.80;65.47;712.42;924.42;3197.54;21.57;56.47;31.62;14.47;28.24;39.76;23.33;78.96;
51 (s);11.39;4.81;65.47;711.13;921.68;3197.79;21.58;56.49;31.62;14.49;28.24;39.77;23.31;78.96;
56 (s);11.39;4.80;65.52;717.59;872.53;3197.77;21.59;56.51;31.63;14.45;28.25;39.77;23.30;78.86;
61 (s);11.39;4.80;66.69;715.92;865.89;3197.64;21.59;56.53;31.64;14.43;28.26;39.77;23.27;79.24;
66 (s);11.38;4.80;69.94;717.13;865.93;3197.66;21.59;56.55;31.65;14.43;28.27;39.76;23.24;78.99;
71 (s);11.38;4.80;71.04;720.07;870.02;3197.88;21.59;56.57;31.66;14.43;28.28;39.76;23.21;78.86;
76 (s);11.38;4.80;71.52;718.02;869.52;3197.71;21.59;56.59;31.67;14.46;28.28;39.76;23.19;79.14;
81 (s);11.37;4.80;71.77;716.59;864.10;3197.63;21.59;56.61;31.69;14.46;28.27;39.75;23.16;78.94;
86 (s);11.37;4.80;71.78;713.93;863.32;3197.69;21.59;56.64;31.70;14.43;28.26;39.75;23.14;79.14;
91 (s);11.36;4.80;72.02;718.66;871.13;3197.63;21.59;56.65;31.71;14.43;28.26;39.75;23.12;78.93;
96 (s);11.36;4.80;72.26;721.66;868.52;3197.65;21.59;56.68;31.72;14.46;28.27;39.74;23.10;78.93;
101 (s);11.37;4.80;72.27;720.65;870.81;3197.93;21.58;56.69;31.73;14.45;28.28;39.73;23.08;78.96;
106 (s);11.37;4.80;72.25;716.90;864.03;3197.69;21.58;56.71;31.74;14.45;28.30;39.73;23.08;79.04;
111 (s);11.37;4.80;72.25;715.03;865.08;3197.79;21.58;56.73;31.75;14.45;28.31;39.75;23.07;79.05;
117 (s);11.37;4.80;72.26;716.30;868.82;3197.89;21.58;56.76;31.76;14.45;28.32;39.76;23.07;79.06;
122 (s);11.36;4.80;72.26;720.17;868.53;3197.55;21.58;56.78;31.77;14.47;28.32;39.77;23.06;78.86;
127 (s);11.36;4.80;72.26;717.29;865.48;3197.80;21.58;56.79;31.78;14.46;28.34;39.78;23.06;79.09;
132 (s);11.36;4.81;72.75;721.14;867.83;3197.59;21.58;56.80;31.79;14.50;28.35;39.78;23.07;79.10;
137 (s);11.36;4.81;72.75;719.73;865.10;3198.15;21.58;56.81;31.80;14.51;28.36;39.79;23.07;79.03;
142 (s);11.36;4.81;72.74;716.77;865.25;3197.72;21.57;56.84;31.81;14.50;28.37;39.80;23.07;79.06;
147 (s);11.36;4.81;72.75;718.52;867.06;3197.66;21.56;56.86;31.82;14.52;28.38;39.81;23.07;78.93;
152 (s);11.36;4.81;72.74;717.34;863.39;3197.96;21.55;56.87;31.83;14.51;28.38;39.82;23.07;79.00;
157 (s);11.36;4.81;72.55;716.09;867.87;3197.94;21.55;56.90;31.83;14.54;28.39;39.82;23.07;78.97;
162 (s);11.36;4.81;72.50;716.93;865.69;3197.79;21.55;56.91;31.85;14.54;28.39;39.83;23.08;79.01;
167 (s);11.36;4.81;72.29;718.85;866.40;3197.86;21.55;56.92;31.86;14.53;28.39;39.84;23.07;79.08;
172 (s);11.36;4.82;72.27;719.79;866.97;3198.02;21.55;56.94;31.87;14.55;28.39;39.83;23.07;79.04;
177 (s);11.36;4.82;72.75;717.98;864.21;3198.02;21.55;56.96;31.87;14.56;28.39;39.83;23.07;79.19;
182 (s);11.35;4.82;72.74;721.24;867.97;3197.80;21.55;56.97;31.88;14.55;28.38;39.84;23.06;78.95;
187 (s);11.35;4.82;72.36;719.40;867.00;3197.91;21.55;57.00;31.90;14.56;28.37;39.84;23.06;79.25;
