Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.37;5.17;13.63;153.86;342.32;18480.87;19.38;47.98;40.36;16.75;24.76;45.91;18.33;0.07;
20 (s);11.02;5.32;13.64;154.99;340.93;18475.25;19.73;46.56;38.21;17.65;24.76;45.22;18.93;0.07;
30 (s);10.74;5.44;13.64;154.30;341.64;18473.01;20.05;45.25;36.41;18.38;24.76;44.16;19.52;0.07;
40 (s);10.49;5.54;13.64;154.10;338.51;18463.15;20.28;44.23;35.26;18.99;24.76;43.13;19.96;0.07;
50 (s);10.25;5.63;13.64;156.64;339.99;18455.71;20.49;43.37;34.29;19.50;24.77;42.17;20.32;0.07;
60 (s);10.05;5.71;13.64;153.54;340.95;18449.19;20.73;42.90;32.96;19.98;24.78;41.20;20.68;0.07;
70 (s);9.86;5.78;13.64;153.71;343.69;18434.32;20.92;42.63;31.94;20.36;24.78;40.41;20.96;0.06;
80 (s);9.69;5.84;13.63;154.22;343.16;18435.03;21.13;42.58;31.03;20.66;24.78;39.61;21.23;0.07;
90 (s);9.55;5.89;13.66;153.62;341.09;18434.57;21.32;42.77;30.30;20.94;24.79;38.91;21.49;0.07;
100 (s);9.43;5.93;13.64;156.17;343.94;18434.98;21.48;42.96;29.70;21.18;24.80;38.28;21.71;0.06;
111 (s);9.31;5.97;13.65;154.62;343.78;18428.83;21.63;43.12;29.12;21.40;24.81;37.61;21.93;0.07;
121 (s);9.19;6.00;13.63;153.89;343.01;18433.00;21.75;43.19;28.69;21.58;24.82;37.07;22.10;0.07;
131 (s);9.10;6.03;13.63;42.01;342.55;18425.93;21.88;43.20;28.31;21.75;24.83;36.55;22.27;0.07;
141 (s);8.97;6.06;13.65;237.95;341.22;18413.91;21.99;43.13;27.96;21.89;24.84;35.83;22.41;0.07;
151 (s);8.84;6.08;13.64;242.82;342.22;18412.86;22.11;42.95;27.60;22.03;24.85;35.03;22.55;0.07;
161 (s);8.73;6.11;13.63;244.67;342.91;18411.14;22.22;42.70;27.29;22.15;24.86;34.26;22.67;0.07;
171 (s);8.63;6.13;13.64;249.13;342.70;18398.34;22.32;42.42;27.02;22.27;24.86;33.64;22.78;0.07;
181 (s);8.54;6.15;13.64;250.83;341.20;18403.74;22.43;42.00;26.74;22.39;24.87;33.03;22.89;0.07;
191 (s);8.46;6.17;13.64;250.96;341.93;18402.37;22.52;41.55;26.53;22.50;24.88;32.58;22.98;0.07;
201 (s);8.39;6.19;13.63;250.62;343.26;18400.91;22.62;41.08;26.33;22.60;24.88;32.17;23.07;0.07;
211 (s);8.32;6.21;13.64;252.99;343.09;18388.87;22.71;40.64;26.14;22.69;24.89;31.78;23.16;0.07;
221 (s);8.26;6.22;13.64;252.24;340.67;18385.04;22.79;40.29;25.98;22.78;24.90;31.45;23.24;0.07;
231 (s);8.20;6.24;13.65;253.40;342.13;18380.30;22.87;39.93;25.81;22.87;24.91;31.12;23.32;0.07;
241 (s);8.15;6.25;13.39;256.36;341.51;18369.45;22.95;39.65;25.68;22.95;24.91;30.86;23.39;0.07;
252 (s);8.11;6.27;13.41;255.55;341.10;18374.53;23.03;39.41;25.61;23.02;24.92;30.61;23.45;0.07;
262 (s);8.06;6.28;13.42;253.39;342.32;18385.40;23.10;39.17;25.48;23.10;24.93;30.34;23.52;0.07;
272 (s);8.02;6.29;13.40;254.86;341.82;18370.17;23.16;38.97;25.37;23.16;24.94;30.11;23.58;0.07;
282 (s);7.99;6.30;13.41;255.06;341.90;18382.56;23.23;38.73;25.26;23.22;24.95;29.88;23.64;0.07;
292 (s);7.95;6.31;13.40;253.40;343.01;18377.83;23.29;38.60;25.18;23.28;24.96;29.70;23.70;0.07;
302 (s);7.92;6.32;13.40;254.35;342.39;18364.60;23.35;38.60;25.13;23.33;24.97;29.50;23.76;0.07;
312 (s);7.89;6.34;13.42;257.28;343.11;18365.26;23.40;38.65;25.08;23.39;24.98;29.36;23.81;0.07;
322 (s);7.86;6.35;13.41;253.72;338.36;18362.22;23.45;38.69;25.02;23.44;24.99;29.20;23.86;0.07;
333 (s);7.83;6.36;13.41;256.13;344.29;18370.65;23.50;38.69;24.96;23.49;25.00;29.04;23.90;0.07;
343 (s);7.81;6.36;13.41;255.47;340.95;18353.20;23.55;38.60;24.91;23.54;25.01;28.89;23.94;0.07;
353 (s);7.79;6.37;13.41;256.45;341.43;18359.52;23.59;38.50;24.85;23.59;25.02;28.75;23.99;0.07;
363 (s);7.77;6.38;13.41;256.71;341.92;18347.42;23.63;38.43;24.81;23.63;25.03;28.63;24.03;0.07;
373 (s);7.75;6.39;13.40;254.98;342.39;18352.42;23.66;38.38;24.77;23.68;25.03;28.51;24.08;0.07;
383 (s);7.73;6.40;13.41;257.69;345.43;18354.15;23.69;38.32;24.79;23.72;25.04;28.39;24.11;0.07;
393 (s);7.71;6.41;13.40;255.93;342.55;18340.92;23.73;38.25;24.74;23.76;25.05;28.28;24.16;0.07;
403 (s);7.69;6.41;13.41;258.65;342.48;18345.89;23.76;38.19;24.71;23.80;25.06;28.19;24.19;0.07;
413 (s);7.69;6.42;13.64;257.06;341.65;18352.65;23.79;38.01;24.69;23.84;25.07;28.09;24.23;0.07;
423 (s);7.68;6.43;13.41;256.63;341.53;18352.79;23.82;36.84;24.67;23.88;25.08;28.02;24.26;0.07;
434 (s);7.65;6.43;13.40;258.90;343.51;18333.02;23.85;36.85;24.65;23.91;25.08;27.98;24.29;0.07;
444 (s);7.63;6.44;13.40;257.43;343.37;18351.97;23.87;37.09;24.64;23.94;25.09;27.89;24.32;0.07;
454 (s);7.61;6.45;13.40;257.87;342.76;18341.73;23.90;37.26;24.62;23.98;25.10;27.80;24.35;0.07;
464 (s);7.60;6.45;13.42;258.05;342.88;18335.99;23.92;37.37;24.63;24.01;25.11;27.71;24.37;0.07;
474 (s);7.58;6.46;13.42;257.35;341.98;18345.60;23.96;37.45;24.64;24.04;25.12;27.62;24.40;0.07;
484 (s);7.57;6.46;13.40;259.73;342.24;18344.40;23.99;37.47;24.62;24.07;25.12;27.54;24.42;0.07;
494 (s);7.56;6.47;13.41;255.96;340.81;18326.68;24.02;37.48;24.61;24.09;25.13;27.46;24.45;0.07;
504 (s);7.54;6.48;13.40;256.96;342.42;18339.51;24.04;37.46;24.60;24.12;25.14;27.39;24.47;0.07;
514 (s);7.54;6.48;13.41;257.40;342.42;18333.91;24.07;37.43;24.59;24.15;25.15;27.33;24.49;0.07;
524 (s);7.53;6.49;13.42;257.21;343.09;18330.72;24.10;37.39;24.59;24.18;25.15;27.27;24.51;0.07;
