Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.69;4.24;95.26;706.00;208.66;2999.89;16.15;59.47;34.59;10.64;26.18;32.89;15.16;68.58;
10 (s);9.69;4.23;80.99;704.46;206.39;2999.92;16.06;59.44;34.52;10.63;26.17;32.90;15.11;68.51;
15 (s);9.69;4.23;67.29;701.23;207.64;2999.80;15.99;59.42;34.46;10.62;26.16;32.87;15.07;68.56;
20 (s);9.69;4.23;66.46;702.80;209.16;2999.79;15.91;59.40;34.34;10.61;26.15;32.86;15.02;68.46;
25 (s);9.67;4.22;74.33;706.02;207.19;3000.03;15.83;59.38;34.09;10.57;26.14;32.86;14.99;68.34;
30 (s);9.65;4.22;83.82;707.98;209.80;2999.81;15.73;59.36;33.88;10.52;26.16;32.84;14.96;68.41;
35 (s);9.64;4.21;90.20;704.89;206.61;2999.86;15.66;59.34;33.85;10.49;26.18;32.83;14.92;68.30;
40 (s);9.63;4.21;56.91;700.76;205.93;2999.84;15.59;59.32;33.82;10.44;26.21;32.82;14.89;68.21;
46 (s);9.61;4.20;57.63;702.05;208.94;2999.90;15.52;59.30;33.83;10.41;26.23;32.79;14.85;68.30;
51 (s);9.60;4.20;110.97;703.28;210.66;2999.68;15.44;59.26;33.83;10.40;26.21;32.79;14.80;68.06;
56 (s);9.59;4.19;39.50;709.67;207.94;2999.76;15.38;59.23;33.83;10.34;26.20;32.78;14.77;68.01;
61 (s);9.57;4.19;123.06;700.50;208.05;2999.59;15.32;59.21;33.84;10.34;26.20;32.74;14.73;68.05;
66 (s);9.57;4.18;44.18;704.05;208.64;2999.87;15.27;59.17;33.82;10.27;26.20;32.71;14.66;68.06;
71 (s);9.57;4.18;77.67;699.88;205.74;2999.75;15.22;59.15;33.79;10.25;26.22;32.69;14.61;67.95;
76 (s);9.56;4.18;88.54;702.56;210.05;2999.56;15.17;59.12;33.75;10.22;26.25;32.69;14.58;67.99;
