Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.77;3.89;60.08;179.09;331.19;3761.96;15.39;45.70;39.49;8.10;21.80;43.98;14.45;87.13;
20 (s);11.79;3.89;63.36;177.63;332.44;3762.31;15.37;45.77;39.61;8.11;21.81;44.05;14.45;86.93;
30 (s);11.81;3.89;60.45;177.25;332.45;3762.00;15.36;45.85;39.65;8.08;21.81;44.15;14.45;87.27;
40 (s);11.83;3.89;58.53;177.98;330.46;3762.22;15.35;45.93;39.73;8.15;21.81;44.22;14.45;87.33;
50 (s);11.85;3.89;61.35;176.55;328.85;3762.53;15.34;46.01;39.80;8.11;21.81;44.28;14.45;87.52;
60 (s);11.87;3.90;58.45;174.84;331.59;3762.26;15.33;46.10;39.89;8.19;21.82;44.35;14.44;87.63;
70 (s);11.89;3.88;58.99;178.18;332.31;3762.43;15.32;46.18;39.95;8.08;21.82;44.43;14.44;87.69;
80 (s);11.91;3.88;58.68;175.44;329.77;3762.42;15.32;46.27;39.99;8.07;21.82;44.49;14.45;87.57;
91 (s);11.93;3.88;57.85;173.97;330.12;3762.23;15.30;46.35;40.04;8.07;21.83;44.57;14.45;87.48;
101 (s);11.96;3.88;57.86;172.48;329.58;3762.72;15.28;46.44;40.07;8.08;21.84;44.63;14.45;87.54;
111 (s);11.98;3.90;58.88;174.48;330.22;3762.38;15.27;46.54;40.07;8.16;21.85;44.71;14.44;87.85;
121 (s);12.01;3.88;59.04;179.51;334.15;3762.62;15.27;46.64;40.11;8.00;21.86;44.76;14.44;87.65;
131 (s);12.02;3.89;56.20;178.82;332.92;3762.77;15.26;46.74;40.07;8.11;21.87;44.85;14.44;87.88;
141 (s);12.04;3.88;58.93;180.36;334.92;3762.83;15.24;46.83;40.08;8.04;21.87;44.92;14.45;87.85;
151 (s);12.06;3.88;63.92;178.26;334.83;3762.53;15.23;46.91;40.08;8.05;21.87;44.96;14.46;88.03;
161 (s);12.08;3.88;59.64;180.13;333.36;3762.64;15.22;47.01;40.07;8.05;21.87;45.01;14.46;88.01;
171 (s);12.10;3.89;55.84;178.27;332.12;3762.58;15.22;47.08;40.08;8.09;21.87;45.09;14.45;88.02;
181 (s);12.11;3.89;52.82;180.61;331.29;3763.02;15.21;47.16;40.08;8.11;21.86;45.13;14.45;88.28;
191 (s);12.13;3.90;47.55;181.56;334.09;3762.85;15.20;47.24;40.06;8.18;21.85;45.18;14.44;88.28;
201 (s);12.14;3.87;55.46;180.75;335.72;3762.57;15.20;47.31;40.07;8.00;21.85;45.30;14.44;88.26;
211 (s);12.16;3.87;56.46;179.07;333.82;3763.69;15.18;47.40;40.07;7.99;21.86;45.31;14.43;88.40;
221 (s);12.17;3.88;55.33;181.47;334.76;3762.88;15.17;47.47;40.10;8.01;21.86;45.36;14.42;88.49;
231 (s);12.19;3.87;53.27;181.74;333.50;3763.10;15.16;47.55;40.12;7.93;21.86;45.39;14.42;88.57;
241 (s);12.20;3.88;54.31;182.51;334.25;3763.40;15.15;47.64;40.11;8.02;21.86;45.44;14.41;88.64;
251 (s);12.21;3.89;54.60;180.40;332.95;3763.83;15.14;47.72;40.10;8.09;21.87;45.48;14.41;88.74;
261 (s);12.23;3.88;54.74;179.95;333.16;3763.78;15.14;47.80;40.14;8.01;21.88;45.53;14.40;88.83;
272 (s);12.24;3.87;55.90;181.10;333.06;3763.82;15.13;47.88;40.19;8.00;21.88;45.58;14.41;89.14;
282 (s);12.25;3.87;55.09;183.09;332.85;3763.93;15.12;47.96;40.22;7.98;21.89;45.63;14.40;89.35;
292 (s);12.26;3.88;54.85;182.59;334.20;3763.91;15.12;48.05;40.23;8.04;21.89;45.67;14.40;89.31;
302 (s);12.27;3.87;55.13;179.20;334.18;3764.12;15.11;48.12;40.26;7.99;21.90;45.71;14.39;89.36;
312 (s);12.29;3.89;52.61;181.14;333.18;3764.01;15.10;48.23;40.31;8.10;21.90;45.76;14.39;89.54;
322 (s);12.30;3.88;54.47;181.73;334.19;3764.02;15.09;48.31;40.37;8.03;21.90;45.80;14.38;89.42;
332 (s);12.31;3.89;54.52;181.61;333.79;3764.62;15.09;48.40;40.42;8.09;21.91;45.84;14.38;89.58;
342 (s);12.32;3.88;56.76;181.78;333.43;3764.38;15.09;48.47;40.44;8.04;21.91;45.88;14.39;89.49;
352 (s);12.33;3.89;55.94;179.11;333.67;3764.33;15.08;48.56;40.45;8.08;21.92;45.92;14.40;89.75;
363 (s);12.34;3.89;56.22;179.53;333.28;3764.62;15.08;48.62;40.51;8.11;21.92;45.97;14.40;89.78;
373 (s);12.36;3.88;55.02;181.68;336.59;3764.69;15.07;48.70;40.56;8.02;21.93;45.98;14.40;89.77;
