Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.49;3.97;62.85;353.15;170.79;3565.52;14.41;61.78;35.05;8.70;26.78;37.63;13.28;83.40;
10 (s);10.46;3.97;57.75;354.81;173.17;3565.47;14.35;61.77;35.36;8.68;26.77;37.58;13.21;83.41;
15 (s);10.43;3.96;73.31;354.09;171.91;3565.36;14.29;61.76;35.62;8.66;26.77;37.52;13.14;83.12;
20 (s);10.41;3.96;103.06;355.52;172.95;3564.83;14.24;61.76;35.85;8.64;26.78;37.44;13.09;83.20;
25 (s);10.39;3.96;131.10;354.25;171.94;3565.24;14.19;61.72;36.06;8.63;26.79;37.41;13.04;83.14;
31 (s);10.38;3.96;138.87;353.76;171.88;3565.07;14.13;61.67;36.22;8.62;26.80;37.36;12.97;83.12;
36 (s);10.37;3.95;114.98;354.88;172.59;3565.22;14.09;61.66;36.33;8.58;26.80;37.31;12.92;83.01;
41 (s);10.37;3.94;89.48;353.15;172.89;3565.10;14.06;61.65;36.42;8.51;26.81;37.26;12.88;82.88;
46 (s);10.36;3.94;60.61;354.12;171.35;3565.00;14.03;61.65;36.49;8.49;26.82;37.26;12.82;83.04;
51 (s);10.36;3.93;46.69;355.49;172.85;3565.29;13.99;61.63;36.55;8.45;26.83;37.24;12.77;82.91;
56 (s);10.35;3.93;66.05;353.32;171.14;3565.06;13.95;61.59;36.58;8.43;26.83;37.21;12.74;82.96;
61 (s);10.35;3.93;82.25;355.11;171.46;3565.31;13.91;61.58;36.61;8.42;26.83;37.18;12.71;82.96;
67 (s);10.34;3.93;113.62;353.01;172.53;3565.09;13.87;61.55;36.61;8.41;26.84;37.15;12.67;82.88;
72 (s);10.33;3.93;137.42;354.59;172.19;3564.73;13.83;61.56;36.64;8.41;26.86;37.16;12.64;82.80;
77 (s);10.33;3.92;108.58;356.39;172.18;3565.09;13.80;61.55;36.63;8.37;26.88;37.15;12.59;82.77;
82 (s);10.34;3.92;52.52;355.27;173.92;3565.02;13.76;61.52;36.62;8.34;26.89;37.14;12.55;82.93;
87 (s);10.33;3.92;47.06;354.97;170.25;3565.08;13.73;61.47;36.62;8.33;26.91;37.11;12.51;82.73;
92 (s);10.33;3.91;70.88;355.26;172.83;3565.42;13.71;61.45;36.60;8.30;26.92;37.10;12.50;82.74;
97 (s);10.32;3.92;99.97;355.15;173.78;3565.04;13.69;61.45;36.61;8.31;26.92;37.08;12.49;82.78;
102 (s);10.32;3.91;137.82;354.04;172.84;3564.72;13.67;61.45;36.61;8.30;26.92;37.06;12.48;82.77;
108 (s);10.32;3.91;117.82;355.47;171.92;3564.93;13.66;61.43;36.62;8.30;26.92;37.04;12.46;82.71;
113 (s);10.32;3.91;100.18;355.95;173.12;3564.94;13.64;61.41;36.61;8.28;26.94;37.05;12.45;82.72;
118 (s);10.33;3.90;44.20;355.82;172.96;3565.05;13.61;61.40;36.60;8.23;26.95;37.05;12.42;82.79;
123 (s);10.32;3.91;85.36;355.68;173.37;3565.16;13.57;61.39;36.61;8.24;26.96;37.04;12.39;82.74;
128 (s);10.31;3.91;141.88;358.08;174.27;3564.81;13.54;61.38;36.63;8.25;26.96;37.03;12.38;82.61;
133 (s);10.32;3.90;71.24;353.83;173.40;3565.27;13.51;61.36;36.62;8.19;26.96;37.05;12.36;82.70;
138 (s);10.32;3.90;41.70;353.62;171.47;3565.14;13.50;61.35;36.61;8.17;26.96;37.04;12.32;82.84;
143 (s);10.32;3.90;79.97;359.58;173.02;3565.03;13.48;61.34;36.59;8.16;26.98;37.05;12.27;82.71;
148 (s);10.31;3.90;123.15;355.18;171.52;3565.06;13.45;61.34;36.57;8.18;26.99;37.05;12.25;82.71;
154 (s);10.31;3.90;126.72;356.58;172.60;3564.93;13.42;61.30;36.57;8.17;26.99;37.02;12.23;82.74;
