Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.78;3.65;61.71;513.33;510.20;3532.39;12.89;41.97;25.08;6.23;21.14;29.36;13.42;73.06;
20 (s);8.79;3.65;61.95;511.96;510.45;3532.38;12.89;42.03;25.02;6.25;21.15;29.35;13.42;73.20;
30 (s);8.78;3.65;61.94;509.66;505.97;3532.25;12.88;42.18;24.97;6.27;21.14;29.38;13.43;72.78;
40 (s);8.79;3.65;61.94;509.53;506.79;3533.03;12.88;42.26;24.96;6.27;21.13;29.40;13.42;73.24;
50 (s);8.79;3.65;61.94;509.93;506.43;3532.85;12.88;42.38;24.91;6.27;21.10;29.37;13.41;73.23;
60 (s);8.79;3.65;61.96;508.69;505.22;3533.10;12.88;42.43;24.85;6.27;21.11;29.41;13.40;73.28;
70 (s);8.79;3.65;61.94;509.46;502.02;3533.18;12.88;42.58;24.82;6.28;21.11;29.40;13.38;73.43;
80 (s);8.79;3.65;61.94;507.81;504.86;3533.65;12.87;42.66;24.77;6.29;21.10;29.42;13.37;73.05;
90 (s);8.79;3.65;62.43;512.54;510.74;3533.97;12.88;42.71;24.76;6.29;21.09;29.41;13.36;73.45;
101 (s);8.79;3.65;62.67;507.73;507.76;3533.80;12.87;42.76;24.73;6.28;21.12;29.46;13.36;73.39;
111 (s);8.79;3.65;63.29;504.59;503.99;3533.66;12.87;42.89;24.70;6.28;21.14;29.44;13.35;73.53;
121 (s);8.79;3.66;63.43;506.69;505.57;3533.85;12.87;43.03;24.66;6.31;21.15;29.44;13.35;73.79;
131 (s);8.79;3.66;63.66;511.79;503.53;3534.00;12.88;43.12;24.63;6.30;21.15;29.47;13.37;73.71;
141 (s);8.79;3.66;63.66;510.07;506.11;3534.04;12.87;43.15;24.61;6.33;21.14;29.46;13.37;73.48;
151 (s);8.79;3.66;63.66;504.47;501.70;3533.93;12.87;43.23;24.59;6.33;21.13;29.44;13.37;73.74;
161 (s);8.79;3.66;63.66;510.41;507.30;3534.09;12.87;43.35;24.54;6.33;21.13;29.49;13.36;73.60;
171 (s);8.79;3.66;63.64;510.10;505.90;3533.95;12.86;43.43;24.55;6.34;21.14;29.49;13.37;73.41;
181 (s);8.79;3.66;63.68;511.48;506.55;3534.02;12.86;43.53;24.52;6.35;21.15;29.46;13.36;73.37;
191 (s);8.79;3.67;63.65;511.88;505.48;3533.76;12.86;43.59;24.49;6.37;21.17;29.49;13.38;73.61;
201 (s);8.79;3.67;63.67;510.97;508.07;3533.60;12.85;43.71;24.48;6.41;21.18;29.46;13.38;73.72;
211 (s);8.79;3.67;63.66;511.97;508.17;3533.88;12.85;43.78;24.46;6.41;21.17;29.48;13.38;73.15;
221 (s);8.79;3.67;63.66;510.91;509.68;3534.02;12.85;43.85;24.45;6.42;21.16;29.47;13.38;73.97;
231 (s);8.79;3.67;63.66;508.23;507.63;3533.93;12.85;43.91;24.43;6.43;21.16;29.51;13.39;73.29;
241 (s);8.79;3.67;63.58;508.38;508.23;3533.99;12.84;44.00;24.43;6.45;21.18;29.47;13.38;73.89;
