Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.83;3.97;52.94;515.26;748.79;3543.53;14.84;57.28;27.86;8.73;23.08;32.84;16.42;78.37;
20 (s);9.84;3.97;53.93;515.78;749.04;3543.52;14.87;57.26;27.82;8.75;23.12;32.83;16.46;78.17;
30 (s);9.84;3.98;54.89;510.90;747.18;3543.56;14.90;57.27;27.77;8.76;23.13;32.82;16.49;78.17;
40 (s);9.84;3.98;56.84;516.31;750.05;3543.58;14.92;57.30;27.73;8.77;23.13;32.85;16.52;78.55;
50 (s);9.84;3.98;57.34;512.50;744.24;3543.56;14.94;57.29;27.70;8.80;23.12;32.86;16.53;78.60;
60 (s);9.84;3.98;58.32;511.23;748.76;3543.76;14.97;57.28;27.65;8.81;23.13;32.85;16.56;78.49;
70 (s);9.84;3.99;59.50;517.16;755.26;3525.63;14.99;57.28;27.60;8.83;23.14;32.82;16.56;78.34;
80 (s);9.84;3.99;59.51;516.09;753.73;3525.43;15.03;57.28;27.54;8.84;23.16;32.80;16.58;78.16;
90 (s);9.84;3.99;59.54;514.99;741.75;3525.47;15.07;57.28;27.48;8.86;23.19;32.80;16.60;78.28;
100 (s);9.85;3.99;61.21;515.31;751.10;3525.57;15.07;57.32;27.44;8.87;23.21;32.80;16.60;78.40;
110 (s);9.85;3.99;62.44;515.33;751.08;3525.73;15.06;57.33;27.39;8.89;23.22;32.83;16.61;78.45;
120 (s);9.85;4.00;62.93;515.47;744.94;3525.47;15.07;57.37;27.32;8.91;23.22;32.82;16.65;78.69;
130 (s);9.85;4.00;63.19;511.84;742.78;3525.53;15.10;57.35;27.28;8.92;23.23;32.81;16.66;78.52;
141 (s);9.84;4.00;63.18;513.43;745.57;3525.40;15.14;57.33;27.20;8.91;23.24;32.82;16.68;78.50;
151 (s);9.84;4.00;63.20;512.68;747.08;3525.32;15.18;57.31;27.13;8.91;23.24;32.81;16.70;78.66;
161 (s);9.84;4.00;63.42;514.05;747.82;3525.81;15.22;57.28;27.08;8.94;23.24;32.82;16.71;78.64;
171 (s);9.84;4.00;63.44;514.72;747.66;3525.59;15.26;57.26;27.01;8.93;23.27;32.81;16.70;78.34;
181 (s);9.84;4.00;64.62;514.75;747.90;3525.61;15.26;57.25;26.96;8.96;23.28;32.80;16.71;78.42;
191 (s);9.85;4.01;64.62;514.19;749.24;3525.72;15.27;57.29;26.90;8.98;23.29;32.80;16.73;78.29;
201 (s);9.85;4.01;64.62;519.10;750.40;3525.52;15.31;57.26;26.84;9.00;23.29;32.80;16.74;78.33;
211 (s);9.85;4.01;64.60;515.25;745.85;3525.60;15.34;57.23;26.81;8.98;23.30;32.80;16.74;78.28;
221 (s);9.84;4.01;64.61;516.28;749.30;3525.57;15.36;57.26;26.76;8.99;23.31;32.83;16.75;78.35;
231 (s);9.84;4.01;64.61;516.16;749.16;3525.51;15.39;57.25;26.71;9.02;23.29;32.81;16.76;78.38;
241 (s);9.84;4.01;64.62;516.22;743.42;3525.60;15.40;57.22;26.65;9.02;23.30;32.81;16.75;78.25;
251 (s);9.84;4.01;64.62;513.20;743.53;3525.67;15.42;57.23;26.60;9.01;23.30;32.80;16.76;78.35;
261 (s);9.84;4.01;65.11;515.80;748.48;3525.40;15.43;57.24;26.57;9.01;23.28;32.80;16.77;78.43;
271 (s);9.84;4.01;66.09;516.05;748.91;3525.58;15.44;57.23;26.51;9.01;23.28;32.80;16.76;78.22;
281 (s);9.84;4.01;66.33;514.97;746.09;3525.40;15.46;57.24;26.49;9.05;23.28;32.81;16.75;78.14;
291 (s);9.83;4.01;66.33;511.88;742.33;3525.74;15.47;57.24;26.45;9.04;23.27;32.78;16.76;78.18;
301 (s);9.83;4.02;66.33;514.67;746.06;3525.37;15.49;57.22;26.43;9.06;23.29;32.78;16.76;78.12;
311 (s);9.83;4.02;66.33;513.95;746.10;3525.45;15.52;57.21;26.38;9.07;23.31;32.78;16.77;78.26;
321 (s);9.84;4.02;68.28;515.19;744.53;3525.56;15.53;57.22;26.35;9.09;23.32;32.78;16.77;78.17;
331 (s);9.83;4.03;68.99;513.94;746.52;3525.76;15.54;57.25;26.32;9.13;23.34;32.84;16.79;78.18;
342 (s);9.83;4.03;69.73;517.63;749.78;3525.10;15.54;57.27;26.31;9.14;23.36;32.81;16.80;78.24;
352 (s);9.83;4.03;69.72;513.54;748.33;3525.22;15.54;57.26;26.29;9.16;23.36;32.82;16.81;78.21;
362 (s);9.83;4.03;69.96;515.70;742.56;3525.53;15.55;57.24;26.26;9.20;23.36;32.82;16.82;78.29;
372 (s);9.83;4.04;70.45;514.59;741.52;3525.61;15.54;57.29;26.24;9.22;23.36;32.82;16.83;78.50;
382 (s);9.83;4.04;70.96;512.60;741.36;3525.45;15.53;57.38;26.21;9.23;23.36;32.86;16.84;78.73;
392 (s);9.82;4.04;71.19;514.36;743.68;3525.66;15.54;57.37;26.20;9.23;23.36;32.84;16.84;78.58;
402 (s);9.82;4.04;71.18;511.98;742.59;3525.51;15.57;57.36;26.19;9.26;23.38;32.86;16.84;78.41;
412 (s);9.82;4.05;71.19;516.34;742.49;3525.61;15.60;57.35;26.16;9.29;23.39;32.84;16.84;78.24;
422 (s);9.82;4.05;71.19;515.85;742.35;3525.47;15.62;57.34;26.15;9.30;23.40;32.85;16.85;78.29;
432 (s);9.82;4.05;71.20;517.19;747.45;3525.65;15.63;57.29;26.13;9.31;23.41;32.86;16.86;78.55;
442 (s);9.82;4.05;71.20;517.17;740.77;3525.61;15.65;57.31;26.11;9.32;23.43;32.87;16.86;78.67;
452 (s);9.82;4.05;71.19;517.00;742.29;3525.53;15.66;57.30;26.09;9.33;23.42;32.88;16.86;78.37;
462 (s);9.82;4.06;71.20;517.63;743.16;3525.37;15.67;57.27;26.09;9.35;23.41;32.89;16.87;78.24;
472 (s);9.81;4.06;71.20;514.22;740.11;3525.56;15.67;57.29;26.08;9.37;23.42;32.90;16.88;78.57;
482 (s);9.82;4.06;71.19;514.25;739.35;3525.79;15.68;57.26;26.07;9.36;23.42;32.89;16.87;78.73;
493 (s);9.81;4.06;71.18;514.36;742.68;3525.72;15.68;57.27;26.07;9.38;23.44;32.90;16.88;78.74;
503 (s);9.82;4.06;71.20;518.24;742.96;3525.57;15.67;57.27;26.06;9.41;23.46;32.93;16.87;78.39;
513 (s);9.81;4.07;71.20;516.10;744.09;3525.64;15.67;57.28;26.05;9.44;23.47;32.91;16.88;78.59;
523 (s);9.82;4.07;71.20;515.29;745.45;3525.40;15.68;57.31;26.03;9.43;23.47;32.94;16.89;78.89;
533 (s);9.81;4.07;71.19;515.11;741.27;3525.48;15.69;57.32;26.04;9.44;23.48;32.94;16.90;78.58;
543 (s);9.82;4.07;70.46;513.72;741.57;3525.43;15.69;57.29;26.04;9.46;23.50;32.95;16.88;78.51;
553 (s);9.82;4.07;70.16;516.78;742.42;3525.55;15.70;57.28;26.03;9.49;23.49;32.97;16.89;78.65;
563 (s);9.82;4.07;69.23;513.72;741.11;3525.87;15.69;57.29;26.03;9.48;23.49;32.99;16.88;78.35;
573 (s);9.82;4.07;69.23;514.74;740.94;3525.70;15.67;57.30;26.02;9.47;23.49;32.99;16.88;78.84;
583 (s);9.82;4.08;69.23;515.39;743.18;3525.76;15.67;57.30;26.03;9.51;23.51;32.98;16.89;78.36;
593 (s);9.82;4.08;69.23;515.98;738.64;3525.55;15.67;57.31;26.01;9.51;23.52;32.99;16.89;78.90;
603 (s);9.82;4.08;69.24;515.24;741.44;3525.66;15.67;57.32;26.02;9.52;23.52;33.00;16.89;78.50;
613 (s);9.82;4.08;69.24;517.64;744.51;3525.65;15.67;57.36;26.00;9.54;23.51;33.02;16.90;78.90;
623 (s);9.82;4.08;69.23;517.35;737.05;3525.81;15.67;57.39;26.02;9.53;23.50;33.02;16.92;78.48;
634 (s);9.82;4.08;69.24;517.53;744.49;3525.58;15.67;57.34;26.03;9.54;23.50;33.02;16.92;78.47;
644 (s);9.82;4.08;69.23;512.75;741.98;3525.49;15.68;57.36;26.02;9.54;23.52;33.02;16.90;78.77;
654 (s);9.82;4.08;69.18;510.16;741.59;3525.84;15.68;57.34;26.01;9.56;23.53;33.04;16.91;78.54;
