Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
30 (s);9.31;3.66;52.68;203.05;319.11;3094.11;12.48;45.48;28.74;6.37;20.52;33.99;11.69;65.50;
60 (s);9.32;3.67;52.67;204.19;316.61;3094.44;12.49;45.68;28.75;6.37;20.51;34.03;11.70;65.46;
90 (s);9.33;3.66;52.66;199.23;317.16;3094.22;12.48;45.84;28.79;6.37;20.52;34.03;11.66;65.46;
120 (s);9.35;3.67;53.18;199.93;317.19;3094.32;12.49;46.04;28.82;6.40;20.54;34.14;11.66;65.62;
150 (s);9.36;3.67;53.19;200.27;318.11;3094.21;12.49;46.19;28.84;6.41;20.55;34.20;11.68;65.67;
181 (s);9.36;3.67;53.18;200.08;315.14;3094.25;12.49;46.34;28.90;6.43;20.55;34.25;11.67;65.77;
211 (s);9.36;3.67;53.40;203.77;318.33;3094.16;12.49;46.53;28.93;6.44;20.56;34.26;11.70;65.82;
241 (s);9.37;3.68;53.18;202.88;315.69;3093.93;12.49;46.71;28.91;6.46;20.58;34.23;11.71;65.75;
271 (s);9.37;3.68;52.92;205.19;321.54;3094.49;12.49;46.87;28.96;6.45;20.58;34.23;11.71;65.81;
301 (s);9.37;3.68;53.43;206.26;319.55;3094.20;12.48;47.03;28.97;6.48;20.58;34.20;11.72;65.89;
332 (s);9.37;3.68;53.41;205.98;317.79;3094.33;12.48;47.17;29.05;6.49;20.60;34.23;11.72;65.92;
362 (s);9.37;3.68;53.44;205.36;318.79;3094.21;12.48;47.32;29.05;6.48;20.58;34.21;11.71;65.80;
392 (s);9.37;3.68;53.41;205.52;318.12;3094.48;12.48;47.50;29.08;6.49;20.58;34.21;11.71;65.85;
422 (s);9.37;3.68;53.42;206.24;321.50;3094.30;12.48;47.65;29.11;6.51;20.58;34.24;11.72;65.93;
452 (s);9.37;3.68;53.42;204.35;318.56;3094.47;12.47;47.77;29.11;6.50;20.61;34.28;11.70;66.00;
482 (s);9.38;3.68;53.43;203.25;319.70;3094.42;12.47;47.91;29.14;6.52;20.59;34.28;11.69;66.05;
513 (s);9.38;3.69;53.66;205.47;319.40;3094.45;12.46;48.05;29.17;6.54;20.60;34.29;11.69;66.13;
543 (s);9.39;3.69;53.93;205.50;318.32;3094.15;12.46;48.20;29.21;6.55;20.60;34.33;11.70;65.92;
573 (s);9.39;3.69;53.91;206.28;319.39;3094.54;12.45;48.34;29.27;6.57;20.63;34.30;11.70;66.08;
603 (s);9.39;3.69;53.68;203.95;320.09;3094.52;12.46;48.49;29.27;6.57;20.62;34.31;11.72;66.01;
633 (s);9.40;3.69;53.66;206.30;319.73;3094.14;12.46;48.60;29.28;6.58;20.65;34.33;11.71;66.01;
663 (s);9.40;3.68;53.67;205.84;319.06;3094.45;12.44;48.72;29.32;6.51;20.65;34.38;11.68;66.03;
693 (s);9.40;3.68;53.91;204.31;319.82;3094.56;12.42;48.83;29.30;6.52;20.65;34.38;11.67;66.06;
