Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
30 (s);8.62;3.67;55.82;375.85;328.06;3094.34;12.37;50.84;27.54;6.42;20.82;30.02;11.73;64.20;
60 (s);8.61;3.67;56.07;375.11;329.16;3094.12;12.41;50.81;27.55;6.42;20.80;29.95;11.71;64.08;
90 (s);8.60;3.67;56.33;375.38;329.03;3094.19;12.36;50.82;27.47;6.42;20.79;29.90;11.72;64.09;
120 (s);8.60;3.67;56.33;378.39;328.38;3094.28;12.33;50.86;27.44;6.43;20.85;29.90;11.72;64.12;
150 (s);8.59;3.67;56.34;372.82;326.60;3094.19;12.30;50.88;27.35;6.45;20.86;29.87;11.71;64.16;
181 (s);8.59;3.68;56.32;377.73;330.21;3094.21;12.30;50.92;27.30;6.45;20.83;29.86;11.71;64.10;
211 (s);8.58;3.67;56.32;377.27;328.52;3094.12;12.32;50.88;27.24;6.43;20.86;29.81;11.70;64.19;
241 (s);8.58;3.67;56.33;377.41;327.33;3094.34;12.40;50.85;27.20;6.42;20.85;29.80;11.70;64.03;
271 (s);8.58;3.67;56.06;377.52;325.43;3094.43;12.45;50.83;27.12;6.43;20.87;29.80;11.68;64.05;
301 (s);8.58;3.67;56.08;375.93;327.40;3094.07;12.47;50.82;27.09;6.41;20.85;29.80;11.69;64.07;
331 (s);8.58;3.67;56.07;376.59;328.17;3094.01;12.39;50.87;27.04;6.42;20.85;29.79;11.69;63.96;
362 (s);8.57;3.67;56.08;376.22;329.50;3094.17;12.32;50.93;26.98;6.42;20.89;29.79;11.70;63.92;
392 (s);8.58;3.67;56.08;377.47;329.55;3094.26;12.30;50.96;26.99;6.41;20.89;29.80;11.70;63.97;
422 (s);8.58;3.67;56.11;379.58;327.10;3094.10;12.37;50.94;26.98;6.41;20.87;29.82;11.70;64.03;
452 (s);8.58;3.67;56.08;376.81;326.96;3094.26;12.37;50.98;26.94;6.42;20.90;29.78;11.69;64.04;
482 (s);8.58;3.67;56.06;376.55;326.08;3094.34;12.31;51.04;26.92;6.42;20.92;29.79;11.69;64.06;
512 (s);8.58;3.67;56.08;377.80;328.06;3094.45;12.30;51.04;26.87;6.41;20.91;29.79;11.70;64.05;
542 (s);8.58;3.67;56.09;377.14;326.09;3094.11;12.30;51.09;26.86;6.43;20.91;29.81;11.69;63.93;
572 (s);8.58;3.67;56.07;379.23;328.05;3094.26;12.27;51.10;26.81;6.41;20.93;29.78;11.70;63.92;
602 (s);8.59;3.67;56.09;378.65;330.43;3094.04;12.26;51.10;26.80;6.42;20.92;29.80;11.71;64.17;
632 (s);8.59;3.67;56.08;376.78;327.44;3094.42;12.28;51.09;26.79;6.40;20.93;29.84;11.69;63.98;
662 (s);8.59;3.67;56.09;377.76;326.32;3094.30;12.27;51.09;26.75;6.41;20.94;29.83;11.70;64.08;
693 (s);8.59;3.67;56.07;379.28;329.49;3094.37;12.26;51.09;26.68;6.40;20.95;29.86;11.72;63.96;
723 (s);8.59;3.67;55.90;378.97;328.76;3094.21;12.26;51.12;26.66;6.39;20.94;29.83;11.71;63.81;
753 (s);8.59;3.67;56.07;376.75;329.06;3094.30;12.25;51.16;26.67;6.41;20.99;29.85;11.71;63.98;
783 (s);8.59;3.67;55.82;377.92;329.11;3094.15;12.24;51.16;26.65;6.43;20.98;29.83;11.72;64.15;
813 (s);8.60;3.67;55.84;374.02;325.87;3094.26;12.23;51.18;26.64;6.43;20.96;29.87;11.72;64.07;
843 (s);8.60;3.67;56.08;376.53;328.66;3094.25;12.23;51.21;26.64;6.40;20.97;29.89;11.71;64.09;
874 (s);8.60;3.67;56.08;374.69;327.54;3094.34;12.24;51.23;26.60;6.40;21.01;29.86;11.71;64.10;
904 (s);8.60;3.67;56.05;375.15;326.38;3094.26;12.24;51.21;26.58;6.41;21.01;29.90;11.72;63.96;
934 (s);8.60;3.67;55.83;378.86;329.95;3094.65;12.25;51.24;26.54;6.42;21.03;29.92;11.73;64.13;
964 (s);8.60;3.67;55.82;375.90;328.50;3094.44;12.25;51.26;26.55;6.41;21.02;29.92;11.73;64.06;
994 (s);8.61;3.67;55.82;378.16;327.47;3094.27;12.25;51.26;26.58;6.43;20.99;29.92;11.74;64.24;
1024 (s);8.61;3.67;55.83;379.47;330.98;3094.42;12.23;51.27;26.53;6.44;21.02;29.89;11.74;64.00;
1055 (s);8.61;3.67;55.85;375.09;327.08;3094.06;12.24;51.31;26.54;6.44;21.02;29.94;11.74;64.22;
1085 (s);8.61;3.67;55.85;377.69;326.58;3093.98;12.24;51.31;26.50;6.43;21.03;29.95;11.74;64.18;
1115 (s);8.61;3.67;55.85;376.93;326.56;3094.05;12.24;51.33;26.51;6.43;21.01;29.92;11.73;64.20;
1145 (s);8.61;3.67;55.82;379.86;330.25;3094.40;12.23;51.34;26.49;6.44;21.06;29.97;11.73;64.21;
1175 (s);8.62;3.67;56.08;378.11;327.92;3094.38;12.23;51.34;26.49;6.45;21.05;29.95;11.76;64.04;
1205 (s);8.63;3.67;55.60;376.41;327.83;3094.14;12.26;51.35;26.50;6.45;21.04;29.97;11.75;64.14;
1235 (s);8.62;3.67;55.82;377.05;328.02;3094.34;12.34;51.32;26.50;6.45;21.05;29.96;11.75;64.09;
