Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
30 (s);8.55;3.62;76.78;380.94;202.32;3094.40;12.05;51.28;26.93;5.97;21.28;29.84;9.89;63.79;
60 (s);8.53;3.61;77.27;380.17;204.93;3094.28;11.90;51.30;27.02;5.95;21.27;29.83;9.74;63.59;
90 (s);8.52;3.61;75.43;379.75;202.73;3094.28;11.75;51.32;27.09;5.90;21.28;29.81;9.62;63.67;
120 (s);8.51;3.60;58.03;382.58;201.23;3094.21;11.59;51.28;27.18;5.84;21.30;29.78;9.49;63.83;
151 (s);8.48;3.59;65.23;379.15;200.47;3094.02;11.41;51.28;26.66;5.76;21.31;29.78;9.39;63.48;
181 (s);8.44;3.57;61.89;382.45;205.14;3094.34;11.23;51.24;27.26;5.65;21.33;29.67;9.27;63.50;
211 (s);8.44;3.56;50.03;381.78;204.70;3094.11;11.10;51.22;27.63;5.55;21.32;29.63;9.18;63.36;
241 (s);8.45;3.55;55.67;380.54;205.99;3094.15;10.98;51.19;27.66;5.46;21.35;29.59;9.12;63.28;
271 (s);8.47;3.54;52.32;382.68;206.20;3094.13;10.87;51.16;27.53;5.35;21.35;29.63;9.04;63.53;
301 (s);8.48;3.53;52.67;380.38;203.18;3094.37;10.79;51.13;27.69;5.24;21.35;29.62;8.99;63.42;
332 (s);8.49;3.51;50.65;382.35;204.47;3094.26;10.72;51.11;27.64;5.15;21.39;29.67;8.93;63.55;
362 (s);8.49;3.50;51.46;382.01;203.67;3094.08;10.65;51.12;27.38;5.07;21.39;29.65;8.88;63.41;
392 (s);8.49;3.49;50.49;383.93;203.84;3094.10;10.61;51.12;27.19;4.98;21.41;29.67;8.84;63.48;
422 (s);8.49;3.48;49.28;384.22;203.57;3094.31;10.57;51.12;26.96;4.91;21.39;29.64;8.81;63.51;
452 (s);8.49;3.48;48.32;381.74;204.21;3094.04;10.51;51.09;26.80;4.84;21.41;29.65;8.76;63.46;
482 (s);8.49;3.47;48.08;381.02;204.12;3093.95;10.50;51.10;26.70;4.79;21.44;29.59;8.74;63.41;
512 (s);8.49;3.46;47.58;382.85;204.67;3094.07;10.49;51.09;26.61;4.73;21.43;29.62;8.72;63.43;
542 (s);8.49;3.46;47.32;381.14;203.95;3094.38;10.48;51.11;26.57;4.71;21.41;29.61;8.70;63.28;
573 (s);8.49;3.46;47.57;385.78;206.72;3094.05;10.46;51.11;26.52;4.68;21.42;29.59;8.69;63.20;
603 (s);8.49;3.45;47.58;382.23;205.20;3094.03;10.47;51.11;26.43;4.64;21.44;29.59;8.70;63.22;
633 (s);8.49;3.45;47.57;382.95;204.88;3094.13;10.47;51.10;26.40;4.61;21.43;29.58;8.68;63.22;
663 (s);8.48;3.45;47.81;384.66;205.03;3094.12;10.46;51.11;26.40;4.61;21.45;29.59;8.68;63.33;
693 (s);8.48;3.44;48.05;384.39;204.82;3094.00;10.47;51.14;26.45;4.57;21.43;29.55;8.68;63.12;
723 (s);8.49;3.44;48.05;383.79;204.68;3094.20;10.49;51.13;26.38;4.57;21.46;29.57;8.67;63.16;
753 (s);8.49;3.44;48.30;383.37;203.23;3093.97;10.51;51.13;26.36;4.57;21.47;29.56;8.67;63.14;
783 (s);8.49;3.44;49.04;382.71;201.90;3094.23;10.54;51.13;26.38;4.56;21.50;29.56;8.67;63.39;
813 (s);8.49;3.44;49.30;384.48;203.39;3093.69;10.54;51.15;26.37;4.58;21.50;29.55;8.69;63.29;
