Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
30 (s);8.76;3.85;38.07;373.57;411.49;2588.72;13.81;51.68;23.94;7.78;21.43;30.15;13.76;53.05;
60 (s);8.76;3.85;38.09;372.05;411.41;2588.55;13.96;51.41;23.86;7.82;21.44;30.10;13.87;53.19;
90 (s);8.77;3.86;40.77;375.55;409.90;2588.45;14.04;51.24;23.83;7.85;21.45;30.04;13.91;53.22;
120 (s);8.77;3.86;41.98;372.68;410.98;2588.75;14.13;51.16;23.93;7.87;21.46;30.04;13.96;53.13;
151 (s);8.77;3.86;43.92;374.43;411.61;2588.75;14.20;51.07;23.98;7.91;21.48;30.00;13.99;53.27;
181 (s);8.77;3.87;47.32;374.51;411.79;2588.78;14.22;51.08;24.06;7.97;21.50;29.97;14.04;53.14;
211 (s);8.77;3.87;47.58;376.83;413.47;2588.35;14.30;51.06;24.07;8.00;21.49;29.96;14.10;53.18;
241 (s);8.77;3.88;48.80;374.64;410.05;2588.59;14.38;50.96;24.09;8.03;21.52;29.95;14.12;53.20;
271 (s);8.77;3.88;50.98;373.46;410.64;2588.53;14.38;50.97;24.12;8.07;21.51;30.01;14.15;53.22;
301 (s);8.77;3.89;52.44;373.91;411.79;2588.41;14.37;50.99;24.06;8.13;21.51;29.99;14.17;53.24;
331 (s);8.76;3.90;53.17;373.54;412.41;2588.53;14.38;50.94;24.04;8.18;21.52;30.02;14.20;53.13;
361 (s);8.75;3.90;54.14;374.50;411.46;2588.59;14.40;50.92;24.00;8.21;21.53;29.98;14.21;53.16;
392 (s);8.76;3.91;54.17;373.47;409.98;2588.42;14.45;50.90;23.97;8.25;21.53;29.97;14.23;53.22;
422 (s);8.75;3.92;54.41;373.98;412.09;2588.46;14.45;50.84;23.92;8.31;21.53;29.99;14.22;53.30;
452 (s);8.75;3.92;54.65;371.57;412.45;2588.49;14.52;50.84;23.92;8.33;21.54;29.98;14.24;53.16;
482 (s);8.75;3.92;54.15;372.05;413.23;2588.42;14.63;50.70;23.85;8.34;21.54;30.02;14.25;53.23;
512 (s);8.74;3.92;52.71;374.31;411.17;2588.58;14.67;50.59;23.80;8.32;21.57;29.99;14.27;53.16;
542 (s);8.75;3.92;52.69;373.20;411.18;2588.65;14.69;50.53;23.79;8.33;21.56;29.99;14.27;53.16;
573 (s);8.74;3.92;52.69;374.26;409.91;2588.66;14.71;50.48;23.76;8.34;21.58;30.02;14.28;53.19;
603 (s);8.75;3.92;52.68;373.32;411.08;2588.75;14.72;50.44;23.74;8.34;21.56;29.99;14.29;53.16;
633 (s);8.74;3.92;54.15;375.76;413.49;2588.56;14.69;50.44;23.78;8.36;21.57;30.04;14.29;53.15;
663 (s);8.74;3.93;55.61;373.81;411.98;2588.52;14.64;50.48;23.80;8.40;21.56;30.03;14.28;53.22;
693 (s);8.73;3.93;56.33;374.77;412.85;2588.48;14.61;50.50;23.83;8.44;21.59;30.06;14.30;53.13;
723 (s);8.72;3.94;56.35;375.46;412.92;2588.45;14.62;50.47;23.86;8.49;21.60;29.99;14.32;53.13;
754 (s);8.73;3.94;53.94;373.24;411.47;2588.44;14.71;50.41;23.83;8.46;21.61;30.01;14.32;53.13;
784 (s);8.73;3.93;51.47;374.95;412.27;2588.59;14.74;50.31;23.79;8.45;21.60;30.05;14.31;53.19;
814 (s);8.73;3.93;51.22;375.63;414.43;2588.61;14.71;50.27;23.79;8.44;21.61;30.07;14.29;53.18;
