Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.08;4.73;48.30;1026.43;1031.38;3737.90;21.60;36.32;31.69;13.98;24.78;31.82;21.54;80.04;
20 (s);9.09;4.72;119.16;1028.86;1031.36;3737.24;21.52;36.31;31.78;13.93;24.79;31.89;21.50;79.73;
30 (s);9.10;4.71;114.08;1030.26;846.63;3737.00;21.45;36.25;31.85;13.85;24.79;31.94;21.46;79.02;
40 (s);9.12;4.69;103.87;1029.18;845.25;3736.83;21.37;36.18;31.90;13.75;24.80;31.98;21.31;78.86;
50 (s);9.13;4.68;52.71;1031.24;841.48;3737.24;21.30;36.15;31.97;13.65;24.81;32.02;21.18;78.77;
61 (s);9.13;4.67;106.10;1031.22;842.40;3736.74;21.22;36.12;32.04;13.62;24.82;32.04;21.09;78.59;
71 (s);9.13;4.66;76.42;1031.21;838.91;3737.32;21.14;36.13;32.08;13.57;24.84;32.07;21.03;78.45;
81 (s);9.14;4.61;61.31;1031.26;244.60;3737.46;21.06;36.15;32.15;13.24;24.86;32.08;20.97;78.26;
91 (s);9.13;4.60;135.27;1031.23;717.86;3737.16;21.00;36.15;32.19;13.12;24.87;32.08;20.61;77.79;
101 (s);9.14;4.59;53.38;1031.29;715.43;3737.79;20.88;36.15;32.19;13.08;24.88;32.10;20.39;78.02;
111 (s);9.14;4.59;117.83;1031.24;718.14;3737.08;20.78;36.15;32.23;13.07;24.89;32.10;20.38;77.86;
121 (s);9.15;4.59;62.81;1031.25;722.35;3737.13;20.69;36.16;32.28;13.06;24.91;32.13;20.37;77.78;
