Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.68;3.29;52.42;266.21;225.08;3720.35;9.16;50.31;25.95;3.29;19.85;30.98;7.60;75.75;
20 (s);8.68;3.29;51.69;266.29;225.47;3720.35;9.16;50.36;25.91;3.28;19.87;30.99;7.62;75.74;
30 (s);8.69;3.29;51.70;265.18;223.63;3720.33;9.15;50.40;25.85;3.30;19.86;31.03;7.62;75.62;
40 (s);8.71;3.29;51.45;265.67;221.81;3720.41;9.15;50.47;25.84;3.27;19.86;31.02;7.62;75.91;
50 (s);8.72;3.29;51.45;266.08;222.41;3720.09;9.14;50.52;25.78;3.28;19.86;31.14;7.63;75.75;
60 (s);8.72;3.29;51.21;263.92;222.93;3720.43;9.14;50.59;25.77;3.26;19.85;31.18;7.61;75.76;
70 (s);8.73;3.29;51.21;265.43;223.50;3720.56;9.14;50.65;25.80;3.27;19.86;31.20;7.61;75.83;
80 (s);8.74;3.29;51.19;265.98;223.19;3720.42;9.14;50.69;25.79;3.27;19.88;31.24;7.62;75.83;
90 (s);8.75;3.29;51.21;263.74;223.50;3720.24;9.13;50.73;25.80;3.26;19.86;31.28;7.61;75.89;
101 (s);8.76;3.29;51.22;262.92;220.84;3720.36;9.13;50.78;25.85;3.26;19.86;31.33;7.61;75.86;
111 (s);8.77;3.29;51.21;263.00;218.87;3719.97;9.13;50.82;25.92;3.25;19.86;31.28;7.59;75.82;
121 (s);8.78;3.29;51.21;265.29;221.72;3720.09;9.13;50.86;25.90;3.24;19.88;31.35;7.58;75.93;
131 (s);8.79;3.29;51.47;265.44;221.72;3720.19;9.13;50.92;25.93;3.25;19.88;31.39;7.58;75.94;
141 (s);8.80;3.29;51.44;266.02;222.21;3720.80;9.14;50.96;25.95;3.26;19.86;31.37;7.60;75.99;
151 (s);8.80;3.29;51.45;265.93;222.68;3720.20;9.15;51.00;26.02;3.26;19.89;31.43;7.62;76.13;
161 (s);8.81;3.29;51.45;264.64;223.68;3720.52;9.15;51.07;26.04;3.27;19.88;31.45;7.62;76.10;
