Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.61;3.30;47.35;167.45;224.81;3724.31;9.77;54.62;27.01;3.37;20.50;34.97;7.90;78.08;
20 (s);9.65;3.30;47.31;165.78;223.81;3724.05;9.80;54.67;26.90;3.37;20.50;35.12;7.93;78.31;
30 (s);9.68;3.31;47.78;166.75;222.52;3724.55;9.83;54.71;26.86;3.41;20.49;35.27;7.97;78.19;
41 (s);9.71;3.31;51.19;167.96;223.60;3724.67;9.82;54.75;26.88;3.45;20.51;35.37;7.98;78.38;
51 (s);9.73;3.32;51.46;168.29;218.35;3724.77;9.79;54.84;26.99;3.48;20.51;35.49;7.98;78.35;
61 (s);9.76;3.32;51.46;169.53;224.86;3724.74;9.83;54.90;26.99;3.50;20.51;35.61;8.01;78.51;
71 (s);9.78;3.32;51.21;168.47;223.13;3724.76;9.87;54.91;26.92;3.51;20.50;35.68;8.05;78.54;
81 (s);9.80;3.32;51.21;169.72;223.58;3724.76;9.90;54.92;26.84;3.53;20.51;35.75;8.08;78.70;
91 (s);9.82;3.32;50.01;169.81;222.93;3724.42;9.93;54.97;26.79;3.53;20.51;35.84;8.11;78.52;
101 (s);9.84;3.32;49.54;169.18;222.75;3724.49;9.96;55.02;26.78;3.53;20.50;35.92;8.11;78.75;
112 (s);9.85;3.32;48.82;171.08;225.07;3724.55;10.00;55.07;26.78;3.55;20.49;35.97;8.13;78.74;
122 (s);9.87;3.32;48.83;171.30;225.38;3724.30;10.02;55.11;26.75;3.54;20.51;36.03;8.14;78.65;
132 (s);9.88;3.32;49.54;170.95;225.17;3725.30;10.05;55.12;26.73;3.55;20.50;36.06;8.15;78.86;
142 (s);9.90;3.33;49.53;171.43;225.11;3724.76;10.08;55.15;26.75;3.57;20.50;36.16;8.18;78.84;
152 (s);9.91;3.33;49.76;170.53;221.44;3724.77;10.11;55.18;26.75;3.60;20.50;36.20;8.20;78.78;
162 (s);9.92;3.33;50.03;171.15;223.80;3724.45;10.14;55.22;26.79;3.60;20.50;36.25;8.22;78.85;
172 (s);9.93;3.33;50.71;170.90;223.66;3725.21;10.16;55.25;26.80;3.62;20.50;36.31;8.23;78.93;
182 (s);9.94;3.33;50.83;170.90;224.97;3724.57;10.17;55.29;26.80;3.62;20.48;36.34;8.23;78.93;
193 (s);9.95;3.34;51.93;170.99;223.10;3724.45;10.19;55.31;26.83;3.66;20.51;36.39;8.25;79.03;
203 (s);9.95;3.34;52.68;170.05;224.62;3724.99;10.19;55.35;26.85;3.67;20.51;36.43;8.25;79.09;
213 (s);9.97;3.34;53.42;169.26;223.98;3724.66;10.20;55.39;26.92;3.70;20.52;36.49;8.27;79.08;
223 (s);9.97;3.34;53.42;168.69;225.15;3724.48;10.22;55.44;26.95;3.71;20.52;36.51;8.28;79.09;
233 (s);9.98;3.34;53.43;169.08;223.42;3724.12;10.23;55.48;26.96;3.71;20.51;36.57;8.30;79.14;
243 (s);10.00;3.34;52.69;168.00;223.02;3724.91;10.25;55.50;26.98;3.71;20.52;36.59;8.32;79.13;
253 (s);10.01;3.34;52.70;167.70;223.78;3724.16;10.27;55.53;26.99;3.73;20.51;36.66;8.33;79.26;
263 (s);10.02;3.34;52.69;168.53;222.12;3724.72;10.29;55.54;26.96;3.73;20.53;36.67;8.32;79.33;
274 (s);10.03;3.35;52.69;168.96;222.38;3724.74;10.31;55.58;26.98;3.74;20.54;36.79;8.33;79.21;
284 (s);10.04;3.35;52.70;169.89;222.28;3724.73;10.33;55.59;26.99;3.76;20.54;36.74;8.34;79.24;
294 (s);10.04;3.35;52.70;169.47;225.22;3724.74;10.34;55.63;26.99;3.77;20.55;36.82;8.36;79.19;
