Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.40;3.46;19.04;145.95;459.29;3725.76;10.83;56.64;25.30;4.67;20.15;38.05;11.65;80.72;
20 (s);10.45;3.46;18.59;144.38;463.71;3726.00;10.90;56.68;24.42;4.70;20.14;38.19;11.80;80.88;
30 (s);10.51;3.46;18.64;144.11;464.17;3725.55;10.98;56.72;24.17;4.73;20.16;38.28;11.94;81.08;
40 (s);10.55;3.47;18.61;143.34;463.13;3726.12;11.08;56.77;24.04;4.79;20.15;38.44;12.05;81.29;
50 (s);10.60;3.48;18.64;144.63;464.79;3726.25;11.15;56.81;24.06;4.84;20.15;38.53;12.13;81.22;
60 (s);10.64;3.48;18.59;145.22;464.11;3725.84;11.24;56.84;24.24;4.88;20.15;38.65;12.22;81.15;
70 (s);10.67;3.49;19.35;143.38;460.93;3726.12;11.32;56.87;24.35;4.91;20.15;38.76;12.28;81.50;
80 (s);10.71;3.49;19.86;143.86;463.04;3726.18;11.40;56.95;24.46;4.95;20.14;38.83;12.31;81.68;
91 (s);10.75;3.49;22.09;143.60;462.40;3725.79;11.48;57.03;24.52;4.98;20.15;38.96;12.34;81.74;
101 (s);10.78;3.50;23.72;144.73;461.88;3725.71;11.55;57.06;24.66;5.03;20.15;39.11;12.37;81.91;
