Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.06;3.55;44.39;142.67;463.35;3726.46;12.24;57.59;26.59;5.45;20.16;39.95;12.81;82.87;
20 (s);11.08;3.55;45.88;142.22;462.73;3727.07;12.30;57.61;26.76;5.49;20.17;40.01;12.85;82.79;
30 (s);11.12;3.58;39.58;138.90;614.04;3726.51;12.37;57.68;26.76;5.68;20.10;40.13;13.33;83.06;
40 (s);11.16;3.59;35.68;137.12;610.78;3726.72;12.45;57.76;26.56;5.74;20.02;40.26;13.75;83.07;
50 (s);11.19;3.59;35.41;139.89;617.46;3726.50;12.53;57.82;26.28;5.81;20.01;40.35;13.90;83.20;
60 (s);11.23;3.60;35.66;135.26;612.76;3726.91;12.60;57.86;26.15;5.86;20.01;40.44;13.99;83.43;
70 (s);11.26;3.61;37.35;137.90;613.07;3727.04;12.68;57.89;26.08;5.92;20.02;40.51;14.03;83.57;
80 (s);11.28;3.62;38.31;137.20;613.18;3726.55;12.76;57.95;26.09;5.98;20.01;40.60;14.07;83.67;
90 (s);11.31;3.62;40.76;138.80;614.96;3726.84;12.82;58.00;26.12;6.02;20.01;40.67;14.11;83.72;
101 (s);11.34;3.63;43.19;137.94;614.35;3727.14;12.90;58.08;26.15;6.07;20.01;40.75;14.18;83.67;
111 (s);11.35;3.63;44.92;137.40;616.63;3727.17;12.97;58.13;26.21;6.13;20.03;40.81;14.22;83.84;
121 (s);11.37;3.64;46.24;136.80;614.49;3727.75;13.02;58.18;26.24;6.18;20.03;40.88;14.25;83.88;
131 (s);11.39;3.64;48.56;135.80;611.50;3727.57;13.09;58.23;26.29;6.21;20.02;40.92;14.29;83.97;
141 (s);11.41;3.65;51.69;137.53;617.99;3727.57;13.15;58.29;26.32;6.27;20.02;40.99;14.31;84.15;
151 (s);11.42;3.66;52.47;137.27;614.14;3727.30;13.21;58.34;26.36;6.31;20.03;41.06;14.36;84.15;
161 (s);11.44;3.66;53.92;137.29;612.57;3727.60;13.28;58.38;26.42;6.35;20.04;41.11;14.39;84.17;
171 (s);11.45;3.67;55.10;137.28;615.51;3727.51;13.34;58.45;26.40;6.41;20.04;41.20;14.41;84.12;
182 (s);11.46;3.68;55.60;136.83;614.05;3727.19;13.38;58.49;26.37;6.47;20.04;41.22;14.42;84.25;
192 (s);11.47;3.68;57.58;136.81;612.50;3727.63;13.43;58.53;26.34;6.51;20.04;41.25;14.43;84.35;
202 (s);11.48;3.69;58.56;136.95;613.75;3727.47;13.47;58.57;26.32;6.55;20.03;41.32;14.44;84.55;
212 (s);11.49;3.69;58.55;138.58;616.38;3727.41;13.51;58.62;26.30;6.61;20.04;41.36;14.45;84.52;
222 (s);11.50;3.70;59.74;136.29;611.88;3727.51;13.55;58.67;26.25;6.64;20.05;41.43;14.46;84.55;
232 (s);11.51;3.70;60.22;137.92;613.07;3727.90;13.58;58.72;26.23;6.68;20.04;41.47;14.46;84.66;
242 (s);11.52;3.71;60.48;136.78;614.25;3727.09;13.62;58.78;26.20;6.72;20.03;41.53;14.47;84.58;
253 (s);11.53;3.72;61.94;139.99;614.33;3727.58;13.65;58.82;26.19;6.77;20.04;41.56;14.47;84.74;
263 (s);11.53;3.72;62.22;142.79;611.71;3727.69;13.68;58.84;26.14;6.82;20.04;41.57;14.47;84.83;
273 (s);11.52;3.73;63.40;142.01;613.90;3726.67;13.72;58.87;26.13;6.85;20.04;41.54;14.47;84.80;
283 (s);11.51;3.73;63.41;143.13;612.71;3726.42;13.75;58.92;26.09;6.90;20.04;41.52;14.47;84.67;
293 (s);11.51;3.74;64.12;142.22;617.96;3726.62;13.78;58.96;26.07;6.94;20.02;41.54;14.47;84.77;
301 (s);11.51;3.75;65.33;8.53;36.86;3726.67;13.86;59.08;26.01;7.04;20.03;41.56;28.95;84.88;
