Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);10.14;3.65;66.82;242.36;348.89;3725.37;12.71;59.64;27.91;6.25;20.60;36.43;11.61;81.07;
20 (s);10.13;3.65;66.79;241.58;346.10;3725.47;12.70;59.60;27.87;6.27;20.57;36.45;11.61;81.08;
30 (s);10.12;3.65;66.80;239.68;348.62;3725.48;12.69;59.57;27.86;6.27;20.61;36.41;11.61;81.07;
40 (s);10.11;3.65;66.80;241.49;348.16;3724.56;12.69;59.55;27.81;6.26;20.61;36.42;11.60;81.06;
50 (s);10.10;3.65;66.80;240.22;348.38;3725.14;12.70;59.51;27.75;6.27;20.59;36.41;11.61;81.01;
61 (s);10.09;3.65;66.82;241.17;349.33;3724.65;12.70;59.48;27.71;6.27;20.61;36.32;11.60;81.10;
71 (s);10.09;3.65;66.79;240.24;348.52;3724.79;12.69;59.46;27.67;6.28;20.60;36.33;11.60;80.99;
81 (s);10.08;3.65;66.80;240.59;347.39;3724.85;12.69;59.44;27.64;6.27;20.62;36.29;11.59;80.94;
91 (s);10.07;3.65;66.81;239.41;347.68;3725.03;12.67;59.45;27.61;6.28;20.63;36.33;11.58;80.93;
101 (s);10.06;3.65;66.79;235.58;341.85;3724.51;12.66;59.43;27.57;6.28;20.60;36.33;11.59;80.97;
111 (s);10.06;3.65;66.81;239.51;345.24;3724.87;12.65;59.39;27.54;6.27;20.62;36.26;11.56;80.96;
121 (s);10.06;3.65;66.79;237.92;344.06;3724.72;12.65;59.38;27.52;6.27;20.61;36.25;11.55;80.72;
131 (s);10.05;3.65;66.79;236.68;345.54;3725.19;12.64;59.36;27.49;6.27;20.61;36.25;11.53;80.78;
142 (s);10.04;3.65;66.78;238.27;347.07;3724.67;12.62;59.33;27.46;6.28;20.65;36.23;11.53;80.91;
152 (s);10.04;3.65;66.79;239.41;344.53;3724.78;12.62;59.30;27.43;6.29;20.60;36.27;11.54;80.85;
162 (s);10.02;3.65;66.79;239.65;347.23;3724.36;12.61;59.30;27.41;6.28;20.63;36.20;11.54;80.83;
172 (s);10.02;3.65;66.80;239.59;346.82;3724.62;12.61;59.28;27.38;6.27;20.64;36.20;11.53;80.93;
182 (s);10.01;3.65;66.79;239.36;346.77;3724.85;12.60;59.26;27.38;6.28;20.65;36.12;11.53;80.83;
192 (s);10.00;3.66;66.32;241.20;348.58;3724.11;12.58;59.25;27.34;6.29;20.66;36.15;11.52;80.81;
202 (s);10.00;3.65;65.31;240.77;349.92;3724.68;12.57;59.23;27.30;6.29;20.62;36.12;11.52;80.78;
212 (s);9.99;3.65;65.07;239.47;349.76;3724.39;12.57;59.23;27.28;6.28;20.66;36.11;11.50;80.70;
222 (s);9.99;3.65;65.09;236.81;344.32;3724.55;12.57;59.23;27.28;6.27;20.70;36.05;11.51;80.76;
233 (s);9.99;3.65;65.06;237.45;346.30;3725.38;12.56;59.22;27.27;6.28;20.67;36.06;11.49;80.74;
243 (s);9.98;3.65;64.58;238.79;347.96;3724.17;12.55;59.18;27.26;6.28;20.63;36.11;11.48;80.73;
253 (s);9.98;3.65;64.61;240.31;347.65;3723.92;12.54;59.18;27.26;6.27;20.66;36.06;11.47;80.69;
263 (s);9.97;3.65;63.64;240.05;349.33;3725.05;12.52;59.16;27.24;6.26;20.61;36.01;11.47;80.71;
273 (s);9.97;3.65;63.37;239.80;349.85;3724.04;12.52;59.15;27.22;6.27;20.63;36.02;11.47;80.75;
283 (s);9.96;3.65;63.39;240.68;346.98;3724.78;12.51;59.13;27.22;6.27;20.65;36.01;11.46;80.45;
293 (s);9.96;3.65;63.15;239.56;348.24;3724.76;12.51;59.11;27.21;6.27;20.66;35.98;11.45;80.74;
