Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.75;3.69;41.95;239.42;348.88;3002.67;12.59;58.45;26.87;6.54;20.66;35.54;11.66;64.18;
20 (s);9.72;3.69;40.04;238.21;349.57;3002.61;12.67;58.27;26.66;6.58;20.69;35.13;11.79;64.16;
30 (s);9.69;3.69;39.80;239.01;348.23;3002.77;12.73;58.13;26.53;6.60;20.72;35.08;11.85;64.08;
40 (s);9.69;3.70;39.78;239.38;348.84;3002.46;12.78;58.01;26.42;6.64;20.68;34.98;11.91;64.12;
50 (s);9.68;3.70;39.81;237.76;348.04;3002.87;12.83;57.92;26.41;6.66;20.72;34.95;11.95;64.05;
60 (s);9.67;3.70;39.80;237.03;349.24;3002.63;12.87;57.85;26.39;6.68;20.69;34.82;11.97;64.01;
70 (s);9.68;3.70;39.77;236.89;346.77;3002.53;12.91;57.76;26.34;6.69;20.70;34.81;11.99;64.05;
80 (s);9.68;3.71;40.76;237.48;348.19;3002.70;12.95;57.68;26.38;6.70;20.69;34.80;12.00;64.17;
90 (s);9.68;3.71;40.99;234.62;346.48;3002.80;12.97;57.59;26.34;6.71;20.69;34.78;12.01;64.08;
101 (s);9.67;3.71;41.93;236.70;347.82;3002.66;12.99;57.52;26.32;6.73;20.68;34.79;12.04;64.14;
111 (s);9.67;3.71;42.24;237.66;347.06;3002.69;13.00;57.46;26.34;6.72;20.69;34.71;12.06;64.09;
121 (s);9.67;3.71;42.22;237.14;346.48;3002.75;13.04;57.40;26.37;6.74;20.72;34.76;12.08;63.88;
131 (s);9.67;3.71;43.21;236.13;346.47;3002.75;13.07;57.35;26.35;6.75;20.71;34.66;12.11;64.14;
141 (s);9.67;3.71;43.43;236.88;346.12;3002.24;13.10;57.29;26.33;6.77;20.72;34.66;12.13;64.13;
151 (s);9.66;3.72;44.43;235.37;345.60;3002.46;13.12;57.24;26.36;6.79;20.71;34.71;12.15;64.14;
161 (s);9.67;3.72;44.41;238.04;348.09;3002.54;13.14;57.19;26.32;6.79;20.72;34.63;12.15;63.94;
171 (s);9.66;3.72;44.42;237.92;348.36;3002.62;13.16;57.15;26.32;6.82;20.73;34.63;12.18;63.98;
181 (s);9.66;3.72;44.65;238.39;347.20;3002.58;13.17;57.12;26.30;6.84;20.72;34.59;12.19;64.07;
192 (s);9.66;3.72;45.85;237.95;349.56;3002.90;13.20;57.09;26.28;6.82;20.73;34.58;12.22;64.04;
202 (s);9.67;3.72;45.86;237.66;348.21;3002.55;13.22;57.06;26.28;6.84;20.72;34.58;12.22;64.08;
212 (s);9.66;3.72;46.84;237.28;347.22;3002.29;13.24;57.01;26.28;6.84;20.76;34.59;12.23;64.00;
222 (s);9.66;3.73;47.11;238.20;347.68;3002.52;13.26;56.96;26.30;6.87;20.74;34.56;12.24;64.07;
232 (s);9.67;3.73;47.58;238.84;349.42;3002.53;13.28;56.92;26.23;6.86;20.74;34.53;12.27;64.09;
242 (s);9.66;3.73;48.33;238.56;346.67;3002.53;13.29;56.90;26.20;6.89;20.76;34.59;12.27;64.01;
252 (s);9.65;3.73;49.04;239.23;348.51;3002.77;13.31;56.86;26.15;6.92;20.75;34.54;12.29;64.09;
263 (s);9.65;3.73;49.76;238.08;350.20;3002.64;13.33;56.82;26.16;6.92;20.75;34.56;12.31;64.13;
273 (s);9.65;3.74;49.76;238.20;346.87;3002.57;13.35;56.80;26.15;6.94;20.73;34.51;12.31;64.12;
283 (s);9.65;3.74;50.72;239.05;350.00;3002.52;13.36;56.76;26.10;6.94;20.75;34.51;12.31;64.11;
293 (s);9.64;3.74;51.45;238.93;348.89;3002.49;13.38;56.73;26.09;6.96;20.73;34.50;12.33;64.03;
303 (s);9.64;3.74;51.43;237.98;348.28;3002.60;13.41;56.69;26.08;6.99;20.75;34.51;12.34;64.04;
313 (s);9.64;3.74;51.65;238.50;347.24;3002.78;13.43;56.67;26.02;7.00;20.76;34.48;12.35;64.08;
323 (s);9.64;3.74;52.59;239.40;350.62;3002.34;13.44;56.64;25.99;6.99;20.76;34.45;12.36;64.13;
333 (s);9.64;3.74;52.69;238.85;349.24;3002.56;13.44;56.61;25.95;7.00;20.76;34.45;12.37;64.05;
344 (s);9.63;3.75;52.71;238.78;350.58;3002.30;13.46;56.58;25.93;7.01;20.75;34.46;12.37;64.06;
354 (s);9.63;3.75;52.92;237.49;348.83;3002.45;13.47;56.55;25.90;7.02;20.77;34.42;12.39;64.06;
