Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.73;3.58;60.98;503.65;509.81;3691.47;12.24;52.44;22.52;5.68;20.40;28.81;12.11;73.87;
20 (s);8.71;3.59;61.95;504.42;508.14;3029.13;12.23;52.46;22.53;5.78;20.40;28.80;12.10;65.62;
30 (s);8.61;3.62;58.87;502.09;505.73;2844.99;12.29;52.28;22.54;6.03;20.42;28.65;12.13;59.03;
40 (s);8.56;3.64;48.11;502.32;504.64;2886.54;12.39;52.13;22.44;6.14;20.48;28.36;12.24;58.92;
50 (s);8.55;3.64;44.68;501.53;504.25;2886.59;12.48;52.01;22.27;6.19;20.52;28.24;12.35;58.89;
60 (s);8.54;3.65;42.48;503.57;507.45;2912.74;12.53;51.88;22.12;6.23;20.55;28.18;12.43;58.69;
70 (s);8.54;3.65;41.24;504.63;507.03;2900.15;12.56;51.78;22.05;6.26;20.56;28.16;12.49;58.73;
80 (s);8.54;3.65;41.26;503.28;507.62;2899.96;12.60;51.69;21.96;6.29;20.55;28.11;12.54;58.75;
90 (s);8.55;3.66;41.28;506.28;506.46;2900.01;12.62;51.63;21.94;6.30;20.55;28.09;12.58;58.75;
100 (s);8.55;3.66;41.01;504.74;505.52;2900.26;12.64;51.57;21.90;6.31;20.56;28.09;12.62;58.87;
111 (s);8.55;3.66;41.03;502.19;509.85;2900.23;12.66;51.49;21.84;6.30;20.54;28.05;12.65;58.82;
121 (s);8.55;3.66;41.02;503.83;508.71;2899.91;12.69;51.42;21.84;6.30;20.54;28.11;12.67;58.76;
131 (s);8.55;3.66;41.02;501.18;507.12;2900.15;12.71;51.38;21.81;6.30;20.52;28.04;12.69;58.79;
141 (s);8.55;3.66;41.26;504.36;508.11;2899.93;12.74;51.33;21.81;6.31;20.52;28.01;12.70;58.73;
151 (s);8.55;3.66;43.95;503.68;510.80;2900.06;12.77;51.30;21.85;6.35;20.53;27.99;12.71;58.73;
161 (s);8.55;3.66;44.69;503.26;510.29;2900.13;12.81;51.26;21.89;6.37;20.55;27.98;12.74;58.82;
171 (s);8.55;3.67;44.93;502.84;509.65;2900.17;12.83;51.22;21.92;6.38;20.60;27.99;12.75;58.64;
181 (s);8.55;3.67;44.92;500.61;506.73;2900.33;12.85;51.20;21.93;6.39;20.62;27.99;12.78;58.97;
191 (s);8.55;3.67;44.92;504.21;507.79;2900.27;12.88;51.18;21.91;6.42;20.61;28.02;12.80;58.72;
201 (s);8.55;3.67;44.92;502.59;507.22;2900.46;12.90;51.14;21.87;6.41;20.61;27.97;12.82;58.83;
211 (s);8.55;3.67;44.93;502.66;508.36;2900.14;12.92;51.11;21.87;6.41;20.63;27.99;12.84;58.82;
221 (s);8.55;3.67;44.92;501.27;508.41;2900.30;12.93;51.06;21.86;6.41;20.64;27.98;12.85;58.78;
231 (s);8.55;3.67;44.93;505.75;507.84;2900.03;12.94;51.01;21.85;6.41;20.64;27.99;12.87;58.67;
242 (s);8.55;3.67;44.91;506.50;507.33;2900.17;12.94;50.99;21.81;6.40;20.64;27.98;12.88;58.76;
252 (s);8.56;3.67;44.91;502.67;506.06;2900.02;12.96;50.96;21.82;6.40;20.63;27.98;12.89;58.89;
262 (s);8.56;3.67;46.11;508.09;514.14;2900.23;12.98;50.93;21.79;6.42;20.64;27.95;12.90;58.94;
272 (s);8.56;3.67;46.36;506.42;510.30;2900.05;12.99;50.90;21.79;6.40;20.64;27.96;12.91;58.91;
282 (s);8.55;3.67;49.06;504.63;508.42;2900.06;13.00;50.87;21.81;6.45;20.63;27.98;12.93;58.85;
292 (s);8.55;3.68;51.98;504.05;507.30;2900.07;13.04;50.87;21.84;6.48;20.64;27.95;12.95;58.84;
302 (s);8.55;3.68;52.22;503.54;510.05;2900.14;13.09;50.89;21.85;6.51;20.67;27.95;12.98;58.82;
312 (s);8.55;3.69;52.21;505.61;508.63;2899.88;13.14;50.91;21.91;6.53;20.66;27.98;12.99;58.77;
322 (s);8.55;3.69;52.21;504.90;507.32;2900.21;13.16;50.90;21.91;6.56;20.65;27.99;13.00;58.58;
332 (s);8.55;3.69;52.20;504.45;507.11;2900.18;13.16;50.86;21.90;6.57;20.65;27.96;13.00;58.77;
342 (s);8.55;3.69;52.22;502.65;506.26;2900.23;13.16;50.81;21.88;6.58;20.67;27.98;13.01;58.80;
352 (s);8.55;3.70;52.22;501.14;507.64;2900.15;13.17;50.79;21.89;6.61;20.70;27.99;13.02;58.74;
362 (s);8.55;3.69;52.23;501.52;507.44;2899.93;13.18;50.77;21.89;6.61;20.70;27.98;13.03;58.66;
372 (s);8.55;3.70;52.22;503.09;510.61;2900.02;13.19;50.76;21.86;6.61;20.70;27.98;13.03;58.74;
383 (s);8.55;3.70;52.22;506.04;507.53;2899.96;13.20;50.74;21.87;6.61;20.70;28.04;13.04;58.73;
393 (s);8.55;3.70;52.22;506.10;510.40;2899.84;13.20;50.72;21.83;6.62;20.69;27.97;13.05;58.67;
403 (s);8.54;3.70;52.22;504.00;508.01;2900.00;13.21;50.69;21.80;6.63;20.71;27.99;13.05;58.58;
413 (s);8.54;3.70;52.22;502.42;507.53;2899.83;13.22;50.65;21.78;6.64;20.75;28.03;13.05;58.68;
423 (s);8.55;3.70;52.21;500.46;506.92;2899.90;13.22;50.63;21.79;6.66;20.75;28.01;13.06;58.68;
433 (s);8.55;3.70;52.22;503.68;509.06;2899.93;13.23;50.60;21.78;6.66;20.73;28.01;13.07;58.75;
443 (s);8.54;3.70;52.23;504.79;506.67;2899.82;13.25;50.58;21.76;6.67;20.72;28.01;13.07;58.82;
453 (s);8.54;3.70;52.22;506.49;511.41;2899.83;13.26;50.57;21.72;6.67;20.71;28.03;13.08;58.73;
463 (s);8.54;3.70;52.23;504.29;509.76;2899.82;13.26;50.55;21.71;6.66;20.72;27.98;13.08;58.74;
473 (s);8.54;3.70;52.21;505.72;510.68;2900.19;13.25;50.54;21.71;6.68;20.75;28.00;13.07;58.75;
483 (s);8.55;3.70;52.21;505.34;509.49;2899.93;13.25;50.50;21.72;6.67;20.75;28.01;13.06;58.79;
494 (s);8.55;3.70;52.21;504.36;509.13;2900.15;13.24;50.46;21.68;6.67;20.75;28.00;13.07;58.81;
504 (s);8.55;3.70;52.22;504.30;510.92;2900.16;13.25;50.43;21.68;6.68;20.75;28.02;13.07;58.75;
514 (s);8.54;3.71;52.21;505.13;511.72;2900.08;13.27;50.42;21.68;6.70;20.75;28.03;13.07;58.66;
524 (s);8.54;3.71;52.21;503.88;509.99;2899.95;13.28;50.40;21.65;6.71;20.75;28.01;13.08;58.64;
534 (s);8.54;3.71;52.22;506.18;511.75;2899.90;13.29;50.39;21.68;6.71;20.75;28.02;13.08;58.82;
544 (s);8.54;3.71;52.22;503.66;507.27;2899.78;13.29;50.35;21.66;6.71;20.76;28.04;13.08;58.86;
554 (s);8.54;3.71;52.19;504.56;509.85;2899.94;13.29;50.33;21.67;6.72;20.77;28.03;13.09;58.58;
564 (s);8.54;3.71;52.22;504.15;509.27;2899.73;13.30;50.32;21.65;6.73;20.78;28.05;13.09;58.72;
574 (s);8.54;3.71;52.22;505.42;511.69;2899.89;13.31;50.31;21.66;6.74;20.81;28.03;13.09;58.85;
584 (s);8.55;3.71;52.21;504.38;508.22;2900.09;13.31;50.30;21.64;6.74;20.82;28.02;13.10;58.74;
594 (s);8.55;3.71;52.20;506.19;512.54;2899.98;13.31;50.28;21.65;6.75;20.82;28.06;13.11;58.65;
604 (s);8.55;3.71;52.21;507.35;510.95;2899.78;13.31;50.25;21.66;6.75;20.84;28.06;13.12;58.56;
614 (s);8.55;3.71;52.22;504.49;510.00;2899.99;13.31;50.24;21.65;6.76;20.88;28.06;13.12;58.74;
