Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.15;3.36;54.42;507.49;515.73;3503.49;10.54;48.58;20.22;3.85;18.27;26.24;10.44;71.45;
20 (s);8.15;3.36;54.42;504.52;512.54;3503.36;10.53;48.57;20.24;3.85;18.25;26.22;10.43;71.79;
30 (s);8.14;3.36;54.42;506.42;510.90;3503.11;10.52;48.59;20.23;3.84;18.23;26.21;10.43;71.25;
40 (s);8.14;3.36;54.45;507.23;512.58;3503.05;10.51;48.62;20.23;3.84;18.24;26.21;10.41;71.26;
50 (s);8.14;3.36;54.44;506.48;511.20;3503.17;10.50;48.60;20.23;3.83;18.25;26.20;10.41;71.49;
60 (s);8.14;3.36;54.43;506.54;511.47;3503.57;10.50;48.60;20.25;3.83;18.26;26.22;10.40;71.19;
70 (s);8.14;3.35;54.42;505.54;513.62;3503.87;10.50;48.61;20.26;3.81;18.26;26.19;10.39;71.62;
80 (s);8.14;3.35;54.43;504.85;508.29;3503.06;10.52;48.61;20.26;3.81;18.29;26.18;10.40;71.52;
90 (s);8.15;3.35;54.45;504.86;512.31;3503.65;10.54;48.67;20.25;3.81;18.33;26.19;10.40;71.15;
100 (s);8.15;3.35;54.42;505.52;511.32;3503.66;10.55;48.66;20.26;3.81;18.39;26.19;10.40;71.46;
111 (s);8.15;3.35;54.44;506.77;510.42;3503.13;10.54;48.68;20.24;3.81;18.40;26.23;10.41;71.35;
121 (s);8.16;3.36;54.41;502.59;510.16;3503.44;10.54;48.68;20.24;3.82;18.38;26.22;10.42;71.25;
131 (s);8.16;3.36;54.44;506.74;511.13;3502.88;10.54;48.71;20.24;3.84;18.36;26.26;10.43;71.23;
141 (s);8.16;3.36;54.43;506.99;509.39;3503.41;10.55;48.72;20.24;3.83;18.37;26.27;10.44;71.24;
151 (s);8.16;3.36;54.42;506.53;509.25;3503.14;10.55;48.75;20.25;3.83;18.38;26.24;10.43;71.45;
161 (s);8.16;3.36;54.41;509.87;514.86;3504.04;10.56;48.75;20.25;3.82;18.39;26.25;10.44;71.58;
171 (s);8.16;3.36;54.45;508.76;513.40;3503.31;10.56;48.74;20.26;3.84;18.37;26.25;10.45;71.34;
181 (s);8.16;3.36;54.41;507.98;514.51;3503.53;10.56;48.77;20.25;3.84;18.34;26.30;10.45;71.27;
191 (s);8.16;3.36;54.41;506.12;512.35;3503.67;10.57;48.80;20.24;3.84;18.33;26.25;10.45;71.31;
201 (s);8.16;3.36;54.43;504.47;509.33;3503.39;10.57;48.82;20.28;3.83;18.33;26.24;10.45;71.35;
211 (s);8.16;3.35;54.43;505.39;511.94;3503.24;10.57;48.83;20.25;3.82;18.30;26.25;10.44;71.54;
221 (s);8.16;3.35;54.41;505.39;512.81;3503.53;10.57;48.86;20.25;3.82;18.29;26.28;10.43;71.31;
231 (s);8.16;3.35;54.41;506.39;512.82;3503.60;10.56;48.87;20.24;3.82;18.31;26.26;10.42;71.39;
241 (s);8.16;3.35;54.44;506.82;541.25;3503.35;10.56;48.89;20.25;3.81;18.33;26.27;10.42;71.33;
251 (s);8.17;3.38;52.52;501.54;699.67;3503.15;10.56;48.91;20.25;4.00;18.35;26.26;10.58;71.69;
261 (s);8.18;3.39;44.82;502.88;702.97;3503.19;10.58;48.91;20.17;4.10;18.36;26.30;10.97;71.74;
272 (s);8.20;3.39;41.49;500.62;704.93;3503.39;10.61;48.94;20.02;4.15;18.35;26.33;11.24;71.98;
282 (s);8.21;3.40;40.53;501.79;703.05;3503.69;10.65;48.96;19.89;4.22;18.37;26.38;11.40;71.77;
292 (s);8.23;3.41;40.55;502.50;711.87;3503.84;10.68;48.97;19.88;4.25;18.40;26.35;11.51;71.98;
302 (s);8.25;3.41;40.06;502.79;706.93;3503.91;10.73;49.05;19.85;4.27;18.44;26.38;11.60;71.74;
312 (s);8.26;3.41;40.07;501.01;709.02;3503.77;10.77;49.07;19.82;4.30;18.45;26.44;11.68;71.97;
