Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.21;4.43;46.10;301.93;509.76;2715.50;17.65;61.91;32.11;11.97;26.66;39.47;19.22;66.65;
10 (s);11.20;4.43;46.11;302.73;515.99;2715.15;17.69;61.83;32.11;11.97;26.66;39.44;19.25;66.64;
15 (s);11.19;4.43;46.10;303.09;512.00;2715.50;17.70;61.77;32.10;11.98;26.67;39.39;19.27;66.68;
20 (s);11.20;4.43;46.11;300.54;510.29;2715.33;17.71;61.71;32.07;11.98;26.68;39.38;19.28;66.79;
25 (s);11.19;4.43;46.10;302.92;515.06;2715.14;17.72;61.66;32.09;11.97;26.70;39.38;19.30;66.57;
30 (s);11.19;4.43;46.11;299.67;510.82;2715.38;17.73;61.61;32.06;11.98;26.70;39.35;19.31;66.58;
35 (s);11.19;4.43;46.11;302.99;512.47;2715.42;17.74;61.57;32.03;11.99;26.70;39.33;19.33;66.53;
40 (s);11.19;4.43;46.34;302.23;512.39;2715.42;17.75;61.54;32.05;12.00;26.70;39.33;19.35;66.61;
45 (s);11.18;4.43;46.35;299.27;511.88;2715.08;17.76;61.51;32.01;11.99;26.71;39.31;19.38;66.58;
51 (s);11.19;4.43;47.09;303.86;513.46;2715.23;17.78;61.48;32.00;12.01;26.72;39.26;19.39;66.61;
56 (s);11.18;4.43;47.58;302.06;512.42;2715.33;17.82;61.43;32.06;12.03;26.74;39.25;19.42;66.50;
61 (s);11.19;4.43;47.58;300.64;511.34;2715.45;17.85;61.39;32.01;12.03;26.76;39.22;19.45;66.56;
66 (s);11.19;4.44;47.59;300.91;514.36;2715.16;17.89;61.35;32.00;12.04;26.77;39.24;19.47;66.56;
71 (s);11.18;4.43;47.57;301.06;511.32;2715.47;17.92;61.31;32.01;12.03;26.78;39.23;19.50;66.61;
76 (s);11.19;4.43;47.56;301.76;509.62;2715.25;17.96;61.25;32.01;12.03;26.78;39.19;19.53;66.60;
81 (s);11.19;4.44;48.80;302.41;513.13;2715.34;17.97;61.22;32.00;12.04;26.78;39.22;19.54;66.63;
86 (s);11.18;4.44;49.06;301.42;509.39;2715.36;17.98;61.20;32.02;12.07;26.78;39.21;19.55;66.60;
91 (s);11.19;4.44;50.02;300.61;512.61;2715.29;17.99;61.18;32.01;12.08;26.78;39.19;19.57;66.53;
96 (s);11.19;4.44;50.00;300.94;510.43;2715.22;17.99;61.14;32.00;12.09;26.78;39.19;19.57;66.48;
101 (s);11.18;4.44;50.48;303.59;511.72;2715.33;18.00;61.13;32.00;12.08;26.79;39.20;19.58;66.71;
106 (s);11.18;4.44;50.72;302.03;511.83;2715.39;18.01;61.11;31.97;12.09;26.79;39.17;19.59;66.67;
112 (s);11.18;4.44;51.70;300.22;511.64;2715.46;18.01;61.09;31.97;12.10;26.79;39.19;19.60;66.58;
117 (s);11.18;4.45;51.94;300.85;514.99;2715.25;18.02;61.09;31.99;12.11;26.78;39.17;19.61;66.60;
122 (s);11.18;4.45;53.42;301.88;511.60;2715.17;18.03;61.07;32.02;12.14;26.78;39.12;19.62;66.69;
127 (s);11.18;4.45;53.42;302.09;511.83;2715.33;18.05;61.05;32.00;12.14;26.79;39.17;19.64;66.66;
132 (s);11.18;4.45;54.11;301.60;511.95;2715.17;18.07;61.02;32.01;12.15;26.80;39.16;19.65;66.50;
137 (s);11.17;4.45;54.41;303.86;514.62;2715.23;18.10;61.00;31.99;12.16;26.79;39.14;19.66;66.64;
142 (s);11.17;4.46;54.40;301.44;513.41;2715.18;18.14;60.96;31.97;12.18;26.80;39.12;19.69;66.58;
147 (s);11.17;4.46;54.41;301.89;510.36;2715.20;18.17;60.95;31.99;12.18;26.83;39.11;19.69;66.62;
152 (s);11.17;4.46;54.88;302.53;510.93;2715.25;18.19;60.93;31.97;12.19;26.85;39.11;19.70;66.45;
157 (s);11.18;4.46;55.11;301.88;510.79;2715.15;18.20;60.92;31.93;12.21;26.87;39.11;19.71;66.61;
162 (s);11.18;4.46;55.85;300.14;515.91;2715.30;18.20;60.91;31.94;12.22;26.87;39.13;19.71;66.69;
167 (s);11.17;4.46;56.34;300.65;514.31;2715.41;18.21;60.90;31.94;12.22;26.86;39.15;19.71;66.62;
172 (s);11.17;4.46;56.33;302.52;511.99;2715.14;18.21;60.89;31.91;12.23;26.87;39.10;19.72;66.60;
177 (s);11.17;4.47;56.34;302.61;511.17;2715.31;18.22;60.89;31.88;12.25;26.87;39.10;19.72;66.66;
183 (s);11.17;4.47;56.34;301.67;511.29;2715.09;18.22;60.88;31.87;12.25;26.86;39.12;19.74;66.61;
188 (s);11.18;4.47;56.58;300.58;513.05;2715.37;18.23;60.86;31.86;12.27;26.85;39.12;19.75;66.71;
193 (s);11.17;4.47;56.83;302.94;513.64;2715.27;18.25;60.84;31.86;12.26;26.85;39.14;19.75;66.54;
198 (s);11.17;4.47;57.32;301.97;515.12;2715.31;18.27;60.81;31.84;12.28;26.85;39.13;19.76;66.58;
203 (s);11.17;4.47;57.80;303.22;512.96;2715.22;18.29;60.80;31.82;12.29;26.84;39.10;19.76;66.68;
208 (s);11.17;4.47;57.79;302.34;513.96;2715.37;18.30;60.78;31.80;12.28;26.85;39.10;19.77;66.68;
213 (s);11.17;4.47;57.81;301.99;514.13;2715.25;18.31;60.78;31.80;12.30;26.85;39.13;19.78;66.62;
218 (s);11.17;4.48;58.31;299.99;513.64;2715.36;18.31;60.77;31.79;12.32;26.87;39.10;19.77;66.62;
223 (s);11.17;4.48;58.29;302.69;511.71;2715.33;18.32;60.76;31.77;12.33;26.88;39.07;19.78;66.61;
228 (s);11.17;4.48;58.30;302.10;512.42;2715.22;18.32;60.75;31.75;12.35;26.89;39.08;19.78;66.62;
233 (s);11.17;4.48;58.53;303.26;514.81;2715.15;18.33;60.73;31.71;12.35;26.91;39.08;19.79;66.61;
238 (s);11.17;4.48;59.49;302.58;514.54;2715.18;18.33;60.73;31.69;12.36;26.91;39.10;19.81;66.79;
243 (s);11.17;4.48;59.51;303.47;512.63;2715.00;18.34;60.72;31.67;12.36;26.91;39.07;19.82;66.76;
249 (s);11.16;4.48;59.50;301.53;516.11;2715.16;18.35;60.71;31.66;12.37;26.91;39.08;19.83;66.73;
254 (s);11.16;4.49;59.74;302.41;511.44;2715.32;18.36;60.71;31.65;12.39;26.91;39.08;19.83;66.55;
259 (s);11.17;4.49;60.09;302.98;511.76;2715.16;18.37;60.69;31.64;12.41;26.91;39.07;19.84;66.55;
264 (s);11.16;4.49;60.22;300.12;513.07;2715.27;18.37;60.68;31.62;12.42;26.91;39.12;19.84;66.57;
269 (s);11.16;4.49;60.21;299.89;513.29;2715.01;18.38;60.68;31.61;12.43;26.92;39.11;19.84;66.51;
274 (s);11.16;4.49;60.72;301.32;510.57;2715.11;18.39;60.65;31.59;12.44;26.93;39.08;19.84;66.62;
279 (s);11.16;4.49;60.75;302.82;515.89;2715.28;18.41;60.64;31.58;12.42;26.95;39.08;19.86;66.49;
284 (s);11.16;4.50;60.95;301.45;511.31;2715.29;18.42;60.63;31.57;12.46;26.95;39.11;19.85;66.81;
289 (s);11.16;4.50;61.20;302.51;513.32;2715.34;18.43;60.62;31.57;12.47;26.95;39.11;19.86;66.76;
294 (s);11.16;4.50;61.20;299.99;510.04;2715.10;18.44;60.60;31.56;12.47;26.95;39.13;19.86;66.59;
299 (s);11.16;4.50;61.21;301.34;513.59;2715.27;18.44;60.60;31.53;12.47;26.95;39.11;19.85;66.63;
304 (s);11.16;4.50;61.20;300.89;511.28;2715.08;18.45;60.60;31.50;12.49;26.95;39.10;19.85;66.76;
309 (s);11.16;4.50;61.21;302.53;514.60;2715.20;18.45;60.59;31.49;12.49;26.95;39.12;19.86;66.58;
314 (s);11.16;4.50;61.44;300.41;512.20;2715.13;18.46;60.58;31.49;12.49;26.93;39.11;19.86;66.63;
320 (s);11.16;4.51;61.45;300.43;513.58;2715.23;18.46;60.57;31.47;12.51;26.92;39.12;19.86;66.61;
325 (s);11.16;4.50;61.44;301.69;512.18;2715.28;18.46;60.56;31.45;12.50;26.92;39.12;19.87;66.55;
330 (s);11.16;4.51;61.44;302.20;510.98;2715.31;18.47;60.56;31.42;12.51;26.92;39.12;19.88;66.63;
335 (s);11.16;4.51;61.45;301.89;510.55;2715.15;18.47;60.55;31.41;12.53;26.92;39.12;19.86;66.69;
340 (s);11.15;4.51;61.44;301.47;514.06;2715.32;18.47;60.53;31.40;12.52;26.94;39.12;19.86;66.59;
345 (s);11.15;4.51;61.46;301.78;512.66;2715.29;18.47;60.51;31.40;12.53;26.95;39.13;19.86;66.54;
350 (s);11.15;4.51;61.93;302.76;514.25;2715.12;18.48;60.50;31.37;12.53;26.95;39.10;19.86;66.59;
355 (s);11.15;4.51;61.93;302.09;514.73;2715.27;18.49;60.50;31.36;12.55;26.95;39.12;19.86;66.49;
360 (s);11.15;4.51;62.19;302.22;512.15;2715.27;18.49;60.48;31.36;12.56;26.96;39.11;19.87;66.67;
365 (s);11.15;4.51;62.42;302.76;513.58;2715.24;18.50;60.48;31.35;12.56;26.96;39.10;19.88;66.62;
370 (s);11.15;4.51;62.41;304.78;515.37;2715.29;18.51;60.47;31.32;12.55;26.98;39.11;19.89;66.64;
375 (s);11.15;4.51;62.42;301.83;514.26;2715.23;18.51;60.46;31.31;12.56;26.98;39.13;19.89;66.63;
381 (s);11.15;4.51;62.41;301.37;513.07;2715.30;18.52;60.45;31.30;12.57;26.99;39.11;19.89;66.74;
386 (s);11.15;4.51;62.42;301.88;510.65;2715.19;18.52;60.45;31.31;12.57;27.00;39.13;19.91;66.59;
391 (s);11.15;4.52;62.66;301.72;514.09;2715.12;18.53;60.45;31.29;12.59;27.00;39.14;19.92;66.54;
396 (s);11.15;4.52;62.66;300.90;515.39;2715.26;18.53;60.44;31.29;12.59;27.01;39.12;19.93;66.73;
401 (s);11.15;4.52;62.67;299.77;513.98;2715.09;18.54;60.43;31.28;12.61;27.01;39.12;19.93;66.71;
406 (s);11.14;4.52;62.66;301.35;511.55;2715.13;18.53;60.41;31.26;12.61;27.01;39.15;19.93;66.60;
411 (s);11.15;4.52;62.67;300.95;513.31;2715.26;18.54;60.40;31.25;12.60;27.03;39.13;19.93;66.65;
416 (s);11.15;4.52;62.66;301.65;513.39;2715.09;18.54;60.40;31.25;12.62;27.05;39.16;19.93;66.81;
421 (s);11.14;4.52;62.68;302.89;511.63;2715.33;18.55;60.39;31.26;12.63;27.05;39.19;19.93;66.66;
427 (s);11.15;4.52;62.67;302.08;514.93;2715.23;18.55;60.39;31.25;12.64;27.04;39.14;19.93;66.59;
432 (s);11.15;4.53;62.66;301.24;511.32;2715.11;18.56;60.38;31.23;12.65;27.03;39.13;19.93;66.57;
437 (s);11.15;4.53;62.68;302.64;513.55;2715.06;18.56;60.36;31.22;12.66;27.03;39.19;19.94;66.68;
442 (s);11.15;4.53;62.67;300.89;513.48;2715.19;18.56;60.36;31.22;12.68;27.05;39.16;19.94;66.58;
447 (s);11.14;4.53;62.67;300.49;512.14;2715.23;18.57;60.35;31.21;12.67;27.05;39.15;19.95;66.56;
452 (s);11.14;4.53;62.68;301.38;515.13;2715.07;18.58;60.34;31.21;12.67;27.06;39.14;19.96;66.49;
457 (s);11.15;4.53;62.91;301.72;513.62;2715.37;18.60;60.32;31.21;12.68;27.07;39.14;19.97;66.59;
462 (s);11.14;4.53;62.91;303.09;513.12;2715.11;18.63;60.29;31.22;12.70;27.07;39.16;19.99;66.55;
467 (s);11.15;4.53;62.91;304.59;515.97;2715.14;18.65;60.27;31.22;12.70;27.08;39.16;20.00;66.56;
472 (s);11.15;4.54;62.92;300.70;515.77;2715.22;18.66;60.26;31.21;12.71;27.07;39.15;20.00;66.72;
477 (s);11.14;4.54;62.92;302.73;514.75;2715.32;18.65;60.25;31.23;12.72;27.07;39.16;20.00;66.80;
482 (s);11.14;4.54;62.91;301.23;513.44;2715.24;18.65;60.25;31.23;12.72;27.06;39.17;20.00;66.64;
487 (s);11.14;4.54;62.91;302.59;513.20;2715.16;18.64;60.25;31.23;12.73;27.06;39.15;20.00;66.68;
492 (s);11.14;4.54;62.93;301.75;511.74;2715.17;18.64;60.25;31.23;12.74;27.06;39.17;20.01;66.60;
498 (s);11.15;4.54;62.90;300.32;512.28;2715.17;18.63;60.24;31.23;12.74;27.07;39.16;20.00;66.53;
503 (s);11.14;4.54;62.90;302.98;513.79;2715.12;18.63;60.24;31.23;12.74;27.08;39.21;20.00;66.53;
508 (s);11.14;4.55;62.92;301.42;512.00;2714.94;18.63;60.22;31.21;12.78;27.08;39.19;20.00;66.56;
513 (s);11.14;4.54;62.91;301.16;512.55;2715.19;18.63;60.21;31.22;12.75;27.09;39.22;20.00;66.62;
518 (s);11.14;4.54;62.91;302.47;514.28;2715.10;18.63;60.19;31.22;12.74;27.08;39.21;20.00;66.59;
523 (s);11.14;4.54;62.90;303.76;510.63;2715.31;18.64;60.18;31.23;12.76;27.08;39.19;20.00;66.63;
528 (s);11.14;4.55;62.92;303.53;514.27;2715.30;18.64;60.17;31.24;12.78;27.08;39.22;20.00;66.58;
533 (s);11.14;4.55;62.91;301.03;512.42;2715.25;18.65;60.16;31.25;12.78;27.09;39.23;19.99;66.54;
538 (s);11.14;4.55;62.92;302.09;515.83;2715.05;18.66;60.16;31.24;12.80;27.09;39.23;20.00;66.68;
543 (s);11.14;4.55;62.92;302.92;515.30;2715.15;18.66;60.16;31.24;12.80;27.09;39.23;19.99;66.78;
548 (s);11.14;4.55;62.90;301.53;512.49;2715.25;18.67;60.15;31.25;12.80;27.10;39.23;19.98;66.67;
553 (s);11.14;4.55;62.90;300.14;515.13;2715.23;18.66;60.15;31.25;12.80;27.12;39.21;19.99;66.72;
558 (s);11.14;4.55;62.90;298.72;512.33;2715.25;18.66;60.15;31.26;12.81;27.12;39.24;20.00;66.77;
563 (s);11.14;4.55;62.93;300.36;514.51;2715.20;18.66;60.15;31.25;12.81;27.12;39.24;20.00;66.69;
569 (s);11.14;4.55;62.92;304.35;514.91;2715.24;18.67;60.14;31.27;12.83;27.12;39.22;20.00;66.67;
574 (s);11.14;4.55;62.92;301.43;510.80;2715.34;18.69;60.11;31.28;12.84;27.13;39.21;20.01;66.68;
579 (s);11.14;4.55;62.92;300.24;513.77;2715.27;18.70;60.09;31.27;12.82;27.13;39.22;20.03;66.60;
584 (s);11.14;4.55;62.91;299.90;513.64;2715.29;18.70;60.07;31.29;12.84;27.14;39.24;20.02;66.68;
589 (s);11.14;4.56;62.92;300.55;514.22;2715.20;18.71;60.06;31.29;12.85;27.15;39.22;20.01;66.63;
594 (s);11.14;4.56;62.89;301.25;514.81;2715.29;18.72;60.05;31.30;12.86;27.16;39.20;20.02;66.58;
599 (s);11.14;4.56;62.91;300.58;511.38;2715.10;18.74;60.04;31.31;12.87;27.17;39.21;20.04;66.56;
604 (s);11.14;4.56;62.92;302.37;512.65;2715.12;18.76;60.03;31.31;12.88;27.17;39.22;20.05;66.59;
609 (s);11.14;4.56;62.93;299.02;511.84;2715.37;18.77;60.02;31.32;12.88;27.17;39.25;20.06;66.67;
614 (s);11.14;4.56;62.92;301.60;511.59;2715.36;18.78;60.01;31.32;12.89;27.17;39.26;20.06;66.62;
619 (s);11.15;4.56;62.92;301.32;506.06;2715.21;18.77;60.00;31.33;12.90;27.16;39.27;20.06;66.61;
624 (s);11.15;4.56;62.92;302.39;501.48;2715.26;18.76;60.00;31.33;12.91;27.16;39.26;20.06;66.68;
