Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);12.03;4.12;60.46;168.80;331.69;3547.92;15.11;63.13;37.18;9.84;25.26;43.80;15.59;87.91;
10 (s);12.03;4.12;60.44;168.76;332.69;3548.10;15.11;63.14;37.20;9.80;25.26;43.81;15.60;88.29;
15 (s);12.03;4.12;60.46;168.71;332.68;3547.84;15.11;63.13;37.17;9.81;25.27;43.82;15.61;88.02;
20 (s);12.03;4.12;60.46;168.70;334.41;3547.94;15.13;63.12;37.19;9.83;25.28;43.81;15.62;88.07;
25 (s);12.03;4.12;60.45;168.74;333.11;3547.90;15.16;63.13;37.20;9.81;25.29;43.82;15.64;88.20;
31 (s);12.03;4.12;60.44;168.73;333.73;3548.03;15.18;63.14;37.23;9.81;25.29;43.87;15.64;88.29;
36 (s);12.03;4.12;60.45;169.43;332.36;3548.13;15.19;63.16;37.25;9.83;25.30;43.87;15.63;88.08;
41 (s);12.03;4.12;60.46;168.08;333.97;3548.05;15.18;63.18;37.26;9.83;25.30;43.82;15.65;88.17;
46 (s);12.03;4.12;60.46;167.74;330.20;3548.02;15.18;63.20;37.23;9.84;25.30;43.85;15.64;88.14;
51 (s);12.03;4.12;60.44;169.37;333.15;3548.36;15.17;63.21;37.22;9.84;25.30;43.84;15.64;88.06;
56 (s);12.04;4.12;60.46;170.05;334.86;3548.11;15.16;63.22;37.22;9.84;25.30;43.82;15.67;88.31;
61 (s);12.04;4.12;60.46;169.59;334.85;3547.86;15.16;63.24;37.22;9.84;25.31;43.81;15.68;88.04;
66 (s);12.04;4.12;60.46;169.73;332.14;3548.18;15.17;63.25;37.21;9.85;25.31;43.82;15.69;88.36;
71 (s);12.04;4.12;60.46;169.92;331.32;3548.24;15.19;63.23;37.23;9.84;25.32;43.85;15.69;88.10;
76 (s);12.04;4.12;60.46;169.04;335.25;3548.23;15.21;63.23;37.24;9.85;25.34;43.86;15.70;88.14;
81 (s);12.05;4.13;60.45;172.00;333.66;3548.02;15.22;63.23;37.27;9.86;25.35;43.84;15.67;88.27;
86 (s);12.05;4.12;60.45;169.81;334.60;3548.11;15.22;63.24;37.26;9.85;25.35;43.86;15.66;88.04;
91 (s);12.05;4.13;60.45;170.20;335.35;3548.08;15.22;63.22;37.27;9.86;25.35;43.89;15.66;88.22;
97 (s);12.05;4.13;60.45;170.49;336.56;3548.02;15.22;63.24;37.28;9.87;25.35;43.90;15.66;88.13;
102 (s);12.05;4.13;60.45;168.98;331.78;3548.04;15.21;63.25;37.28;9.86;25.35;43.88;15.66;88.16;
107 (s);12.05;4.13;60.45;169.85;334.26;3548.45;15.21;63.25;37.28;9.87;25.35;43.92;15.64;88.32;
112 (s);12.05;4.13;60.46;169.56;335.32;3548.11;15.21;63.26;37.31;9.88;25.35;43.85;15.64;88.11;
117 (s);12.05;4.13;60.44;168.78;331.14;3547.94;15.21;63.27;37.29;9.88;25.34;43.85;15.66;88.36;
122 (s);12.06;4.13;60.46;170.69;330.80;3547.93;15.21;63.28;37.31;9.89;25.33;43.88;15.67;88.14;
127 (s);12.06;4.13;60.45;170.73;336.99;3548.18;15.21;63.30;37.31;9.89;25.33;43.88;15.68;88.33;
132 (s);12.06;4.13;60.46;169.44;329.54;3548.04;15.22;63.30;37.32;9.88;25.34;43.90;15.68;88.15;
137 (s);12.06;4.13;60.45;169.69;333.53;3548.13;15.22;63.32;37.32;9.87;25.35;43.87;15.68;88.26;
142 (s);12.06;4.13;60.46;168.93;332.14;3548.19;15.22;63.34;37.31;9.89;25.35;43.88;15.68;88.20;
147 (s);12.06;4.13;60.45;169.69;332.71;3548.29;15.21;63.34;37.28;9.89;25.35;43.97;15.69;88.20;
152 (s);12.07;4.14;60.47;168.16;330.30;3548.27;15.21;63.35;37.30;9.97;25.35;43.94;15.70;88.34;
157 (s);12.07;4.13;60.45;170.03;334.49;3548.11;15.23;63.37;37.31;9.90;25.36;43.93;15.71;88.33;
162 (s);12.06;4.13;60.45;168.74;332.21;3548.19;15.23;63.37;37.35;9.92;25.36;43.96;15.72;88.23;
167 (s);12.07;4.13;60.45;170.76;335.97;3548.12;15.23;63.39;37.33;9.91;25.37;43.92;15.73;88.20;
173 (s);12.07;4.13;60.45;169.02;331.12;3548.28;15.23;63.41;37.32;9.90;25.37;43.90;15.73;88.28;
178 (s);12.07;4.13;60.45;168.97;334.77;3548.30;15.24;63.41;37.33;9.91;25.37;43.89;15.73;88.32;
183 (s);12.07;4.13;60.45;169.58;331.70;3548.22;15.24;63.41;37.32;9.90;25.38;43.92;15.71;88.32;
188 (s);12.08;4.13;60.44;167.65;335.05;3548.16;15.23;63.43;37.36;9.90;25.38;43.95;15.70;88.20;
193 (s);12.08;4.13;60.45;169.94;333.42;3547.97;15.23;63.43;37.37;9.90;25.38;43.94;15.70;88.37;
198 (s);12.08;4.13;60.45;168.58;335.11;3548.04;15.22;63.43;37.38;9.92;25.39;43.96;15.69;88.22;
203 (s);12.08;4.13;60.70;169.87;335.74;3548.28;15.22;63.44;37.38;9.92;25.38;44.00;15.70;88.52;
208 (s);12.08;4.13;60.46;167.92;332.11;3547.99;15.21;63.46;37.37;9.90;25.38;43.98;15.69;88.12;
213 (s);12.08;4.13;60.46;168.63;333.66;3548.03;15.22;63.47;37.35;9.90;25.37;43.95;15.70;88.49;
218 (s);12.08;4.13;60.94;169.20;331.46;3548.24;15.21;63.48;37.36;9.91;25.37;44.00;15.68;88.12;
223 (s);12.08;4.13;61.19;168.74;335.07;3548.02;15.21;63.50;37.35;9.91;25.38;43.98;15.69;88.34;
228 (s);12.08;4.13;61.19;169.59;334.65;3548.30;15.21;63.50;37.38;9.92;25.38;43.99;15.69;88.23;
233 (s);12.08;4.13;61.19;168.71;328.53;3548.08;15.22;63.48;37.37;9.90;25.37;43.98;15.70;88.37;
238 (s);12.09;4.13;61.20;168.33;331.83;3548.21;15.22;63.47;37.39;9.91;25.37;43.99;15.71;88.34;
243 (s);12.09;4.13;61.19;169.63;335.41;3547.92;15.24;63.50;37.38;9.92;25.39;44.00;15.71;88.37;
249 (s);12.08;4.13;61.20;169.80;334.95;3548.15;15.25;63.52;37.42;9.93;25.41;44.01;15.71;88.39;
254 (s);12.09;4.13;61.20;169.45;334.18;3548.19;15.26;63.55;37.44;9.93;25.43;44.00;15.70;88.16;
259 (s);12.09;4.14;61.19;169.59;334.01;3548.31;15.27;63.52;37.40;9.94;25.43;43.99;15.71;88.38;
264 (s);12.09;4.14;61.19;168.79;329.42;3548.04;15.27;63.52;37.39;9.98;25.43;44.00;15.71;88.44;
269 (s);12.09;4.14;61.20;169.80;333.28;3548.11;15.27;63.54;37.37;9.93;25.42;44.00;15.72;88.31;
274 (s);12.09;4.14;61.19;167.93;331.67;3548.15;15.28;63.55;37.40;9.93;25.42;44.03;15.73;88.47;
279 (s);12.09;4.14;61.20;169.56;335.82;3548.44;15.29;63.55;37.39;9.95;25.41;44.00;15.74;88.35;
284 (s);12.10;4.14;61.18;168.71;333.66;3548.06;15.29;63.57;37.40;9.96;25.42;43.92;15.72;88.45;
289 (s);12.10;4.14;61.19;169.23;333.36;3548.27;15.28;63.58;37.43;9.94;25.42;43.93;15.72;88.28;
294 (s);12.10;4.14;61.19;171.23;334.93;3548.28;15.27;63.57;37.45;9.94;25.42;44.01;15.72;88.23;
299 (s);12.10;4.14;61.19;169.67;332.60;3548.09;15.27;63.58;37.44;9.94;25.43;44.06;15.71;88.46;
304 (s);12.10;4.14;61.19;171.60;332.05;3548.44;15.28;63.60;37.46;9.95;25.43;44.08;15.72;88.27;
309 (s);12.10;4.14;60.93;169.38;333.53;3548.26;15.29;63.62;37.47;9.98;25.44;44.08;15.72;88.43;
314 (s);12.10;4.14;61.19;169.61;331.69;3548.24;15.30;63.61;37.45;9.95;25.45;44.02;15.74;88.38;
319 (s);12.10;4.14;61.19;168.99;332.79;3548.29;15.31;63.62;37.46;9.96;25.45;43.99;15.74;88.35;
324 (s);12.11;4.14;61.19;168.62;334.39;3548.27;15.31;63.62;37.47;9.97;25.46;43.99;15.74;88.44;
329 (s);12.10;4.14;61.20;173.86;333.89;3548.19;15.31;63.63;37.48;9.96;25.46;44.03;15.74;88.29;
335 (s);12.11;4.14;61.18;169.02;329.78;3548.14;15.31;63.65;37.48;9.99;25.46;44.03;15.73;88.44;
340 (s);12.11;4.14;61.20;169.69;331.62;3548.13;15.29;63.65;37.48;9.97;25.46;44.08;15.72;88.32;
345 (s);12.10;4.14;61.19;171.20;333.25;3547.94;15.30;63.66;37.47;9.96;25.45;44.11;15.70;88.60;
350 (s);12.10;4.14;60.96;169.17;332.95;3548.04;15.30;63.67;37.47;9.99;25.45;44.12;15.71;88.39;
355 (s);12.11;4.14;61.19;169.88;334.61;3548.35;15.31;63.68;37.47;9.99;25.45;44.06;15.71;88.53;
360 (s);12.11;4.14;61.19;168.13;331.60;3548.27;15.32;63.69;37.48;9.97;25.46;44.06;15.71;88.20;
365 (s);12.11;4.14;61.20;168.59;334.93;3548.24;15.33;63.68;37.48;9.99;25.47;44.12;15.70;88.64;
370 (s);12.11;4.14;61.09;167.83;335.50;3548.39;15.33;63.70;37.47;9.97;25.48;44.14;15.71;88.25;
375 (s);12.11;4.14;61.20;168.19;329.85;3548.23;15.33;63.70;37.48;9.97;25.49;44.05;15.72;88.61;
380 (s);12.11;4.14;61.20;168.38;335.35;3548.46;15.33;63.69;37.48;9.98;25.49;44.09;15.74;88.43;
385 (s);12.11;4.14;61.20;169.12;336.20;3548.28;15.33;63.70;37.48;9.99;25.49;44.11;15.74;88.65;
390 (s);12.11;4.15;61.20;168.68;330.67;3548.37;15.34;63.71;37.51;10.00;25.49;44.06;15.74;88.38;
