Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.16;4.02;55.60;170.18;331.24;3359.72;14.62;46.99;34.91;9.08;23.91;40.78;15.02;80.25;
10 (s);11.16;4.02;55.60;170.22;329.76;3359.82;14.61;47.04;34.90;9.08;23.91;40.74;15.02;78.98;
15 (s);11.16;4.02;55.58;171.47;331.38;3359.71;14.61;47.06;34.94;9.07;23.92;40.79;15.03;79.53;
20 (s);11.17;4.02;55.58;169.52;331.58;3359.72;14.61;47.09;34.91;9.07;23.93;40.82;15.03;81.45;
25 (s);11.17;4.01;55.59;169.54;329.87;3359.64;14.61;47.12;34.89;9.05;23.94;40.82;15.03;79.65;
30 (s);11.17;4.02;55.59;170.11;331.43;3359.79;14.60;47.17;34.91;9.05;23.94;40.80;15.03;79.19;
35 (s);11.17;4.01;55.59;169.07;330.21;3359.68;14.60;47.20;34.91;9.05;23.94;40.83;15.02;81.42;
40 (s);11.17;4.02;55.60;169.70;331.28;3359.86;14.60;47.24;34.87;9.06;23.94;40.86;15.03;79.67;
46 (s);11.17;4.02;55.60;169.53;331.54;3360.00;14.60;47.28;34.87;9.05;23.93;40.78;15.02;80.55;
51 (s);11.18;4.01;55.59;167.73;327.53;3359.97;14.60;47.32;34.88;9.04;23.93;40.81;15.00;79.94;
56 (s);11.18;4.02;55.61;169.06;332.17;3359.78;14.60;47.37;34.94;9.06;23.93;40.84;14.96;79.96;
61 (s);11.18;4.01;55.58;167.12;330.03;3359.77;14.60;47.40;34.93;9.05;23.94;40.89;14.97;80.73;
66 (s);11.18;4.02;55.60;170.59;333.66;3360.03;14.59;47.46;34.92;9.05;23.94;40.93;14.97;78.85;
71 (s);11.18;4.02;55.60;168.28;331.28;3359.88;14.59;47.48;34.92;9.06;23.93;40.89;14.99;81.40;
76 (s);11.18;4.02;55.59;167.09;330.19;3359.85;14.59;47.52;34.91;9.06;23.93;40.85;14.99;79.33;
