Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.53;4.25;64.55;253.05;411.29;3557.30;16.38;63.17;33.65;10.72;26.25;41.15;17.38;84.14;
10 (s);11.53;4.25;64.51;250.98;411.73;3557.40;16.39;63.17;33.65;10.76;26.25;41.14;17.41;84.35;
15 (s);11.53;4.25;64.55;250.02;412.52;3557.49;16.40;63.19;33.66;10.75;26.25;41.13;17.42;83.83;
20 (s);11.53;4.25;64.50;249.91;407.72;3557.43;16.40;63.19;33.66;10.77;26.25;41.17;17.43;83.74;
25 (s);11.53;4.25;64.35;250.27;410.05;3557.37;16.40;63.19;33.65;10.74;26.26;41.18;17.44;84.44;
30 (s);11.53;4.25;64.34;250.24;414.40;3557.54;16.40;63.16;33.65;10.75;26.27;41.19;17.43;84.27;
35 (s);11.53;4.25;64.35;249.65;414.25;3557.31;16.41;63.13;33.68;10.75;26.27;41.13;17.42;83.50;
40 (s);11.54;4.25;64.35;250.07;413.51;3557.15;16.41;63.15;33.69;10.76;26.27;41.14;17.41;83.95;
45 (s);11.54;4.25;64.36;249.96;410.97;3557.32;16.41;63.16;33.69;10.77;26.26;41.19;17.41;84.41;
51 (s);11.54;4.25;64.35;249.64;412.96;3557.29;16.43;63.14;33.70;10.76;26.25;41.22;17.42;84.19;
56 (s);11.53;4.25;64.34;250.82;412.55;3557.11;16.43;63.13;33.66;10.77;26.25;41.22;17.43;83.57;
61 (s);11.54;4.25;64.35;250.50;413.77;3557.06;16.42;63.14;33.68;10.78;26.26;41.19;17.44;83.99;
66 (s);11.54;4.25;64.34;250.36;411.11;3557.13;16.41;63.13;33.69;10.78;26.26;41.17;17.45;84.48;
71 (s);11.54;4.26;64.34;249.66;411.37;3557.37;16.40;63.14;33.69;10.79;26.25;41.16;17.44;84.31;
76 (s);11.54;4.26;64.35;247.83;409.86;3557.20;16.40;63.14;33.70;10.79;26.25;41.19;17.44;83.66;
81 (s);11.54;4.26;64.35;251.85;410.94;3557.37;16.40;63.14;33.70;10.80;26.25;41.22;17.44;83.79;
86 (s);11.54;4.26;64.35;249.47;410.63;3557.29;16.40;63.15;33.71;10.80;26.24;41.22;17.44;84.55;
91 (s);11.54;4.26;64.35;250.02;409.82;3557.28;16.40;63.16;33.71;10.79;26.24;41.21;17.44;84.33;
96 (s);11.54;4.26;64.34;250.70;413.66;3557.50;16.40;63.16;33.71;10.80;26.24;41.20;17.44;83.66;
101 (s);11.54;4.26;64.36;249.77;408.95;3557.17;16.41;63.14;33.71;10.79;26.24;41.16;17.46;83.75;
107 (s);11.54;4.26;64.35;250.12;411.19;3557.36;16.42;63.14;33.70;10.81;26.25;41.17;17.47;84.46;
