Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);12.01;4.39;68.72;253.25;416.12;3553.67;17.55;63.33;34.38;11.76;27.84;42.68;18.69;89.19;
10 (s);12.01;4.39;68.74;252.54;416.10;3553.30;17.54;63.35;34.40;11.76;27.85;42.71;18.68;89.16;
15 (s);12.01;4.39;68.98;252.51;415.76;3553.50;17.54;63.36;34.41;11.74;27.85;42.69;18.68;89.32;
20 (s);12.02;4.39;69.88;254.00;418.22;3553.45;17.52;63.42;34.41;11.76;27.84;42.70;18.66;89.14;
25 (s);12.02;4.40;69.94;255.94;415.57;3553.50;17.53;63.45;34.43;11.76;27.84;42.73;18.66;89.46;
30 (s);12.02;4.40;69.95;255.15;417.86;3553.84;17.53;63.48;34.44;11.76;27.84;42.69;18.66;89.20;
35 (s);12.03;4.40;69.96;254.54;416.75;3553.70;17.53;63.50;34.44;11.76;27.85;42.70;18.66;89.34;
41 (s);12.03;4.40;69.95;255.18;419.49;3553.70;17.54;63.52;34.46;11.76;27.85;42.71;18.67;89.15;
46 (s);12.03;4.40;69.96;253.31;416.06;3553.54;17.55;63.53;34.45;11.79;27.86;42.72;18.65;89.37;
51 (s);12.03;4.40;69.96;253.79;414.48;3553.57;17.56;63.55;34.48;11.78;27.88;42.77;18.64;89.14;
56 (s);12.03;4.40;69.70;253.90;418.06;3553.60;17.56;63.52;34.49;11.76;27.90;42.77;18.64;89.52;
61 (s);12.03;4.40;69.78;255.82;416.49;3553.66;17.57;63.53;34.50;11.77;27.92;42.77;18.65;89.24;
66 (s);12.04;4.40;69.94;255.47;417.24;3553.84;17.58;63.53;34.53;11.81;27.92;42.77;18.67;89.58;
71 (s);12.04;4.40;69.94;252.76;413.28;3553.63;17.58;63.53;34.55;11.79;27.91;42.83;18.67;89.27;
76 (s);12.04;4.40;69.90;253.16;415.60;3553.69;17.58;63.55;34.55;11.79;27.92;42.85;18.69;89.39;
81 (s);12.04;4.40;69.94;255.43;418.19;3553.57;17.57;63.54;34.55;11.81;27.92;42.87;18.68;89.40;
86 (s);12.04;4.40;69.73;254.35;417.73;3553.48;17.56;63.55;34.58;11.80;27.94;42.89;18.66;89.25;
91 (s);12.04;4.40;69.70;254.25;417.05;3553.65;17.55;63.58;34.60;11.81;27.95;42.89;18.66;89.58;
96 (s);12.04;4.40;69.70;254.10;410.61;3553.52;17.54;63.60;34.61;11.82;27.95;42.90;18.65;89.22;
101 (s);12.05;4.40;69.70;256.71;415.77;3553.84;17.53;63.62;34.63;11.82;27.94;42.85;18.66;89.53;
106 (s);12.05;4.40;69.69;256.45;419.80;3553.57;17.54;63.64;34.64;11.83;27.93;42.83;18.66;89.28;
112 (s);12.05;4.41;69.58;253.68;414.41;3554.08;17.54;63.66;34.67;11.84;27.91;42.89;18.66;89.63;
117 (s);12.05;4.41;69.70;255.68;416.87;3553.77;17.54;63.67;34.68;11.84;27.90;42.89;18.66;89.45;
122 (s);12.06;4.41;69.72;255.59;416.86;3553.74;17.54;63.69;34.68;11.86;27.89;42.87;18.66;89.40;
127 (s);12.05;4.41;69.69;253.00;416.31;3554.10;17.54;63.71;34.69;11.85;27.87;42.89;18.66;89.27;
132 (s);12.06;4.41;69.37;251.77;416.28;3553.99;17.55;63.70;34.71;11.85;27.85;42.87;18.66;89.48;
137 (s);12.06;4.41;69.22;252.91;413.56;3553.89;17.56;63.71;34.72;11.87;27.85;42.89;18.67;89.28;
142 (s);12.06;4.41;68.74;253.78;413.30;3553.71;17.56;63.69;34.74;11.83;27.85;42.89;18.66;89.59;
147 (s);12.06;4.41;68.74;252.70;419.21;3553.68;17.55;63.71;34.76;11.85;27.86;42.91;18.64;89.22;
152 (s);12.06;4.41;68.74;252.83;412.07;3553.72;17.54;63.72;34.80;11.84;27.88;42.91;18.62;89.52;
158 (s);12.06;4.41;68.74;252.98;414.95;3553.87;17.52;63.73;34.81;11.85;27.89;42.89;18.59;89.30;
163 (s);12.06;4.41;68.93;253.49;415.33;3554.15;17.51;63.74;34.83;11.84;27.90;42.88;18.59;89.39;
168 (s);12.06;4.41;68.74;252.78;416.58;3553.96;17.49;63.74;34.86;11.85;27.91;42.92;18.58;89.60;
173 (s);12.06;4.41;68.75;253.88;412.96;3553.98;17.48;63.76;34.86;11.84;27.90;42.94;18.58;89.30;
178 (s);12.06;4.41;68.75;252.78;417.55;3553.70;17.46;63.80;34.87;11.85;27.89;42.96;18.58;89.50;
183 (s);12.06;4.41;68.73;255.68;413.04;3553.79;17.45;63.80;34.87;11.86;27.89;42.93;18.58;89.33;
188 (s);12.06;4.41;68.74;251.66;413.76;3553.68;17.43;63.81;34.90;11.87;27.90;42.91;18.58;89.41;
193 (s);12.06;4.41;68.74;255.93;414.14;3554.14;17.43;63.84;34.90;11.87;27.89;42.94;18.57;89.51;
198 (s);12.07;4.41;68.72;256.45;418.05;3553.91;17.42;63.85;34.92;11.87;27.90;42.95;18.56;89.46;
204 (s);12.06;4.41;68.74;255.98;417.24;3553.92;17.43;63.85;34.94;11.85;27.90;42.97;18.57;89.72;
209 (s);12.06;4.41;68.75;257.17;416.19;3553.92;17.43;63.86;34.95;11.87;27.90;42.96;18.57;89.51;
214 (s);12.06;4.41;68.74;255.45;414.87;3554.01;17.44;63.88;34.95;11.89;27.90;42.97;18.57;89.47;
219 (s);12.07;4.41;68.73;255.38;417.40;3553.79;17.44;63.88;34.96;11.88;27.89;42.96;18.58;89.72;
224 (s);12.07;4.41;68.51;254.86;414.25;3553.79;17.44;63.90;34.96;11.88;27.90;42.93;18.58;89.42;
229 (s);12.07;4.41;68.28;253.89;412.67;3553.89;17.45;63.92;34.99;11.88;27.92;42.93;18.58;89.55;
234 (s);12.07;4.41;68.03;254.92;418.51;3553.92;17.46;63.94;35.02;11.89;27.94;42.96;18.59;89.70;
239 (s);12.07;4.42;67.78;255.00;414.96;3553.86;17.46;63.94;35.03;11.90;27.94;43.01;18.59;89.37;
244 (s);12.07;4.41;67.05;256.22;414.86;3553.82;17.46;63.94;35.03;11.88;27.93;43.02;18.60;89.51;
249 (s);12.07;4.41;66.79;257.29;417.41;3553.82;17.46;63.93;35.04;11.88;27.93;43.04;18.59;89.52;
254 (s);12.07;4.41;66.80;254.95;416.91;3553.73;17.46;63.93;35.09;11.86;27.94;43.02;18.57;89.28;
260 (s);12.07;4.41;66.81;256.71;416.26;3553.79;17.45;63.93;35.09;11.88;27.96;43.01;18.55;89.59;
265 (s);12.08;4.41;66.79;256.11;410.57;3553.86;17.44;63.94;35.10;11.88;27.97;43.00;18.55;89.31;
270 (s);12.07;4.41;66.80;255.25;415.70;3554.07;17.43;63.98;35.11;11.88;27.97;43.02;18.56;89.75;
275 (s);12.08;4.41;66.79;257.65;416.13;3553.91;17.44;63.99;35.12;11.87;27.98;43.01;18.57;89.37;
280 (s);12.08;4.41;66.81;255.14;415.60;3553.99;17.46;63.97;35.11;11.87;27.98;43.00;18.58;89.51;
285 (s);12.08;4.41;66.81;256.73;417.40;3553.58;17.48;63.96;35.12;11.87;27.97;43.01;18.60;89.69;
290 (s);12.08;4.41;66.79;255.15;414.90;3553.69;17.49;63.96;35.15;11.87;27.96;43.03;18.60;89.42;
295 (s);12.08;4.41;66.31;254.12;416.56;3553.70;17.49;63.96;35.15;11.86;27.94;43.01;18.61;89.71;
300 (s);12.09;4.41;66.31;253.14;413.98;3553.93;17.50;63.95;35.18;11.87;27.93;43.01;18.60;89.37;
305 (s);12.09;4.41;66.31;253.38;410.87;3553.78;17.51;63.95;35.21;11.87;27.92;43.03;18.61;89.55;
310 (s);12.09;4.41;65.58;253.51;415.40;3553.77;17.52;63.90;35.21;11.85;27.92;43.03;18.62;89.67;
315 (s);12.09;4.41;65.32;253.70;415.41;3554.06;17.52;63.89;35.21;11.85;27.95;43.00;18.61;89.45;
321 (s);12.10;4.41;65.33;254.73;413.95;3553.98;17.52;63.88;35.22;11.85;27.97;43.01;18.61;89.62;
326 (s);12.10;4.41;65.30;254.60;412.35;3553.79;17.53;63.90;35.24;11.85;27.98;43.01;18.61;89.41;
331 (s);12.10;4.41;64.58;254.40;416.10;3553.69;17.52;63.90;35.26;11.84;27.98;43.05;18.61;89.69;
336 (s);12.10;4.41;64.59;256.51;418.70;3554.04;17.51;63.91;35.26;11.84;27.97;43.06;18.62;89.41;
