Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
30 (s);8.10;3.36;56.54;617.85;397.08;3720.24;10.97;50.55;26.82;3.90;20.96;27.60;7.90;71.80;
60 (s);8.09;3.36;56.54;621.11;393.21;3720.01;10.86;50.71;26.79;3.83;21.00;27.52;7.76;71.60;
90 (s);8.08;3.35;56.52;618.04;389.53;3720.27;10.76;50.81;26.73;3.76;20.98;27.54;7.59;71.62;
120 (s);8.07;3.34;56.55;616.96;388.42;3720.20;10.66;50.90;26.65;3.72;21.01;27.49;7.54;71.51;
150 (s);8.06;3.34;50.97;615.69;382.93;3720.01;10.57;50.98;26.57;3.67;21.05;27.48;7.45;71.14;
180 (s);8.06;3.33;51.67;618.21;380.38;3719.93;10.48;51.03;26.46;3.61;21.06;27.47;7.36;71.08;
210 (s);8.05;3.32;50.79;615.92;378.81;3719.71;10.39;51.05;26.48;3.53;21.06;27.47;7.28;70.94;
240 (s);8.04;3.31;50.81;621.71;378.65;3720.02;10.31;51.08;26.49;3.47;21.10;27.46;7.19;71.23;
271 (s);8.04;3.30;50.75;615.41;379.20;3720.16;10.24;51.12;26.46;3.38;21.10;27.44;7.10;71.37;
301 (s);8.04;3.30;49.63;618.51;375.18;3720.01;10.17;51.15;26.40;3.31;21.11;27.44;7.03;71.28;
331 (s);8.04;3.29;49.54;619.06;377.30;3720.01;10.12;51.17;26.33;3.22;21.12;27.43;6.94;71.08;
361 (s);8.04;3.28;49.55;615.18;375.92;3720.05;10.06;51.19;26.26;3.16;21.13;27.43;6.89;71.06;
391 (s);8.04;3.27;49.30;617.24;374.43;3720.18;10.02;51.23;26.17;3.09;21.15;27.43;6.82;71.07;
421 (s);8.04;3.26;48.33;616.70;368.47;3720.16;9.97;51.27;26.12;3.04;21.15;27.43;6.76;71.35;
451 (s);8.04;3.26;48.33;618.38;369.00;3720.34;9.94;51.32;26.07;2.98;21.18;27.42;6.72;71.20;
481 (s);8.04;3.25;48.33;616.71;373.84;3720.04;9.90;51.37;26.03;2.94;21.18;27.42;6.66;70.84;
511 (s);8.04;3.25;48.31;611.58;358.33;3720.27;9.86;51.39;26.00;2.88;21.16;27.44;6.62;70.79;
541 (s);8.04;3.24;48.31;618.08;363.91;3719.86;9.84;51.39;25.97;2.79;21.20;27.42;6.51;70.86;
571 (s);8.04;3.23;48.32;616.06;360.64;3720.02;9.82;51.38;25.94;2.75;21.20;27.43;6.45;70.61;
