Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);8.64;3.66;64.14;403.28;343.76;3511.60;11.99;53.29;25.92;6.29;20.53;29.80;11.15;71.05;
10 (s);8.63;3.65;64.13;402.41;345.69;3512.10;11.98;53.27;25.95;6.29;20.55;29.81;11.15;70.78;
15 (s);8.63;3.65;63.65;401.66;345.16;3511.63;11.97;53.26;25.97;6.28;20.55;29.78;11.14;70.17;
20 (s);8.63;3.65;62.93;403.16;344.62;3511.64;11.96;53.25;25.97;6.28;20.56;29.78;11.14;69.78;
25 (s);8.63;3.65;62.90;402.06;343.39;3511.74;11.95;53.26;26.00;6.26;20.55;29.79;11.13;70.46;
31 (s);8.63;3.65;62.43;404.25;346.53;3511.87;11.94;53.26;26.02;6.26;20.55;29.78;11.13;70.91;
36 (s);8.63;3.65;61.94;401.34;342.73;3511.92;11.94;53.26;26.05;6.26;20.56;29.77;11.12;70.88;
41 (s);8.63;3.65;61.62;403.96;346.38;3511.91;11.93;53.27;26.07;6.26;20.57;29.80;11.11;70.35;
46 (s);8.63;3.65;61.47;402.81;347.47;3511.78;11.91;53.26;26.07;6.27;20.56;29.83;11.11;69.90;
51 (s);8.63;3.65;61.20;400.39;345.42;3511.72;11.90;53.24;26.09;6.24;20.56;29.83;11.10;70.11;
56 (s);8.63;3.65;60.72;400.61;344.91;3511.42;11.90;53.21;26.10;6.24;20.58;29.77;11.10;70.99;
61 (s);8.63;3.65;60.24;401.37;346.31;3511.70;11.89;53.22;26.11;6.24;20.60;29.80;11.10;70.79;
66 (s);8.64;3.65;59.99;402.67;347.63;3511.72;11.88;53.22;26.16;6.23;20.61;29.80;11.09;70.12;
72 (s);8.64;3.65;59.73;400.33;345.11;3511.57;11.87;53.23;26.16;6.24;20.60;29.81;11.09;69.77;
77 (s);8.64;3.65;59.50;402.82;349.40;3511.80;11.87;53.23;26.17;6.23;20.60;29.80;11.09;70.54;
82 (s);8.64;3.65;59.04;403.16;346.04;3511.75;11.86;53.22;26.18;6.23;20.60;29.81;11.10;70.96;
87 (s);8.64;3.65;58.79;402.79;346.09;3511.96;11.85;53.23;26.17;6.22;20.59;29.81;11.10;70.73;
92 (s);8.64;3.65;58.54;403.38;346.08;3511.74;11.85;53.23;26.19;6.22;20.61;29.84;11.10;70.22;
97 (s);8.64;3.64;58.55;403.00;344.11;3511.78;11.84;53.24;26.22;6.20;20.61;29.84;11.09;69.78;
102 (s);8.64;3.64;58.53;403.32;343.33;3511.88;11.83;53.24;26.24;6.19;20.60;29.84;11.09;70.52;
107 (s);8.64;3.64;58.56;401.35;345.21;3511.60;11.82;53.24;26.26;6.20;20.57;29.83;11.09;71.13;
113 (s);8.64;3.64;58.54;400.97;342.14;3511.86;11.82;53.25;26.24;6.19;20.55;29.82;11.08;70.82;
118 (s);8.64;3.64;58.31;401.04;343.06;3511.77;11.81;53.26;26.27;6.18;20.55;29.82;11.08;70.05;
123 (s);8.64;3.64;58.05;398.85;343.21;3511.66;11.81;53.25;26.30;6.18;20.56;29.81;11.06;69.82;
128 (s);8.65;3.64;57.59;401.35;345.01;3511.67;11.80;53.25;26.30;6.16;20.58;29.82;11.06;70.72;
133 (s);8.65;3.64;57.58;399.83;344.80;3511.72;11.80;53.25;26.30;6.16;20.59;29.84;11.05;70.90;
138 (s);8.65;3.64;57.57;401.19;344.91;3511.71;11.79;53.26;26.32;6.15;20.57;29.86;11.04;70.58;
143 (s);8.65;3.64;57.56;402.39;346.29;3511.54;11.79;53.26;26.32;6.15;20.56;29.84;11.04;69.86;
149 (s);8.65;3.64;57.32;402.96;344.38;3511.73;11.78;53.25;26.35;6.15;20.57;29.81;11.04;70.16;
154 (s);8.65;3.64;57.32;400.09;342.90;3511.71;11.77;53.24;26.38;6.15;20.58;29.83;11.03;70.85;
159 (s);8.65;3.63;57.32;400.14;345.33;3511.92;11.77;53.24;26.38;6.12;20.59;29.86;11.03;70.72;
164 (s);8.65;3.64;57.15;400.82;342.23;3511.59;11.77;53.24;26.42;6.14;20.59;29.87;11.03;70.04;
169 (s);8.65;3.63;57.08;399.36;343.23;3511.71;11.76;53.23;26.42;6.12;20.58;29.86;11.03;69.87;
174 (s);8.65;3.63;57.08;400.99;345.86;3512.00;11.75;53.23;26.43;6.13;20.58;29.85;11.03;70.53;
179 (s);8.66;3.63;57.09;400.14;342.73;3511.74;11.75;53.24;26.44;6.11;20.60;29.85;11.04;71.12;
185 (s);8.66;3.63;56.90;401.00;346.96;3511.76;11.75;53.25;26.44;6.12;20.62;29.85;11.03;70.68;
190 (s);8.66;3.63;56.83;399.11;345.55;3511.51;11.75;53.26;26.49;6.11;20.61;29.86;11.03;70.14;
195 (s);8.66;3.63;57.08;398.56;343.49;3511.75;11.74;53.26;26.51;6.11;20.60;29.87;11.03;69.92;
200 (s);8.66;3.63;56.82;399.23;346.60;3511.87;11.74;53.27;26.50;6.11;20.61;29.87;11.04;70.67;
205 (s);8.66;3.63;56.84;397.30;342.40;3511.62;11.74;53.26;26.54;6.10;20.63;29.87;11.03;71.04;
210 (s);8.67;3.63;56.44;400.72;345.04;3511.74;11.73;53.25;26.56;6.10;20.61;29.87;11.03;70.80;
215 (s);8.67;3.63;56.66;401.34;346.04;3511.70;11.73;53.25;26.57;6.10;20.58;29.91;11.03;70.12;
220 (s);8.67;3.63;56.09;399.83;347.43;3511.44;11.73;53.25;26.57;6.10;20.58;29.92;11.03;69.78;
226 (s);8.67;3.63;56.09;398.93;344.08;3511.71;11.73;53.25;26.55;6.10;20.60;29.90;11.04;70.66;
231 (s);8.67;3.63;56.10;400.70;343.11;3511.61;11.72;53.26;26.56;6.09;20.61;29.90;11.04;70.98;
236 (s);8.67;3.63;56.10;401.27;345.55;3511.90;11.72;53.27;26.56;6.08;20.63;29.89;11.03;70.70;
241 (s);8.67;3.63;56.10;398.60;346.74;3511.65;11.72;53.28;26.57;6.08;20.63;29.89;11.03;70.02;
246 (s);8.67;3.63;56.10;399.69;344.78;3511.78;11.72;53.28;26.57;6.08;20.61;29.90;11.04;69.89;
