Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.09;3.67;45.85;179.23;350.30;3321.63;12.26;47.28;31.26;6.42;19.93;37.26;11.47;74.09;
10 (s);10.08;3.67;45.87;177.18;350.44;3321.67;12.26;47.37;31.23;6.39;19.93;37.17;11.46;72.87;
15 (s);10.07;3.67;45.87;176.95;349.21;3321.61;12.26;47.44;31.20;6.38;19.92;37.11;11.47;73.29;
20 (s);10.06;3.67;45.86;176.17;349.96;3321.67;12.26;47.54;31.20;6.37;19.92;37.11;11.47;74.16;
25 (s);10.06;3.66;46.11;175.98;350.18;3321.79;12.25;47.62;31.20;6.35;19.92;37.08;11.46;74.04;
31 (s);10.05;3.66;46.60;176.70;352.67;3321.91;12.25;47.71;31.21;6.34;19.92;37.03;11.46;73.53;
36 (s);10.04;3.66;47.32;176.30;351.50;3321.58;12.25;47.79;31.21;6.35;19.92;37.02;11.46;72.92;
41 (s);10.04;3.66;47.58;175.00;351.28;3321.69;12.25;47.86;31.23;6.35;19.92;36.99;11.46;72.85;
46 (s);10.03;3.66;48.31;174.36;351.70;3321.56;12.25;47.91;31.23;6.34;19.93;36.96;11.46;72.66;
51 (s);10.03;3.66;48.32;174.01;350.50;3321.65;12.25;47.94;31.27;6.33;19.92;36.98;11.46;72.78;
56 (s);10.02;3.66;48.31;173.23;353.59;3321.39;12.26;48.00;31.24;6.32;19.91;36.92;11.46;72.82;
61 (s);10.02;3.66;48.56;174.31;351.43;3321.58;12.26;48.04;31.27;6.32;19.91;36.92;11.46;72.83;
66 (s);10.01;3.66;48.55;172.70;348.98;3321.66;12.26;48.10;31.27;6.32;19.93;36.93;11.46;72.69;
72 (s);10.01;3.66;49.31;174.03;350.34;3321.54;12.26;48.16;31.21;6.31;19.94;36.88;11.46;72.57;
77 (s);10.01;3.66;49.53;173.45;350.33;3321.59;12.26;48.21;31.13;6.31;19.94;36.86;11.45;73.04;
82 (s);10.01;3.66;49.56;172.64;350.35;3321.73;12.26;48.25;31.11;6.31;19.94;36.82;11.46;73.81;
87 (s);10.01;3.66;49.78;172.21;353.26;3321.63;12.26;48.30;31.10;6.31;19.93;36.84;11.45;74.05;
92 (s);10.00;3.66;50.02;172.77;350.37;3321.74;12.26;48.35;31.16;6.31;19.93;36.85;11.45;73.68;
97 (s);10.00;3.66;50.72;172.56;349.58;3321.78;12.26;48.37;31.20;6.31;19.93;36.82;11.45;73.22;
102 (s);9.99;3.66;50.73;171.80;350.05;3321.72;12.26;48.41;31.22;6.31;19.93;36.83;11.46;72.48;
107 (s);9.99;3.66;50.73;171.06;349.67;3321.57;12.26;48.44;31.19;6.32;19.94;36.82;11.46;73.03;
113 (s);9.99;3.66;50.99;168.81;350.04;3321.83;12.26;48.47;31.13;6.30;19.95;36.82;11.46;74.04;
118 (s);9.99;3.66;50.97;168.81;351.29;3321.67;12.27;48.51;31.11;6.30;19.95;36.86;11.47;73.69;
123 (s);9.99;3.66;51.22;168.11;352.18;3321.51;12.27;48.54;31.12;6.30;19.95;36.84;11.47;72.72;
128 (s);9.99;3.66;51.42;166.49;349.71;3321.63;12.27;48.58;31.08;6.31;19.96;36.82;11.48;72.81;
133 (s);10.00;3.66;51.28;165.48;351.12;3321.56;12.27;48.61;31.10;6.31;19.95;36.85;11.48;74.30;
138 (s);10.00;3.66;51.71;163.32;351.15;3321.69;12.27;48.64;31.09;6.31;19.93;36.86;11.48;73.49;
143 (s);10.01;3.66;51.77;162.37;349.57;3321.90;12.27;48.67;31.08;6.31;19.94;36.89;11.48;72.60;
148 (s);10.01;3.66;51.94;162.66;351.62;3321.75;12.27;48.70;31.05;6.31;19.95;36.91;11.48;73.31;
154 (s);10.01;3.66;51.96;162.81;352.28;3321.79;12.27;48.73;31.04;6.31;19.96;36.97;11.49;74.24;
159 (s);10.02;3.66;51.95;162.66;352.07;3321.87;12.27;48.76;31.07;6.31;19.95;36.94;11.49;72.84;
164 (s);10.02;3.66;51.95;162.11;350.99;3321.89;12.28;48.80;31.06;6.32;19.95;36.93;11.48;73.18;
169 (s);10.02;3.66;51.96;162.52;352.01;3321.93;12.28;48.84;31.11;6.32;19.94;36.97;11.49;74.07;
174 (s);10.02;3.66;51.95;162.61;352.94;3321.72;12.29;48.87;31.13;6.31;19.94;36.98;11.49;72.78;
179 (s);10.03;3.66;52.45;161.08;352.72;3321.83;12.29;48.91;31.11;6.32;19.94;36.99;11.50;73.53;
184 (s);10.03;3.66;53.43;161.15;353.65;3321.58;12.29;48.95;31.08;6.32;19.97;37.00;11.50;73.76;
190 (s);10.03;3.66;53.44;159.79;352.57;3321.67;12.29;48.99;31.09;6.32;19.98;37.00;11.49;72.78;
195 (s);10.04;3.66;53.41;159.22;351.71;3321.77;12.29;49.01;31.10;6.31;19.98;37.05;11.49;74.23;
200 (s);10.04;3.66;53.43;159.56;352.23;3321.57;12.30;49.04;31.07;6.33;19.98;37.09;11.50;73.09;
205 (s);10.04;3.66;53.43;159.82;354.58;3321.83;12.30;49.08;31.08;6.34;19.98;37.00;11.51;73.40;
210 (s);10.05;3.66;53.41;158.32;351.00;3321.82;12.31;49.11;31.10;6.33;19.99;37.02;11.51;73.89;
215 (s);10.05;3.66;53.42;158.93;351.58;3321.98;12.31;49.14;31.08;6.33;20.01;37.11;11.52;72.86;
220 (s);10.06;3.66;53.43;157.69;350.17;3321.57;12.32;49.20;31.07;6.34;20.01;37.10;11.52;74.37;
225 (s);10.06;3.66;53.42;156.60;349.39;3321.76;12.32;49.24;31.06;6.33;20.01;37.11;11.51;73.20;
231 (s);10.07;3.66;54.16;155.20;350.90;3321.88;12.32;49.25;31.03;6.33;20.01;37.15;11.50;73.39;
236 (s);10.07;3.66;54.39;156.18;350.26;3322.09;12.32;49.26;31.02;6.34;20.02;37.15;11.50;74.03;
241 (s);10.08;3.66;54.42;154.70;349.57;3321.80;12.32;49.31;31.02;6.33;20.01;37.14;11.50;72.89;
246 (s);10.08;3.66;54.63;155.53;349.31;3321.74;12.32;49.34;31.04;6.33;20.00;37.16;11.50;74.53;
