Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.50;3.94;95.54;174.79;337.50;3321.43;14.18;50.05;33.32;8.47;20.77;35.13;12.89;74.37;
10 (s);9.51;3.94;118.55;176.20;337.71;3321.34;14.15;50.09;33.34;8.46;20.77;35.18;12.86;72.49;
15 (s);9.52;3.93;112.37;176.75;338.47;3321.52;14.12;50.13;33.38;8.45;20.78;35.22;12.85;73.07;
20 (s);9.54;3.92;49.93;176.13;338.34;3321.44;14.09;50.19;33.41;8.37;20.78;35.25;12.83;74.46;
25 (s);9.55;3.92;60.30;175.96;338.89;3321.42;14.05;50.24;33.43;8.34;20.78;35.29;12.81;72.32;
30 (s);9.55;3.92;109.93;175.36;337.90;3321.59;14.02;50.29;33.44;8.35;20.78;35.36;12.79;73.79;
35 (s);9.56;3.92;104.10;176.22;337.53;3321.65;13.99;50.31;33.47;8.33;20.78;35.41;12.78;73.80;
40 (s);9.58;3.91;44.75;175.47;336.43;3321.77;13.97;50.36;33.48;8.26;20.78;35.42;12.77;72.80;
46 (s);9.59;3.91;76.35;176.09;338.85;3321.69;13.94;50.42;33.51;8.26;20.79;35.45;12.76;74.64;
51 (s);9.60;3.91;101.24;175.23;340.44;3321.51;13.91;50.48;33.52;8.26;20.78;35.51;12.74;72.35;
56 (s);9.61;3.90;43.36;175.04;335.65;3321.66;13.88;50.54;33.52;8.21;20.78;35.54;12.73;74.35;
61 (s);9.62;3.90;113.87;175.60;337.89;3321.43;13.86;50.57;33.51;8.21;20.79;35.55;12.71;72.84;
66 (s);9.63;3.90;75.42;176.12;337.38;3321.73;13.83;50.62;33.49;8.18;20.78;35.59;12.69;74.20;
71 (s);9.64;3.89;48.49;175.66;338.27;3321.65;13.80;50.67;33.47;8.13;20.79;35.63;12.68;72.65;
76 (s);9.65;3.89;101.13;175.71;337.81;3321.60;13.78;50.68;33.49;8.14;20.79;35.66;12.67;74.72;
81 (s);9.66;3.89;79.50;174.15;338.64;3321.79;13.75;50.74;33.48;8.12;20.79;35.72;12.66;72.72;
86 (s);9.67;3.88;50.47;173.23;336.04;3321.81;13.73;50.78;33.48;8.06;20.78;35.76;12.65;74.71;
91 (s);9.68;3.88;98.04;173.68;339.47;3321.44;13.71;50.83;33.46;8.08;20.77;35.80;12.63;72.87;
96 (s);9.69;3.88;77.46;172.45;333.16;3321.58;13.68;50.88;33.45;8.05;20.77;35.83;12.61;74.64;
101 (s);9.70;3.87;56.15;173.24;337.72;3321.76;13.66;50.91;33.44;7.99;20.78;35.88;12.58;73.17;
106 (s);9.71;3.87;77.33;172.80;335.96;3321.60;13.63;50.94;33.45;8.00;20.78;35.92;12.57;74.15;
111 (s);9.72;3.87;73.01;172.82;335.01;3321.63;13.61;50.97;33.43;7.99;20.78;35.97;12.55;73.60;
116 (s);9.73;3.87;67.72;172.50;335.69;3321.79;13.58;51.02;33.42;7.96;20.78;35.99;12.54;73.21;
121 (s);9.74;3.87;75.75;171.64;335.09;3321.60;13.56;51.05;33.42;7.94;20.80;36.02;12.52;74.54;
127 (s);9.75;3.86;65.47;172.99;333.77;3321.75;13.54;51.08;33.42;7.89;20.79;36.07;12.51;72.81;
132 (s);9.76;3.86;75.36;172.54;335.97;3321.76;13.52;51.11;33.40;7.90;20.78;36.10;12.49;74.85;
137 (s);9.77;3.86;61.07;173.50;337.51;3321.71;13.50;51.16;33.40;7.89;20.77;36.12;12.49;73.56;
142 (s);9.77;3.86;68.14;173.66;337.48;3321.86;13.47;51.20;33.41;7.88;20.78;36.14;12.48;73.33;
147 (s);9.78;3.86;74.66;174.36;338.30;3321.84;13.45;51.24;33.41;7.86;20.78;36.18;12.47;74.63;
152 (s);9.79;3.85;60.59;173.15;336.36;3321.87;13.43;51.26;33.39;7.85;20.78;36.22;12.46;73.12;
157 (s);9.80;3.85;69.10;173.45;336.81;3321.86;13.41;51.30;33.39;7.82;20.78;36.23;12.45;74.48;
162 (s);9.80;3.85;70.82;174.08;337.37;3321.79;13.39;51.34;33.39;7.81;20.78;36.26;12.45;74.18;
167 (s);9.81;3.85;63.16;173.55;336.37;3321.73;13.37;51.38;33.38;7.79;20.79;36.28;12.44;72.96;
172 (s);9.82;3.85;66.69;173.68;339.73;3321.78;13.35;51.41;33.37;7.78;20.80;36.29;12.43;74.96;
177 (s);9.83;3.84;61.38;174.08;338.22;3321.80;13.34;51.44;33.35;7.76;20.80;36.33;12.42;73.43;
182 (s);9.84;3.84;65.86;174.37;336.12;3321.85;13.32;51.47;33.33;7.74;20.79;36.36;12.41;73.84;
187 (s);9.84;3.84;61.88;173.41;340.01;3321.82;13.31;51.50;33.31;7.72;20.79;36.35;12.42;74.64;
192 (s);9.85;3.84;66.13;175.37;337.97;3321.95;13.29;51.52;33.30;7.70;20.80;36.41;12.41;73.12;
197 (s);9.86;3.83;64.97;174.20;336.55;3321.80;13.27;51.55;33.26;7.67;20.81;36.47;12.40;74.59;
203 (s);9.87;3.83;56.60;173.92;338.84;3322.05;13.26;51.57;33.21;7.66;20.80;36.48;12.39;74.24;
208 (s);9.88;3.83;64.49;174.34;337.70;3321.88;13.24;51.62;33.15;7.66;20.79;36.52;12.39;73.02;
213 (s);9.88;3.83;61.97;174.42;338.04;3322.00;13.22;51.66;33.10;7.63;20.79;36.56;12.38;75.12;
218 (s);9.89;3.82;59.46;174.12;337.51;3321.90;13.21;51.67;33.04;7.62;20.81;36.57;12.36;73.82;
223 (s);9.90;3.82;61.67;173.61;337.53;3322.02;13.19;51.69;32.97;7.58;20.80;36.61;12.35;73.42;
228 (s);9.91;3.82;58.33;173.04;339.59;3321.97;13.17;51.73;32.91;7.57;20.78;36.65;12.34;75.08;
233 (s);9.92;3.82;59.33;173.60;336.40;3321.99;13.15;51.76;32.88;7.56;20.78;36.68;12.34;73.53;
238 (s);9.93;3.81;59.31;174.92;339.09;3321.88;13.13;51.79;32.91;7.54;20.79;36.67;12.33;73.90;
243 (s);9.93;3.81;59.92;174.04;338.80;3322.08;13.11;51.82;32.90;7.51;20.80;36.68;12.32;74.82;
248 (s);9.94;3.81;59.69;173.75;339.20;3321.93;13.10;51.84;32.92;7.49;20.80;36.68;12.32;73.14;
253 (s);9.95;3.81;60.72;172.98;339.03;3321.98;13.08;51.88;32.96;7.48;20.81;36.66;12.31;75.09;
258 (s);9.95;3.80;57.82;173.85;338.97;3322.20;13.07;51.91;32.98;7.46;20.82;36.70;12.30;74.16;
263 (s);9.96;3.80;59.27;174.07;337.93;3321.92;13.06;51.93;33.00;7.44;20.81;36.75;12.29;73.34;
268 (s);9.96;3.80;58.27;174.74;339.68;3322.09;13.04;51.96;32.98;7.43;20.80;36.81;12.29;75.30;
273 (s);9.97;3.80;57.05;174.87;339.20;3322.00;13.03;51.99;32.97;7.41;20.79;36.82;12.28;74.14;
278 (s);9.98;3.80;56.90;173.72;338.07;3322.05;13.01;52.00;32.92;7.40;20.80;36.81;12.28;73.68;
284 (s);9.98;3.79;55.73;174.70;340.95;3322.23;13.00;52.02;32.89;7.38;20.81;36.82;12.27;75.16;
289 (s);9.99;3.79;57.40;172.72;338.27;3322.09;12.99;52.04;32.85;7.36;20.82;36.89;12.26;73.54;
294 (s);9.99;3.79;57.26;172.59;338.99;3321.96;12.98;52.07;32.83;7.34;20.81;36.85;12.25;74.15;
299 (s);10.00;3.79;56.24;173.36;339.04;3322.13;12.97;52.09;32.80;7.34;20.80;36.89;12.24;74.96;
304 (s);10.00;3.79;56.86;173.62;340.14;3322.03;12.96;52.14;32.76;7.32;20.79;36.96;12.23;73.29;
