Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);10.60;3.78;58.29;159.72;335.42;3096.51;13.06;57.12;30.52;7.28;21.23;39.19;12.30;72.51;
10 (s);10.60;3.78;55.12;159.38;335.12;3096.82;13.09;57.11;30.52;7.28;21.23;39.19;12.31;72.55;
15 (s);10.59;3.78;55.11;159.92;334.66;3096.60;13.12;57.09;30.54;7.29;21.22;39.15;12.32;72.67;
20 (s);10.59;3.78;54.64;159.56;334.47;3096.68;13.15;57.08;30.56;7.29;21.20;39.10;12.33;72.73;
25 (s);10.59;3.78;54.40;159.85;336.06;3096.78;13.17;57.06;30.53;7.30;21.19;39.08;12.34;72.72;
30 (s);10.58;3.78;54.40;161.04;337.05;3096.88;13.18;57.04;30.53;7.30;21.19;39.08;12.34;72.74;
35 (s);10.58;3.78;54.41;159.47;337.33;3096.74;13.18;57.03;30.55;7.30;21.19;39.03;12.35;72.68;
40 (s);10.58;3.78;54.40;159.05;335.31;3096.71;13.18;57.03;30.59;7.29;21.20;39.01;12.35;72.77;
45 (s);10.58;3.78;54.41;159.98;335.24;3096.76;13.18;57.02;30.65;7.30;21.21;39.02;12.35;72.80;
51 (s);10.58;3.78;54.40;159.87;333.71;3096.60;13.19;57.02;30.69;7.30;21.21;39.03;12.35;72.63;
56 (s);10.57;3.79;54.42;159.86;334.84;3096.51;13.19;57.01;30.71;7.32;21.19;39.01;12.34;72.68;
61 (s);10.57;3.79;54.40;160.34;333.34;3096.70;13.18;57.01;30.71;7.32;21.19;39.00;12.34;72.82;
66 (s);10.57;3.79;54.39;160.78;337.91;3096.80;13.18;57.01;30.75;7.33;21.20;38.99;12.35;72.69;
71 (s);10.56;3.79;54.39;160.51;335.54;3096.61;13.17;57.02;30.77;7.34;21.21;38.99;12.37;72.62;
76 (s);10.56;3.79;54.41;160.51;338.29;3096.55;13.16;57.01;30.79;7.36;21.22;39.00;12.37;72.67;
81 (s);10.56;3.79;54.40;159.83;335.16;3096.71;13.15;57.02;30.86;7.35;21.24;38.97;12.38;72.73;
86 (s);10.56;3.79;54.65;159.90;336.97;3096.74;13.15;57.02;30.94;7.36;21.24;38.95;12.38;72.63;
91 (s);10.56;3.79;54.63;159.13;336.41;3096.66;13.15;57.02;30.98;7.38;21.24;38.96;12.39;72.64;
96 (s);10.56;3.79;54.39;160.70;337.06;3096.74;13.15;57.02;31.01;7.38;21.24;38.95;12.39;72.70;
101 (s);10.56;3.79;54.40;160.28;334.29;3096.68;13.16;57.02;31.00;7.38;21.25;38.91;12.40;72.67;
106 (s);10.56;3.80;54.40;159.94;336.26;3096.64;13.15;57.02;31.05;7.40;21.23;38.90;12.41;72.73;
111 (s);10.56;3.80;54.40;159.36;337.58;3096.79;13.15;57.02;31.05;7.40;21.23;38.91;12.41;72.65;
116 (s);10.56;3.80;54.40;159.98;338.09;3096.65;13.15;57.03;31.08;7.40;21.23;38.90;12.41;72.61;
121 (s);10.56;3.80;54.41;160.11;336.90;3096.73;13.14;57.03;31.10;7.42;21.22;38.90;12.41;72.63;
126 (s);10.56;3.80;54.63;159.84;336.46;3096.73;13.14;57.02;31.10;7.41;21.24;38.91;12.42;72.49;
132 (s);10.56;3.80;54.40;159.26;336.61;3096.69;13.14;57.03;31.12;7.41;21.26;38.93;12.43;72.55;
137 (s);10.56;3.80;54.63;159.05;334.74;3096.79;13.14;57.03;31.16;7.42;21.26;38.92;12.43;72.49;
142 (s);10.56;3.80;55.11;159.40;335.37;3096.77;13.14;57.03;31.20;7.44;21.25;38.93;12.43;72.43;
147 (s);10.56;3.80;55.11;159.02;333.14;3096.70;13.14;57.05;31.23;7.44;21.25;38.95;12.43;72.53;
152 (s);10.56;3.80;55.12;159.98;334.90;3096.59;13.14;57.03;31.25;7.45;21.25;38.95;12.43;72.54;
157 (s);10.56;3.80;55.11;159.95;338.08;3096.66;13.14;57.02;31.28;7.46;21.27;38.93;12.44;72.50;
162 (s);10.56;3.81;55.12;159.56;337.29;3096.72;13.14;57.01;31.29;7.47;21.28;38.95;12.45;72.41;
167 (s);10.56;3.80;55.12;160.32;337.68;3096.63;13.16;57.02;31.30;7.46;21.27;38.96;12.46;72.54;
172 (s);10.56;3.80;55.10;160.22;337.27;3096.74;13.17;57.03;31.33;7.46;21.26;38.91;12.47;72.47;
177 (s);10.56;3.81;55.11;160.33;336.75;3096.74;13.18;57.03;31.35;7.47;21.25;38.89;12.48;72.49;
182 (s);10.56;3.81;55.11;159.93;337.08;3096.69;13.20;57.03;31.36;7.48;21.24;38.93;12.48;72.51;
187 (s);10.56;3.81;55.12;161.04;337.66;3096.88;13.20;57.03;31.36;7.48;21.26;39.00;12.48;72.62;
192 (s);10.56;3.81;55.11;161.57;336.70;3096.72;13.20;57.04;31.37;7.49;21.27;38.95;12.49;72.58;
197 (s);10.56;3.81;55.12;160.76;337.72;3096.75;13.20;57.02;31.39;7.49;21.25;38.88;12.49;72.49;
202 (s);10.56;3.81;55.10;160.33;338.00;3096.84;13.20;57.03;31.41;7.49;21.26;38.91;12.49;72.54;
208 (s);10.56;3.81;55.11;160.04;337.72;3096.74;13.19;57.03;31.44;7.49;21.26;38.93;12.50;72.61;
213 (s);10.56;3.81;55.11;160.66;338.28;3096.72;13.19;57.04;31.41;7.50;21.27;38.91;12.50;72.57;
218 (s);10.56;3.81;55.11;158.00;335.72;3096.81;13.19;57.05;31.40;7.50;21.28;38.91;12.50;72.77;
223 (s);10.56;3.81;55.12;158.86;334.96;3096.82;13.19;57.06;31.41;7.50;21.27;38.96;12.50;72.79;
228 (s);10.57;3.81;55.11;158.65;333.36;3096.62;13.18;57.05;31.42;7.50;21.26;38.94;12.50;72.79;
233 (s);10.56;3.81;55.11;158.54;336.74;3096.81;13.17;57.04;31.41;7.50;21.24;38.95;12.49;72.75;
238 (s);10.57;3.81;55.12;160.30;336.56;3096.70;13.18;57.05;31.42;7.51;21.26;39.00;12.49;72.83;
243 (s);10.57;3.81;55.11;160.33;336.57;3096.75;13.19;57.06;31.44;7.50;21.28;39.02;12.49;72.82;
248 (s);10.57;3.81;55.10;159.17;332.16;3096.71;13.20;57.07;31.43;7.50;21.29;38.97;12.49;72.80;
253 (s);10.57;3.81;55.11;159.33;336.82;3096.56;13.20;57.08;31.49;7.50;21.28;38.93;12.49;72.79;
258 (s);10.57;3.81;55.11;158.75;335.50;3096.76;13.20;57.08;31.51;7.51;21.28;38.93;12.50;72.84;
263 (s);10.57;3.81;55.10;159.76;335.51;3096.73;13.21;57.08;31.48;7.51;21.27;38.99;12.50;72.80;
268 (s);10.57;3.81;55.11;159.24;336.60;3096.78;13.21;57.09;31.48;7.52;21.26;38.99;12.51;72.73;
273 (s);10.57;3.81;55.11;159.12;335.32;3096.77;13.21;57.09;31.48;7.51;21.26;38.98;12.51;72.74;
278 (s);10.57;3.81;55.11;160.27;336.84;3096.77;13.21;57.08;31.51;7.52;21.26;38.97;12.51;72.83;
283 (s);10.57;3.81;55.10;158.93;337.55;3096.55;13.23;57.07;31.57;7.52;21.25;39.00;12.51;72.66;
289 (s);10.57;3.81;55.12;159.75;335.63;3096.62;13.24;57.07;31.59;7.53;21.24;39.00;12.51;72.41;
294 (s);10.57;3.81;55.12;159.47;335.13;3096.62;13.26;57.07;31.54;7.52;21.26;38.96;12.51;72.61;
299 (s);10.57;3.81;55.10;158.86;335.05;3096.74;13.28;57.05;31.58;7.52;21.27;38.97;12.51;72.58;
304 (s);10.57;3.81;55.12;159.87;336.20;3096.73;13.29;57.04;31.59;7.51;21.28;39.00;12.50;72.54;
309 (s);10.57;3.81;55.12;158.69;333.43;3096.76;13.30;57.03;31.56;7.50;21.29;38.99;12.50;72.38;
314 (s);10.57;3.81;55.12;158.80;336.82;3096.72;13.31;57.02;31.54;7.50;21.29;38.99;12.50;72.57;
319 (s);10.58;3.81;55.11;158.83;335.34;3096.77;13.31;57.00;31.58;7.50;21.27;39.03;12.51;72.45;
