Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.30;3.74;57.55;302.78;330.04;3321.82;12.72;52.35;31.83;6.96;20.66;33.11;11.93;71.99;
10 (s);9.30;3.74;58.29;304.00;329.96;3321.67;12.70;52.34;31.77;6.95;20.66;33.03;11.92;71.46;
15 (s);9.28;3.73;58.53;304.00;331.08;3321.56;12.69;52.35;31.73;6.91;20.66;33.03;11.90;73.34;
20 (s);9.27;3.73;58.54;304.35;331.52;3321.62;12.68;52.36;31.71;6.92;20.66;32.93;11.90;71.07;
25 (s);9.26;3.73;58.53;305.34;332.51;3321.60;12.66;52.37;31.66;6.92;20.66;32.90;11.89;73.41;
30 (s);9.25;3.73;58.53;304.57;331.40;3321.48;12.65;52.38;31.58;6.89;20.66;32.86;11.87;70.94;
35 (s);9.24;3.73;58.53;305.34;330.99;3321.68;12.64;52.36;31.53;6.88;20.66;32.86;11.87;73.10;
40 (s);9.23;3.73;58.54;304.40;332.28;3321.47;12.62;52.35;31.48;6.86;20.66;32.85;11.86;71.55;
46 (s);9.22;3.73;58.53;305.54;331.26;3321.57;12.61;52.34;31.41;6.86;20.67;32.80;11.85;71.43;
51 (s);9.21;3.73;58.53;305.63;332.62;3321.53;12.60;52.36;31.31;6.85;20.66;32.75;11.85;73.31;
56 (s);9.20;3.73;58.54;304.22;334.63;3321.64;12.59;52.37;31.26;6.85;20.67;32.71;11.84;71.59;
61 (s);9.20;3.72;58.54;305.42;333.60;3321.37;12.57;52.38;31.21;6.83;20.69;32.68;11.84;71.46;
66 (s);9.19;3.72;58.54;305.14;330.83;3321.53;12.56;52.38;31.16;6.81;20.67;32.63;11.84;72.90;
71 (s);9.19;3.72;58.54;304.74;332.21;3321.73;12.55;52.39;31.11;6.81;20.66;32.64;11.84;72.78;
76 (s);9.18;3.72;58.05;304.90;331.03;3321.50;12.54;52.40;31.04;6.78;20.66;32.64;11.83;70.70;
81 (s);9.17;3.72;57.55;304.88;333.34;3321.60;12.53;52.40;30.96;6.78;20.66;32.58;11.82;71.33;
86 (s);9.17;3.72;57.56;306.17;330.74;3321.58;12.52;52.40;30.90;6.77;20.66;32.54;11.81;72.15;
91 (s);9.16;3.71;57.32;306.38;335.26;3321.68;12.51;52.41;30.83;6.75;20.66;32.55;11.81;72.81;
96 (s);9.16;3.71;57.31;305.23;330.94;3321.60;12.50;52.42;30.76;6.75;20.67;32.55;11.80;73.15;
101 (s);9.15;3.71;57.32;304.93;332.99;3321.50;12.49;52.41;30.69;6.73;20.67;32.53;11.80;73.05;
106 (s);9.15;3.71;57.30;305.59;331.19;3321.54;12.48;52.42;30.65;6.72;20.66;32.51;11.79;72.84;
111 (s);9.14;3.71;57.31;305.05;333.67;3321.61;12.47;52.43;30.58;6.72;20.66;32.51;11.78;72.54;
116 (s);9.14;3.71;57.32;307.26;333.85;3321.68;12.46;52.43;30.52;6.70;20.68;32.47;11.77;72.20;
121 (s);9.14;3.70;57.30;306.50;333.16;3321.55;12.46;52.41;30.46;6.68;20.70;32.45;11.76;72.01;
127 (s);9.13;3.70;57.32;306.76;335.09;3321.45;12.45;52.42;30.44;6.68;20.70;32.42;11.76;71.92;
132 (s);9.13;3.70;57.31;305.39;332.32;3321.55;12.44;52.42;30.37;6.67;20.70;32.40;11.76;72.15;
137 (s);9.12;3.70;57.31;303.55;331.16;3321.60;12.43;52.44;30.31;6.65;20.71;32.38;11.76;72.69;
142 (s);9.12;3.70;57.22;307.66;332.60;3321.64;12.43;52.44;30.27;6.64;20.72;32.36;11.76;72.99;
147 (s);9.12;3.70;57.06;305.38;335.00;3321.44;12.42;52.46;30.20;6.64;20.70;32.38;11.75;72.87;
152 (s);9.12;3.70;57.07;305.15;332.26;3321.58;12.42;52.45;30.15;6.63;20.69;32.39;11.75;72.55;
