Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);9.54;3.59;76.03;158.28;208.26;3322.09;11.95;53.08;27.45;5.75;21.36;34.91;9.86;72.04;
10 (s);9.56;3.59;76.02;156.15;207.32;3322.09;11.93;53.10;27.47;5.74;21.36;34.97;9.82;72.56;
15 (s);9.58;3.59;76.30;157.17;206.82;3322.32;11.91;53.13;27.51;5.75;21.36;35.07;9.78;72.48;
20 (s);9.59;3.59;76.53;158.16;208.51;3322.11;11.90;53.14;27.54;5.76;21.37;35.21;9.76;72.43;
25 (s);9.60;3.59;76.52;157.27;206.63;3322.12;11.88;53.15;27.57;5.76;21.38;35.27;9.73;71.73;
30 (s);9.62;3.59;76.53;156.84;206.19;3322.10;11.86;53.18;27.62;5.74;21.40;35.37;9.69;71.52;
35 (s);9.63;3.59;76.53;156.49;205.39;3322.40;11.84;53.20;27.66;5.74;21.41;35.42;9.66;72.22;
40 (s);9.65;3.59;76.54;156.10;206.12;3322.25;11.83;53.22;27.71;5.76;21.40;35.48;9.63;73.04;
45 (s);9.66;3.59;76.03;155.77;205.77;3322.24;11.81;53.25;27.77;5.75;21.40;35.58;9.60;74.04;
50 (s);9.67;3.59;75.56;156.34;204.94;3322.35;11.79;53.28;27.84;5.76;21.40;35.67;9.59;73.61;
56 (s);9.69;3.59;74.08;156.47;205.57;3322.13;11.76;53.29;27.94;5.74;21.41;35.76;9.57;71.65;
61 (s);9.70;3.59;73.61;155.48;204.33;3322.36;11.74;53.31;28.00;5.74;21.42;35.83;9.55;72.35;
66 (s);9.72;3.59;73.13;155.93;205.91;3322.25;11.72;53.34;28.06;5.74;21.42;35.87;9.53;73.89;
71 (s);9.73;3.58;72.89;155.82;205.77;3322.20;11.70;53.36;28.12;5.73;21.42;35.92;9.52;73.21;
76 (s);9.74;3.59;72.64;155.20;204.17;3322.33;11.68;53.40;28.23;5.74;21.42;36.03;9.50;72.09;
81 (s);9.76;3.58;71.66;154.66;203.17;3322.30;11.66;53.42;28.32;5.73;21.41;36.07;9.48;74.08;
86 (s);9.77;3.58;71.41;156.09;204.90;3322.18;11.63;53.43;28.39;5.73;21.41;36.12;9.46;72.02;
91 (s);9.77;3.58;58.91;155.68;204.38;3322.24;11.61;53.45;28.47;5.71;21.40;36.21;9.44;73.20;
96 (s);9.77;3.58;57.77;155.62;202.63;3322.33;11.59;53.46;28.57;5.71;21.41;36.25;9.42;74.14;
101 (s);9.78;3.59;57.20;156.00;204.03;3322.36;11.57;53.49;28.60;5.73;21.42;36.32;9.40;72.18;
106 (s);9.78;3.58;59.79;156.99;204.52;3322.41;11.54;53.53;28.58;5.72;21.41;36.38;9.38;74.33;
111 (s);9.79;3.58;58.44;156.19;204.41;3322.47;11.53;53.54;28.59;5.70;21.41;36.41;9.37;71.96;
116 (s);9.80;3.58;61.56;155.13;202.73;3322.19;11.51;53.56;28.59;5.70;21.41;36.39;9.36;73.17;
121 (s);9.80;3.58;70.21;155.48;203.86;3322.26;11.48;53.58;28.36;5.70;21.42;36.42;9.36;74.20;
