Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);7.69;4.76;47.33;539.06;351.11;2853.49;21.56;30.20;24.59;14.20;21.88;26.19;20.46;53.31;
10 (s);7.76;4.73;57.81;538.30;353.93;2853.35;21.43;30.58;24.78;13.97;21.88;26.52;20.21;52.91;
15 (s);7.82;4.69;65.61;538.58;352.34;2853.35;21.31;30.83;24.78;13.77;21.89;26.82;20.00;52.57;
20 (s);7.88;4.66;74.15;537.91;351.49;2853.39;21.21;31.00;24.76;13.57;21.89;27.06;19.82;52.23;
25 (s);7.92;4.64;58.39;538.09;351.60;2853.23;21.11;31.14;24.77;13.39;21.89;27.28;19.65;52.08;
30 (s);7.96;4.62;53.06;536.85;350.68;2853.22;21.01;31.28;24.79;13.27;21.89;27.50;19.49;51.95;
35 (s);8.00;4.61;59.04;539.02;352.57;2853.23;20.90;31.42;24.78;13.18;21.90;27.77;19.30;52.06;
40 (s);8.02;4.59;64.02;539.03;350.44;2853.26;20.81;31.51;24.77;13.09;21.90;27.98;19.14;51.96;
45 (s);8.04;4.59;107.57;540.42;352.88;2853.13;20.72;31.56;24.89;13.06;21.90;28.19;19.00;51.96;
50 (s);8.06;4.58;126.40;537.09;352.67;2853.05;20.63;31.58;25.08;12.99;21.90;28.36;18.87;51.94;
56 (s);8.08;4.56;123.67;538.73;352.73;2853.20;20.53;31.60;25.34;12.86;21.90;28.58;18.71;51.94;
61 (s);8.10;4.54;82.75;540.60;353.15;2853.08;20.44;31.61;25.60;12.74;21.90;28.75;18.60;51.91;
66 (s);8.12;4.52;49.04;538.90;351.64;2853.22;20.37;31.63;25.86;12.60;21.91;28.91;18.49;51.89;
71 (s);8.13;4.51;65.49;539.18;349.20;2853.29;20.29;31.65;26.19;12.52;21.91;29.06;18.38;51.86;
76 (s);8.14;4.50;119.04;540.31;356.22;2853.22;20.22;31.69;26.52;12.47;21.91;29.19;18.29;52.01;
81 (s);8.15;4.49;127.16;540.28;351.81;2853.17;20.13;31.73;26.89;12.40;21.91;29.34;18.17;52.04;
86 (s);8.17;4.48;138.78;539.27;351.62;2853.31;20.07;31.78;27.17;12.31;21.91;29.44;18.07;52.09;
91 (s);8.19;4.46;109.52;536.78;350.10;2853.58;20.00;31.83;27.41;12.18;21.92;29.53;17.98;52.35;
96 (s);8.20;4.44;56.96;539.32;350.68;2853.43;19.94;31.88;27.61;12.06;21.92;29.62;17.90;52.36;
101 (s);8.21;4.43;68.94;540.16;351.82;2853.54;19.88;31.93;27.79;12.01;21.92;29.68;17.81;52.49;
106 (s);8.22;4.42;114.53;540.53;351.32;2853.34;19.80;32.00;28.00;11.95;21.92;29.77;17.72;52.45;
111 (s);8.23;4.42;124.78;536.07;351.70;2853.33;19.74;32.06;28.14;11.90;21.92;29.84;17.65;52.55;
116 (s);8.25;4.40;118.91;540.16;351.28;2853.39;19.69;32.11;28.27;11.80;21.92;29.89;17.58;52.60;
121 (s);8.26;4.39;81.93;539.18;350.67;2853.31;19.63;32.16;28.41;11.70;21.92;29.95;17.52;52.71;
126 (s);8.28;4.37;54.19;539.84;350.51;2853.48;19.56;32.22;28.55;11.61;21.92;30.02;17.45;52.75;
131 (s);8.28;4.37;59.59;539.33;352.03;2853.65;19.50;32.27;28.66;11.57;21.92;30.07;17.38;52.79;
136 (s);8.29;4.36;106.29;540.06;353.09;2853.55;19.45;32.31;28.77;11.53;21.92;30.11;17.33;52.83;
142 (s);8.30;4.36;122.68;539.07;351.70;2853.44;19.39;32.36;28.85;11.50;21.92;30.15;17.28;52.89;
147 (s);8.31;4.35;120.02;538.86;350.42;2853.54;19.34;32.40;28.94;11.43;21.92;30.19;17.23;52.90;
152 (s);8.33;4.33;55.92;540.41;353.04;2853.69;19.28;32.45;29.04;11.32;21.92;30.25;17.17;53.01;
157 (s);8.33;4.33;71.15;541.10;351.74;2853.66;19.23;32.49;29.11;11.29;21.91;30.29;17.13;53.10;
162 (s);8.34;4.32;111.63;541.91;351.14;2853.65;19.18;32.53;29.17;11.26;21.91;30.33;17.09;53.22;
167 (s);8.35;4.32;129.26;539.57;352.88;2853.58;19.12;32.57;29.24;11.23;21.92;30.37;17.04;53.30;
172 (s);8.36;4.31;125.14;540.29;350.34;2853.58;19.07;32.61;29.30;11.17;21.92;30.41;16.99;53.29;
177 (s);8.37;4.30;85.77;540.37;351.27;2853.77;19.03;32.65;29.36;11.08;21.92;30.44;16.95;53.39;
182 (s);8.38;4.29;55.36;539.79;351.76;2853.82;18.98;32.68;29.40;11.00;21.92;30.49;16.90;53.41;
188 (s);8.38;4.28;63.29;538.73;350.03;2853.78;18.93;32.72;29.48;10.97;21.92;30.52;16.85;53.54;
193 (s);8.38;4.28;111.86;537.16;350.65;2853.75;18.89;32.75;29.54;10.95;21.92;30.56;16.82;53.49;
198 (s);8.39;4.28;124.56;540.12;352.40;2853.82;18.85;32.78;29.57;10.93;21.92;30.59;16.78;53.59;
203 (s);8.40;4.26;93.21;539.88;351.62;2853.83;18.81;32.80;29.63;10.85;21.93;30.62;16.70;53.60;
208 (s);8.41;4.26;72.85;539.32;351.44;2853.88;18.76;32.84;29.65;10.79;21.93;30.66;16.64;53.69;
213 (s);8.42;4.25;63.33;539.95;352.75;2854.08;18.71;32.87;29.69;10.75;21.93;30.69;16.59;53.67;
218 (s);8.42;4.25;112.91;539.19;349.54;2853.85;18.67;32.89;29.73;10.74;21.94;30.72;16.56;53.70;
223 (s);8.42;4.24;123.64;538.33;350.32;2853.50;18.62;32.93;29.78;10.70;21.94;30.76;16.52;53.11;
228 (s);8.43;4.23;114.95;538.35;351.82;2853.70;18.57;32.95;29.81;10.58;21.94;30.78;16.49;52.67;
234 (s);8.44;4.22;81.97;538.39;351.88;2853.84;18.52;32.97;29.84;10.51;21.94;30.79;16.46;52.81;
239 (s);8.44;4.21;64.54;537.74;350.68;2853.79;18.47;33.00;29.89;10.44;21.94;30.81;16.43;52.82;
244 (s);8.45;4.20;65.73;538.49;352.48;2853.87;18.42;33.02;29.94;10.40;21.94;30.84;16.39;52.88;
249 (s);8.45;4.20;94.96;539.68;350.67;2853.84;18.37;33.04;29.98;10.37;21.94;30.87;16.34;52.81;
254 (s);8.45;4.19;110.55;538.59;352.04;2853.79;18.33;33.06;30.01;10.36;21.94;30.89;16.31;52.98;
259 (s);8.46;4.19;129.01;538.61;350.05;2853.75;18.29;33.08;30.04;10.35;21.94;30.90;16.27;53.03;
