Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.15;3.22;49.28;109.63;301.98;3331.07;10.74;51.41;25.53;2.68;20.40;33.60;6.80;71.16;
20 (s);9.22;3.23;49.29;111.53;306.12;3330.89;10.75;51.47;25.54;2.73;20.41;33.95;6.85;71.18;
30 (s);9.28;3.23;49.28;110.30;305.51;3331.03;10.78;51.53;25.54;2.77;20.40;34.25;6.88;71.40;
40 (s);9.34;3.24;49.77;109.61;306.30;3331.12;10.81;51.59;25.56;2.82;20.39;34.55;6.90;71.42;
50 (s);9.40;3.25;50.24;108.48;303.27;3331.28;10.84;51.65;25.61;2.88;20.40;34.81;6.93;72.28;
60 (s);9.46;3.25;50.71;109.76;302.66;3331.14;10.85;51.70;25.67;2.91;20.40;35.06;6.96;72.38;
71 (s);9.51;3.25;50.47;109.45;302.61;3331.20;10.86;51.76;25.76;2.95;20.40;35.33;6.99;72.19;
81 (s);9.56;3.26;50.48;108.65;303.42;3331.38;10.87;51.82;25.88;2.98;20.41;35.55;7.00;71.97;
91 (s);9.61;3.26;50.70;109.65;303.55;3331.27;10.88;51.88;26.04;3.01;20.41;35.81;7.03;71.85;
101 (s);9.66;3.27;50.68;109.48;306.86;3331.60;10.88;51.94;26.18;3.05;20.40;36.01;7.07;72.59;
111 (s);9.70;3.27;49.28;108.70;300.71;3331.53;10.89;51.98;26.36;3.07;20.40;36.20;7.09;71.96;
121 (s);9.75;3.27;49.28;108.39;302.05;3331.65;10.89;52.02;26.51;3.10;20.40;36.40;7.10;71.73;
131 (s);9.79;3.27;47.81;108.30;300.08;3331.55;10.91;52.08;26.71;3.12;20.39;36.61;7.11;73.48;
142 (s);9.84;3.28;47.82;107.69;302.37;3331.69;10.93;52.13;26.87;3.14;20.38;36.78;7.13;73.24;
152 (s);9.88;3.28;47.58;108.49;304.39;3331.50;10.94;52.17;27.05;3.16;20.38;36.96;7.14;72.79;
162 (s);9.92;3.28;46.84;108.30;302.55;3331.67;10.95;52.20;27.23;3.18;20.38;37.11;7.16;73.62;
172 (s);9.95;3.28;46.36;108.73;301.09;3331.77;10.97;52.26;27.41;3.20;20.38;37.25;7.17;73.90;
182 (s);9.99;3.29;46.35;107.46;303.08;3331.73;10.98;52.32;27.60;3.22;20.37;37.40;7.18;72.15;
192 (s);10.02;3.29;46.35;106.22;302.97;3331.87;10.98;52.35;27.78;3.24;20.37;37.57;7.19;73.84;
202 (s);10.06;3.29;46.35;107.23;300.87;3331.90;10.98;52.40;27.94;3.26;20.36;37.73;7.20;72.16;
213 (s);10.10;3.29;46.36;106.85;297.92;3331.75;10.98;52.43;28.11;3.28;20.35;37.84;7.21;74.05;
223 (s);10.13;3.29;46.12;105.78;297.51;3331.61;10.98;52.49;28.27;3.30;20.36;37.99;7.23;74.14;
233 (s);10.16;3.30;45.88;105.51;296.92;3331.71;10.97;52.51;28.42;3.32;20.36;38.10;7.24;74.21;
243 (s);10.19;3.30;44.93;106.25;297.34;3331.81;10.97;52.56;28.58;3.33;20.36;38.25;7.24;74.84;
253 (s);10.22;3.30;44.93;105.07;292.71;3331.71;11.00;52.61;28.72;3.33;20.36;38.36;7.24;73.48;
263 (s);10.25;3.30;44.93;104.76;302.34;3331.89;11.04;52.66;28.85;3.34;20.36;38.49;7.25;72.94;
273 (s);10.27;3.30;44.93;105.71;302.57;3331.73;11.07;52.71;29.00;3.36;20.36;38.61;7.26;74.63;
283 (s);10.30;3.30;44.69;104.72;301.33;3331.89;11.09;52.75;29.11;3.38;20.36;38.71;7.27;73.16;
294 (s);10.32;3.31;44.68;105.25;302.15;3331.87;11.09;52.79;29.25;3.40;20.36;38.82;7.28;73.98;
304 (s);10.35;3.31;42.81;105.25;302.84;3331.85;11.09;52.83;29.35;3.42;20.36;38.91;7.30;72.96;
314 (s);10.37;3.31;43.46;103.90;299.91;3332.44;11.10;52.89;29.50;3.45;20.36;39.01;7.32;74.53;
324 (s);10.39;3.31;42.72;103.98;304.66;3332.09;11.10;52.91;29.64;3.46;20.37;39.10;7.33;72.90;
334 (s);10.41;3.32;43.22;104.16;306.45;3332.22;11.11;52.93;29.78;3.49;20.37;39.19;7.35;74.01;
344 (s);10.43;3.32;42.57;103.68;303.06;3332.08;11.12;52.97;29.93;3.49;20.36;39.26;7.36;73.99;
354 (s);10.45;3.32;42.73;103.91;300.69;3332.33;11.15;53.03;30.10;3.50;20.35;39.35;7.38;75.25;
365 (s);10.47;3.32;43.07;103.30;302.99;3332.46;11.17;53.07;30.27;3.52;20.34;39.44;7.39;76.07;
375 (s);10.50;3.32;42.51;102.19;303.83;3332.37;11.19;53.11;30.38;3.51;20.34;39.51;7.39;76.06;
385 (s);10.52;3.32;42.55;102.51;301.50;3332.35;11.21;53.15;30.56;3.53;20.34;39.60;7.40;73.45;
395 (s);10.54;3.32;41.97;102.34;302.51;3332.47;11.22;53.19;30.71;3.54;20.34;39.67;7.41;73.87;
405 (s);10.56;3.32;41.98;102.63;303.27;3332.43;11.22;53.21;30.84;3.55;20.34;39.76;7.42;76.09;
415 (s);10.58;3.32;42.25;101.90;305.87;3332.45;11.22;53.25;30.95;3.56;20.35;39.84;7.44;76.11;
425 (s);10.60;3.33;41.53;100.75;303.74;3332.46;11.23;53.29;31.09;3.57;20.35;39.91;7.45;74.07;
435 (s);10.62;3.33;42.25;100.78;303.98;3332.41;11.24;53.34;31.19;3.59;20.35;39.98;7.46;76.54;
446 (s);10.64;3.33;42.25;100.93;303.58;3332.22;11.24;53.39;31.31;3.60;20.35;40.06;7.47;75.06;
456 (s);10.66;3.33;42.24;100.45;302.45;3332.24;11.25;53.44;31.40;3.60;20.35;40.14;7.48;73.72;
466 (s);10.68;3.33;42.25;100.40;302.45;3332.28;11.26;53.48;31.49;3.62;20.35;40.19;7.49;76.10;
476 (s);10.70;3.33;42.25;100.34;301.70;3332.35;11.27;53.52;31.56;3.62;20.35;40.28;7.50;75.80;
486 (s);10.72;3.33;42.24;101.20;303.38;3332.27;11.29;53.56;31.64;3.63;20.35;40.34;7.52;74.53;
496 (s);10.73;3.33;42.25;101.43;303.16;3332.47;11.32;53.61;31.70;3.65;20.35;40.42;7.53;74.28;
506 (s);10.75;3.34;42.25;100.11;302.45;3332.58;11.34;53.64;31.77;3.66;20.35;40.47;7.55;74.43;
516 (s);10.77;3.34;42.25;99.03;298.71;3332.29;11.37;53.67;31.85;3.66;20.35;40.54;7.56;74.19;
