Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);8.70;3.31;34.01;314.23;503.49;3339.41;11.11;47.45;25.04;3.47;19.50;31.23;10.06;70.70;
20 (s);8.69;3.32;34.01;312.01;503.28;3339.27;11.16;47.60;25.07;3.54;19.48;31.16;10.13;70.10;
30 (s);8.68;3.33;34.01;312.02;499.61;3339.48;11.20;47.73;25.12;3.60;19.48;31.09;10.21;69.99;
40 (s);8.68;3.33;33.77;313.95;502.70;3339.41;11.25;47.82;25.15;3.61;19.48;31.05;10.27;69.20;
50 (s);8.68;3.33;33.76;311.29;501.38;3339.25;11.28;47.89;25.19;3.63;19.50;31.01;10.32;69.49;
61 (s);8.68;3.34;33.76;311.84;493.77;3339.34;11.33;47.94;25.23;3.68;19.50;31.01;10.38;70.37;
71 (s);8.69;3.33;33.76;314.33;500.04;3339.52;11.37;47.99;25.29;3.64;19.50;30.99;10.43;70.73;
81 (s);8.70;3.34;33.76;313.30;498.06;3339.46;11.41;48.02;25.28;3.67;19.49;30.97;10.49;69.38;
91 (s);8.71;3.34;33.77;310.77;493.73;3339.57;11.46;48.05;25.33;3.67;19.49;30.97;10.55;70.78;
101 (s);8.71;3.34;33.76;312.46;495.31;3339.50;11.51;48.06;25.36;3.67;19.50;30.98;10.59;69.91;
111 (s);8.71;3.34;33.77;312.28;494.53;3339.56;11.56;48.09;25.39;3.69;19.49;31.01;10.63;70.22;
121 (s);8.72;3.34;33.75;312.21;491.93;3339.72;11.60;48.13;25.42;3.72;19.49;31.03;10.66;70.00;
131 (s);8.73;3.34;33.76;311.83;491.57;3339.66;11.65;48.14;25.44;3.70;19.49;31.01;10.67;69.44;
