Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);9.74;4.01;98.83;625.70;351.12;3064.51;17.01;51.16;26.76;9.04;23.58;34.44;16.81;71.94;
20 (s);9.73;4.01;100.53;624.30;350.32;3064.62;16.95;51.22;26.83;9.02;23.59;34.54;16.55;72.11;
30 (s);9.72;4.01;100.52;623.47;349.26;3064.56;16.89;51.24;26.89;9.02;23.60;34.62;16.33;72.18;
40 (s);9.71;4.01;100.53;626.22;350.92;3064.53;16.84;51.26;26.95;9.02;23.62;34.63;16.17;71.96;
50 (s);9.69;4.02;100.53;624.86;350.67;3064.56;16.78;51.29;27.03;9.05;23.62;34.70;16.03;71.83;
60 (s);9.68;4.02;99.81;626.19;349.89;3064.38;16.72;51.31;27.11;9.08;23.64;34.72;15.91;71.90;
71 (s);9.66;4.02;99.56;629.55;350.98;3064.33;16.67;51.34;27.21;9.08;23.65;34.73;15.81;71.87;
81 (s);9.65;4.02;99.30;625.36;352.81;3064.43;16.60;51.37;27.33;9.11;23.66;34.69;15.74;71.73;
91 (s);9.62;4.03;98.81;623.16;350.76;3064.25;16.54;51.37;27.46;9.16;23.68;34.69;15.67;71.77;
101 (s);9.61;4.04;98.83;629.00;352.95;3064.33;16.46;51.40;27.63;9.22;23.69;34.64;15.60;72.06;
111 (s);9.59;4.04;98.58;625.59;350.32;3064.39;16.40;51.42;27.81;9.25;23.69;34.63;15.55;71.53;
121 (s);9.59;4.05;97.85;624.20;350.24;3064.35;16.33;51.45;28.02;9.29;23.70;34.60;15.50;71.57;
131 (s);9.59;4.05;93.25;624.63;350.27;3064.20;16.26;51.49;28.26;9.32;23.71;34.60;15.44;72.00;
141 (s);9.59;4.05;86.52;626.56;350.45;3064.23;16.20;51.51;28.51;9.33;23.72;34.62;15.39;71.74;
151 (s);9.59;4.05;62.56;623.95;351.68;3064.47;16.12;51.53;28.79;9.33;23.73;34.65;15.35;71.80;
161 (s);9.57;4.05;63.56;626.03;351.52;3064.48;16.04;51.53;28.94;9.34;23.74;34.69;15.30;71.84;
171 (s);9.55;4.05;64.62;623.36;350.46;3064.49;15.96;51.56;28.92;9.33;23.75;34.66;15.26;71.70;
181 (s);9.53;4.05;70.82;625.22;351.30;3064.30;15.89;51.58;29.44;9.30;23.76;34.64;15.24;71.52;
191 (s);9.52;4.05;81.79;628.33;352.18;3064.34;15.83;51.59;29.99;9.28;23.77;34.60;15.22;71.48;
202 (s);9.52;4.04;80.85;626.08;351.36;3064.42;15.79;51.61;30.61;9.24;23.79;34.60;15.18;71.58;
212 (s);9.53;4.04;74.01;624.99;350.16;3064.35;15.74;51.62;31.07;9.22;23.79;34.60;15.14;71.25;
222 (s);9.54;4.03;68.70;626.35;352.79;3064.27;15.70;51.63;31.44;9.18;23.80;34.60;15.12;71.73;
232 (s);9.55;4.03;70.23;626.22;352.03;3064.35;15.66;51.67;31.66;9.13;23.81;34.62;15.09;71.83;
242 (s);9.57;4.02;57.45;628.73;351.70;3064.31;15.62;51.69;31.82;9.12;23.81;34.63;15.07;71.37;
252 (s);9.58;4.02;59.22;624.95;350.39;3064.21;15.58;51.72;31.97;9.11;23.82;34.65;15.04;71.69;
262 (s);9.59;4.02;63.67;628.12;350.07;3064.32;15.55;51.76;32.05;9.09;23.83;34.66;15.01;71.84;
272 (s);9.60;4.02;54.63;625.01;351.26;3064.37;15.53;51.79;32.12;9.06;23.84;34.70;15.00;72.04;
282 (s);9.62;4.01;54.45;624.89;350.34;3064.33;15.50;51.81;32.14;9.00;23.84;34.73;14.99;71.96;
292 (s);9.64;4.01;52.44;630.73;352.93;3064.48;15.47;51.84;32.13;8.98;23.85;34.77;14.99;72.09;
302 (s);9.65;4.00;54.92;626.39;353.18;3064.35;15.44;51.87;32.14;8.96;23.86;34.80;14.97;71.96;
312 (s);9.66;4.00;52.62;626.36;349.24;3064.59;15.42;51.90;32.22;8.92;23.87;34.83;14.94;72.05;
323 (s);9.67;3.99;53.63;626.71;351.25;3064.54;15.39;51.94;32.29;8.90;23.88;34.84;14.91;71.57;
333 (s);9.68;3.99;52.88;625.23;350.93;3064.39;15.37;51.96;32.29;8.88;23.90;34.88;14.90;71.85;
343 (s);9.68;3.99;52.37;626.90;349.63;3064.39;15.36;51.99;32.18;8.86;23.90;34.89;14.89;71.69;
353 (s);9.69;3.99;51.07;629.84;353.57;3064.43;15.34;52.01;32.10;8.83;23.91;34.91;14.89;71.84;
363 (s);9.70;3.98;49.25;626.53;351.37;3064.63;15.33;52.02;32.02;8.80;23.92;34.94;14.88;71.92;
373 (s);9.71;3.98;48.27;625.24;351.44;3064.29;15.31;52.04;31.91;8.77;23.92;34.98;14.88;71.88;
383 (s);9.71;3.97;47.54;625.21;352.49;3064.57;15.30;52.05;31.82;8.75;23.93;34.98;14.87;71.95;
393 (s);9.72;3.97;47.29;628.89;353.52;3064.37;15.30;52.08;31.72;8.72;23.94;34.99;14.88;71.58;
403 (s);9.72;3.96;46.80;625.83;352.61;3064.25;15.28;52.09;31.65;8.67;23.95;34.99;14.88;71.72;
414 (s);9.73;3.96;46.80;627.54;350.81;3064.48;15.26;52.12;31.60;8.67;23.97;35.00;14.86;71.95;
424 (s);9.73;3.96;46.56;627.04;350.99;3064.38;15.25;52.16;31.56;8.62;23.98;35.05;14.83;71.88;
434 (s);9.74;3.95;46.55;628.22;349.86;3064.33;15.24;52.17;31.52;8.60;23.98;34.99;14.84;72.10;
444 (s);9.74;3.95;46.57;626.32;351.48;3064.48;15.24;52.19;31.50;8.58;23.97;35.00;14.83;72.19;
454 (s);9.75;3.95;46.56;627.84;350.09;3064.24;15.23;52.23;31.46;8.56;23.98;35.00;14.79;71.58;
464 (s);9.75;3.95;46.56;626.82;352.40;3064.55;15.22;52.26;31.43;8.54;23.99;35.01;14.76;72.10;
474 (s);9.75;3.94;46.57;628.50;353.76;3064.34;15.21;52.29;31.43;8.52;23.99;35.02;14.71;71.84;
484 (s);9.76;3.94;46.55;625.29;349.82;3064.40;15.20;52.32;31.41;8.52;24.00;35.02;14.69;71.92;
494 (s);9.76;3.94;46.56;625.86;352.42;3064.48;15.20;52.36;31.39;8.49;24.01;35.03;14.67;72.05;
504 (s);9.76;3.94;46.56;630.91;351.50;3064.60;15.18;52.41;31.38;8.50;24.02;35.04;14.69;72.05;
514 (s);9.76;3.94;46.56;625.96;350.72;3064.34;15.19;52.44;31.36;8.49;24.03;35.07;14.72;71.66;
524 (s);9.76;3.94;46.56;629.13;351.32;3064.37;15.21;52.46;31.34;8.46;24.03;35.07;14.76;71.95;
534 (s);9.77;3.93;46.55;625.48;351.51;3064.48;15.21;52.49;31.33;8.45;24.05;35.07;14.78;72.23;
544 (s);9.77;3.93;46.56;625.51;350.10;3064.46;15.21;52.51;31.33;8.44;24.05;35.07;14.78;71.94;
554 (s);9.77;3.93;46.56;624.65;349.95;3064.44;15.21;52.53;31.33;8.42;24.06;35.08;14.79;72.05;
564 (s);9.77;3.93;46.55;626.35;352.89;3064.36;15.22;52.56;31.32;8.41;24.08;35.10;14.81;71.82;
574 (s);9.77;3.93;46.55;624.68;350.71;3063.61;15.23;52.60;31.31;8.40;24.08;35.12;14.83;69.83;
584 (s);9.75;3.93;46.56;626.62;352.66;3063.67;15.25;52.52;31.30;8.45;24.09;35.13;14.84;68.97;
594 (s);9.75;3.94;46.56;628.32;351.15;3063.50;15.28;52.46;31.29;8.48;24.10;35.02;14.88;69.07;
605 (s);9.76;3.94;45.37;628.21;352.03;3063.57;15.31;52.43;31.29;8.49;24.10;34.99;14.92;69.12;
615 (s);9.76;3.94;44.65;629.20;352.88;3063.48;15.32;52.42;31.27;8.48;24.11;34.99;14.95;68.82;
625 (s);9.77;3.94;44.65;628.35;352.34;3063.66;15.34;52.41;31.25;8.49;24.11;34.98;14.98;69.22;
635 (s);9.77;3.94;44.66;626.43;350.84;3063.42;15.36;52.41;31.23;8.47;24.12;35.00;14.99;69.17;
645 (s);9.77;3.94;44.64;626.68;353.06;3063.66;15.37;52.43;31.21;8.48;24.13;35.01;15.01;69.21;
655 (s);9.77;3.94;44.63;628.00;352.88;3063.61;15.36;52.46;31.20;8.48;24.13;35.01;15.01;69.15;
665 (s);9.78;3.94;44.65;628.81;352.57;3063.59;15.35;52.49;31.18;8.46;24.14;35.00;15.02;68.76;
675 (s);9.79;3.94;44.65;629.32;352.58;3063.85;15.37;52.50;31.16;8.47;24.14;35.00;15.04;68.88;
685 (s);9.79;3.94;44.66;630.42;351.42;3063.49;15.40;52.49;31.14;8.48;24.15;35.02;15.07;68.83;
695 (s);9.80;3.94;44.15;628.82;351.26;3063.66;15.42;52.51;31.12;8.52;24.15;35.03;15.10;69.10;
705 (s);9.80;3.94;44.65;628.70;353.57;3063.53;15.45;52.53;31.11;8.50;24.17;35.05;15.10;69.13;
715 (s);9.80;3.94;44.64;625.47;348.18;3063.66;15.46;52.57;31.10;8.48;24.18;35.06;15.13;69.16;
726 (s);9.80;3.94;44.65;627.32;352.08;3063.55;15.47;52.57;31.10;8.48;24.19;35.06;15.14;68.94;
736 (s);9.81;3.93;44.64;626.02;351.97;3063.61;15.48;52.58;31.07;8.45;24.20;35.06;15.10;69.18;
746 (s);9.82;3.93;44.64;627.52;351.53;3063.65;15.49;52.60;31.04;8.43;24.21;35.07;15.10;68.84;
756 (s);9.82;3.93;44.16;626.54;352.24;3063.62;15.51;52.62;31.02;8.44;24.22;35.08;15.12;69.05;
766 (s);9.83;3.93;44.64;627.51;351.64;3063.57;15.53;52.63;31.00;8.43;24.23;35.09;15.14;68.85;
776 (s);9.83;3.93;44.64;625.28;353.09;3063.61;15.55;52.64;30.97;8.41;24.23;35.14;15.17;68.81;
786 (s);9.84;3.93;44.65;628.23;350.97;3063.65;15.56;52.66;30.95;8.42;24.24;35.13;15.19;69.29;
796 (s);9.84;3.93;44.65;624.44;349.70;3063.44;15.58;52.67;30.92;8.41;24.25;35.16;15.21;69.04;
806 (s);9.85;3.93;44.65;626.99;350.02;3063.67;15.59;52.68;30.88;8.40;24.26;35.17;15.23;69.37;
816 (s);9.86;3.93;44.65;624.94;352.25;3063.71;15.60;52.73;30.85;8.41;24.28;35.17;15.21;69.21;
826 (s);9.87;3.93;44.65;626.74;351.67;3063.71;15.61;52.76;30.82;8.39;24.29;35.16;15.20;69.21;
836 (s);9.87;3.93;44.63;629.67;351.50;3063.67;15.62;52.78;30.77;8.40;24.30;35.20;15.22;69.09;
846 (s);9.88;3.93;44.65;628.17;353.44;3063.90;15.64;52.79;30.73;8.40;24.30;35.18;15.24;69.08;
856 (s);9.89;3.93;44.64;626.81;350.97;3063.46;15.67;52.80;30.66;8.40;24.32;35.19;15.24;69.26;
866 (s);9.89;3.92;44.66;626.00;351.82;3063.53;15.70;52.82;30.63;8.38;24.33;35.20;15.24;68.87;
877 (s);9.89;3.93;44.65;625.25;349.57;3063.68;15.72;52.83;30.59;8.38;24.34;35.21;15.24;69.50;
887 (s);9.90;3.92;44.65;626.74;351.45;3063.51;15.74;52.86;30.55;8.36;24.36;35.23;15.25;69.08;
897 (s);9.91;3.92;44.64;625.03;349.46;3063.60;15.76;52.86;30.50;8.35;24.37;35.23;15.25;69.51;
