Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.46;4.29;54.14;215.04;413.92;3001.22;16.55;61.14;34.89;11.01;25.47;41.41;17.41;73.34;
10 (s);11.46;4.29;54.41;214.96;413.53;3001.30;16.56;61.13;34.89;11.03;25.48;41.37;17.42;73.34;
15 (s);11.46;4.29;54.40;213.44;412.79;3001.25;16.56;61.13;34.89;11.03;25.48;41.35;17.42;73.34;
20 (s);11.46;4.29;54.41;212.96;413.98;3001.15;16.57;61.13;34.85;11.02;25.48;41.38;17.43;73.39;
25 (s);11.46;4.29;54.65;214.27;412.80;3001.36;16.57;61.11;34.83;11.03;25.49;41.43;17.43;73.45;
30 (s);11.46;4.29;55.12;213.30;410.41;3001.31;16.57;61.11;34.83;11.05;25.49;41.43;17.45;73.29;
35 (s);11.46;4.29;55.84;215.16;414.72;3001.32;16.57;61.10;34.83;11.04;25.49;41.40;17.46;73.40;
40 (s);11.46;4.29;55.85;214.91;412.16;3001.31;16.57;61.10;34.79;11.04;25.49;41.35;17.46;73.37;
46 (s);11.47;4.29;55.82;214.89;411.73;3001.26;16.58;61.10;34.79;11.04;25.50;41.33;17.46;73.48;
51 (s);11.46;4.29;55.85;215.40;412.33;3001.25;16.59;61.10;34.78;11.05;25.50;41.37;17.49;73.60;
56 (s);11.47;4.30;56.33;214.54;412.45;3001.30;16.61;61.09;34.72;11.08;25.50;41.37;17.50;73.55;
61 (s);11.47;4.29;56.82;212.63;412.48;3001.41;16.63;61.10;34.69;11.06;25.50;41.39;17.53;73.44;
66 (s);11.47;4.30;57.06;212.20;415.24;3001.29;16.65;61.10;34.72;11.09;25.50;41.38;17.54;73.39;
71 (s);11.46;4.30;57.33;213.51;412.05;3001.14;16.67;61.09;34.69;11.07;25.50;41.43;17.55;73.39;
