Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);8.30;4.30;104.56;160.68;173.56;2023.22;18.87;32.22;30.93;11.08;21.47;30.56;17.49;34.37;
2 (s);8.30;4.30;109.47;158.80;174.63;2023.32;18.87;32.20;30.91;11.10;21.46;30.55;17.33;34.79;
3 (s);8.29;4.30;116.60;159.86;171.48;2023.31;18.87;32.18;30.89;11.13;21.46;30.56;17.20;34.44;
4 (s);8.29;4.31;113.33;158.80;169.55;2023.27;18.86;32.16;30.87;11.15;21.46;30.56;17.08;34.65;
5 (s);8.29;4.31;104.39;158.33;167.37;2023.23;18.86;32.14;30.85;11.16;21.46;30.56;16.98;34.48;
6 (s);8.28;4.31;111.53;159.95;166.81;2023.27;18.85;32.13;30.82;11.18;21.46;30.56;16.89;34.68;
7 (s);8.28;4.31;104.41;157.94;167.36;2023.18;18.85;32.12;30.80;11.18;21.46;30.56;16.83;34.87;
8 (s);8.28;4.32;113.68;161.01;168.71;2023.31;18.85;32.11;30.79;11.21;21.46;30.55;16.80;34.52;
9 (s);8.27;4.32;104.90;158.72;165.73;2023.26;18.85;32.10;30.77;11.23;21.46;30.54;16.75;34.89;
11 (s);8.27;4.32;100.64;159.07;164.42;2023.27;18.84;32.09;30.74;11.23;21.46;30.52;16.69;34.55;
12 (s);8.27;4.32;104.73;158.64;165.68;2023.28;18.84;32.08;30.72;11.26;21.45;30.50;16.62;34.77;
13 (s);8.26;4.32;111.17;160.15;167.67;2023.33;18.83;32.07;30.69;11.27;21.46;30.48;16.56;34.95;
14 (s);8.26;4.33;104.05;159.33;167.43;2023.16;18.83;32.06;30.66;11.28;21.45;30.46;16.49;34.58;
15 (s);8.26;4.33;106.33;159.69;166.38;2023.38;18.82;32.06;30.64;11.29;21.45;30.45;16.43;35.02;
16 (s);8.26;4.33;110.32;158.28;163.08;2023.18;18.81;32.05;30.61;11.30;21.45;30.43;16.37;34.62;
17 (s);8.26;4.33;99.15;159.57;164.23;2023.22;18.81;32.04;30.59;11.31;21.45;30.41;16.33;34.88;
18 (s);8.25;4.33;107.64;158.67;163.54;2023.26;18.80;32.04;30.58;11.33;21.45;30.41;16.32;34.85;
19 (s);8.25;4.34;106.12;159.52;164.93;2023.23;18.80;32.04;30.57;11.34;21.46;30.40;16.29;34.62;
20 (s);8.25;4.33;103.82;158.50;163.60;2023.33;18.80;32.03;30.54;11.34;21.46;30.40;16.26;34.84;
21 (s);8.25;4.34;110.78;158.55;163.80;2023.05;18.79;32.02;30.52;11.36;21.46;30.39;16.22;34.39;
22 (s);8.25;4.34;100.96;159.52;164.23;2023.22;18.78;32.02;30.50;11.35;21.46;30.38;16.18;34.78;
23 (s);8.25;4.34;102.35;159.65;165.07;2023.13;18.78;32.01;30.47;11.36;21.46;30.38;16.14;34.14;
24 (s);8.24;4.34;103.77;157.71;164.38;2023.26;18.77;32.01;30.45;11.37;21.46;30.37;16.10;34.70;
26 (s);8.24;4.34;104.96;157.60;163.79;2023.12;18.77;32.01;30.43;11.38;21.46;30.36;16.06;34.30;
27 (s);8.24;4.34;105.18;156.66;165.30;2023.34;18.76;32.00;30.42;11.38;21.46;30.36;16.03;34.66;
28 (s);8.24;4.34;108.97;169.94;167.61;2023.17;18.76;32.00;30.41;11.39;21.46;30.35;16.01;34.61;
29 (s);8.24;4.34;100.68;176.26;161.03;2023.26;18.76;32.00;30.40;11.39;21.46;30.34;15.99;34.50;
30 (s);8.24;4.34;103.97;178.79;164.44;2023.23;18.75;31.99;30.39;11.39;21.46;30.34;15.97;34.41;
31 (s);8.23;4.34;100.36;176.88;164.35;2023.23;18.74;31.99;30.37;11.40;21.46;30.34;15.94;34.31;
32 (s);8.23;4.34;100.48;177.38;165.08;2023.15;18.73;31.99;30.35;11.40;21.46;30.32;15.92;34.74;
33 (s);8.23;4.34;106.19;178.22;163.18;2023.21;18.73;31.98;30.33;11.41;21.46;30.31;15.89;34.46;
34 (s);8.23;4.34;100.11;178.41;162.30;2023.20;18.72;31.98;30.32;11.40;21.46;30.29;15.86;34.71;
35 (s);8.22;4.34;105.46;178.80;163.01;2023.04;18.71;31.97;30.30;11.41;21.46;30.28;15.83;34.18;
36 (s);8.22;4.34;108.48;177.00;162.17;2023.22;18.71;31.96;30.28;11.41;21.46;30.26;15.80;34.41;
37 (s);8.22;4.34;102.07;176.52;164.52;2023.18;18.70;31.95;30.27;11.41;21.46;30.26;15.77;34.30;
38 (s);8.22;4.34;96.74;176.59;164.45;2023.10;18.70;31.95;30.27;11.41;21.47;30.25;15.76;34.41;
