Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
1 (s);8.13;4.26;70.91;420.95;161.29;2013.39;17.86;32.18;30.05;10.80;21.50;28.98;14.35;36.51;
2 (s);8.12;4.26;106.54;419.63;162.43;2013.21;17.86;32.14;30.01;10.81;21.49;28.88;14.34;36.11;
3 (s);8.12;4.25;57.78;418.83;161.85;2013.30;17.85;32.11;29.98;10.76;21.49;28.79;14.33;36.08;
4 (s);8.10;4.26;106.90;420.86;161.73;2013.41;17.85;32.08;29.94;10.80;21.49;28.71;14.33;36.26;
5 (s);8.10;4.25;66.96;420.44;165.91;2013.15;17.85;32.06;29.93;10.74;21.49;28.66;14.32;36.05;
6 (s);8.09;4.25;93.77;421.67;160.46;2013.26;17.84;32.04;29.92;10.75;21.49;28.63;14.32;36.52;
7 (s);8.08;4.25;110.63;422.53;163.22;2013.24;17.84;32.01;29.89;10.78;21.49;28.56;14.31;36.28;
8 (s);8.08;4.25;45.62;422.36;162.94;2013.19;17.83;31.99;29.87;10.71;21.48;28.50;14.30;36.10;
9 (s);8.07;4.25;110.51;421.30;162.08;2013.12;17.83;31.96;29.85;10.75;21.48;28.44;14.30;36.12;
10 (s);8.07;4.25;80.80;421.72;162.15;2013.03;17.82;31.93;29.81;10.72;21.48;28.37;14.30;35.89;
12 (s);8.07;4.24;60.82;420.20;162.89;2013.35;17.82;31.90;29.79;10.71;21.48;28.31;14.30;35.19;
13 (s);8.05;4.25;124.02;417.48;163.38;2013.09;17.81;31.88;29.75;10.76;21.48;28.25;14.30;35.83;
14 (s);8.05;4.24;55.67;420.90;159.90;2013.24;17.80;31.85;29.74;10.70;21.48;28.20;14.30;35.76;
15 (s);8.05;4.25;86.49;421.91;165.01;2013.06;17.80;31.83;29.72;10.71;21.48;28.16;14.31;35.51;
16 (s);8.04;4.25;110.36;420.98;163.83;2013.22;17.79;31.82;29.70;10.73;21.48;28.15;14.31;35.17;
17 (s);8.04;4.24;60.43;422.30;161.90;2013.20;17.79;31.80;29.68;10.68;21.48;28.12;14.31;36.08;
18 (s);8.03;4.24;98.14;421.56;162.21;2013.14;17.78;31.78;29.66;10.69;21.48;28.08;14.32;36.29;
19 (s);8.03;4.24;95.47;421.55;162.89;2013.39;17.77;31.76;29.62;10.69;21.48;28.04;14.32;36.39;
20 (s);8.02;4.24;61.49;420.38;163.05;2013.19;17.77;31.74;29.59;10.66;21.49;28.01;14.32;35.64;
21 (s);8.02;4.24;111.57;420.80;161.46;2013.27;17.76;31.72;29.55;10.69;21.49;27.97;14.32;36.12;
22 (s);8.02;4.24;73.48;422.62;164.02;2013.16;17.75;31.70;29.52;10.65;21.49;27.94;14.32;35.90;
23 (s);8.01;4.24;89.23;419.22;161.69;2013.26;17.75;31.68;29.49;10.66;21.49;27.91;14.31;35.38;
24 (s);8.01;4.24;95.66;419.03;159.37;2013.23;17.74;31.66;29.46;10.66;21.49;27.90;14.31;35.63;
25 (s);8.00;4.24;64.12;445.82;163.28;2013.16;17.74;31.65;29.45;10.65;21.49;27.89;14.30;36.07;
26 (s);7.99;4.24;101.92;528.46;163.29;2013.01;17.73;31.64;29.42;10.67;21.49;27.87;14.30;35.62;
28 (s);7.99;4.23;73.09;578.80;160.53;2013.03;17.73;31.62;29.38;10.64;21.49;27.85;14.30;35.76;
29 (s);7.97;4.23;80.12;585.53;158.36;2012.97;17.72;31.61;29.35;10.63;21.49;27.82;14.30;35.46;
30 (s);7.96;4.23;97.77;584.71;160.20;2013.01;17.71;31.58;29.30;10.63;21.49;27.74;14.29;34.69;
