Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
10 (s);11.49;4.47;61.44;308.95;360.30;2965.03;17.87;61.12;36.26;12.28;28.24;40.77;18.38;74.08;
20 (s);11.48;4.47;61.18;308.30;363.27;2964.91;17.86;61.10;36.26;12.27;28.25;40.66;18.38;73.96;
30 (s);11.46;4.47;60.94;309.54;360.98;2965.15;17.84;61.09;36.23;12.29;28.24;40.60;18.38;73.95;
40 (s);11.45;4.47;60.69;308.81;360.78;2965.02;17.83;61.09;36.20;12.27;28.24;40.58;18.39;73.82;
50 (s);11.43;4.47;61.19;310.73;361.32;2964.98;17.81;61.06;36.19;12.25;28.25;40.56;18.38;73.80;
61 (s);11.43;4.47;60.69;311.06;358.85;2965.10;17.81;61.04;36.18;12.25;28.26;40.46;18.38;73.81;
71 (s);11.42;4.47;60.94;308.72;360.36;2965.05;17.82;61.02;36.19;12.26;28.28;40.44;18.37;73.81;
81 (s);11.42;4.47;60.70;310.32;360.94;2965.07;17.82;61.01;36.19;12.25;28.28;40.40;18.37;73.81;
91 (s);11.41;4.47;60.70;309.73;359.38;2964.93;17.82;60.98;36.16;12.24;28.26;40.41;18.37;73.82;
101 (s);11.40;4.47;60.46;311.92;361.84;2965.16;17.81;60.97;36.12;12.24;28.23;40.41;18.39;73.70;
111 (s);11.39;4.46;60.46;312.40;361.02;2964.99;17.81;60.95;36.09;12.23;28.26;40.36;18.38;73.61;
121 (s);11.39;4.46;60.46;306.89;356.51;2964.84;17.82;60.93;36.07;12.21;28.30;40.34;18.36;73.69;
132 (s);11.38;4.46;60.45;309.82;362.62;2964.91;17.81;60.91;36.03;12.19;28.30;40.31;18.35;73.75;
142 (s);11.38;4.46;60.44;309.96;360.44;2964.83;17.79;60.90;36.03;12.19;28.28;40.30;18.35;73.63;
152 (s);11.38;4.46;60.46;309.06;362.91;2965.16;17.79;60.88;35.95;12.22;28.27;40.28;18.36;73.62;
162 (s);11.38;4.46;60.45;308.91;358.39;2965.01;17.81;60.87;35.91;12.20;28.28;40.30;18.36;73.70;
172 (s);11.37;4.46;60.44;309.06;361.88;2964.99;17.82;60.85;35.91;12.18;28.30;40.25;18.36;73.63;
182 (s);11.37;4.46;60.45;309.18;360.28;2965.02;17.82;60.84;35.89;12.18;28.30;40.24;18.35;73.57;
192 (s);11.37;4.46;60.45;308.46;357.16;2964.91;17.82;60.81;35.83;12.20;28.30;40.28;18.35;73.53;
202 (s);11.36;4.46;60.45;311.37;359.39;2964.89;17.81;60.80;35.79;12.18;28.29;40.19;18.34;73.59;
213 (s);11.36;4.45;60.45;309.35;359.45;2964.97;17.80;60.79;35.75;12.17;28.31;40.26;18.36;73.57;
223 (s);11.36;4.45;60.46;312.76;362.63;2965.00;17.81;60.79;35.71;12.16;28.34;40.19;18.36;73.45;
233 (s);11.36;4.45;60.45;309.31;358.90;2964.88;17.81;60.76;35.67;12.15;28.32;40.18;18.36;73.55;
243 (s);11.36;4.46;60.44;308.19;356.91;2964.87;17.82;60.75;35.64;12.17;28.33;40.24;18.37;73.53;
253 (s);11.36;4.45;60.44;310.22;360.23;2964.88;17.82;60.73;35.62;12.17;28.33;40.19;18.36;73.63;
263 (s);11.35;4.45;60.45;310.05;359.84;2964.68;17.82;60.73;35.59;12.16;28.34;40.22;18.36;73.52;
273 (s);11.35;4.45;60.45;310.18;358.70;2964.97;17.81;60.72;35.53;12.15;28.36;40.20;18.35;73.71;
283 (s);11.35;4.45;60.44;308.44;361.63;2964.87;17.82;60.71;35.50;12.15;28.38;40.24;18.35;73.55;
294 (s);11.36;4.45;60.44;309.78;360.92;2964.90;17.82;60.70;35.44;12.14;28.39;40.17;18.36;73.58;
304 (s);11.36;4.45;60.45;311.54;361.98;2964.98;17.82;60.69;35.45;12.15;28.37;40.20;18.36;73.58;
314 (s);11.36;4.45;60.46;308.34;358.78;2964.88;17.81;60.68;35.39;12.15;28.36;40.17;18.38;73.49;
324 (s);11.36;4.45;60.46;308.41;356.70;2965.05;17.81;60.66;35.38;12.13;28.34;40.22;18.37;73.52;
334 (s);11.36;4.45;60.46;309.44;360.87;2964.95;17.82;60.65;35.35;12.13;28.34;40.19;18.37;73.57;
344 (s);11.35;4.45;60.47;310.54;361.45;2964.96;17.83;60.64;35.29;12.11;28.35;40.20;18.36;73.48;
354 (s);11.35;4.45;60.45;312.99;364.82;2965.16;17.83;60.64;35.28;12.12;28.39;40.16;18.36;73.73;
365 (s);11.35;4.45;60.45;309.79;362.19;2965.04;17.83;60.62;35.25;12.13;28.42;40.14;18.37;73.42;
375 (s);11.36;4.45;60.93;309.51;361.02;2964.96;17.83;60.61;35.22;12.11;28.44;40.18;18.38;73.62;
385 (s);11.36;4.45;61.19;309.31;359.51;2964.65;17.85;60.60;35.19;12.12;28.44;40.17;18.39;73.64;
395 (s);11.36;4.45;61.42;310.32;363.53;2964.76;17.85;60.60;35.17;12.13;28.41;40.21;18.40;73.59;
405 (s);11.36;4.45;61.18;310.58;363.11;2965.04;17.87;60.55;35.15;12.13;28.41;40.22;18.40;73.69;
415 (s);11.35;4.45;61.44;310.62;359.45;2964.97;17.86;60.52;35.14;12.13;28.42;40.24;18.39;73.51;
425 (s);11.36;4.45;61.44;312.23;360.50;2965.05;17.85;60.51;35.08;12.13;28.43;40.14;18.39;73.53;
435 (s);11.36;4.45;61.42;309.99;359.41;2965.07;17.84;60.52;35.03;12.12;28.41;40.19;18.41;73.69;
446 (s);11.36;4.45;61.43;310.09;360.49;2965.01;17.83;60.52;35.01;12.13;28.41;40.16;18.42;73.53;
456 (s);11.36;4.45;61.69;311.06;353.60;2964.90;17.84;60.51;35.01;12.13;28.40;40.22;18.41;73.56;
466 (s);11.36;4.45;61.67;308.56;359.53;2964.99;17.84;60.50;35.02;12.12;28.41;40.19;18.40;73.49;
476 (s);11.36;4.45;61.68;307.88;357.82;2964.85;17.84;60.50;34.97;12.13;28.44;40.15;18.39;73.60;
486 (s);11.36;4.45;61.68;309.01;360.29;2964.90;17.84;60.50;34.92;12.13;28.45;40.17;18.39;73.46;
496 (s);11.36;4.45;61.67;311.09;360.81;2964.95;17.83;60.50;34.91;12.11;28.46;40.20;18.40;73.54;
506 (s);11.36;4.45;61.67;310.99;359.79;2964.94;17.83;60.48;34.88;12.11;28.46;40.25;18.40;73.49;
517 (s);11.36;4.45;61.92;309.84;360.79;2964.78;17.83;60.49;34.84;12.12;28.46;40.16;18.40;73.51;
527 (s);11.36;4.45;61.94;310.28;359.95;2964.86;17.83;60.50;34.82;12.11;28.45;40.18;18.40;73.64;
537 (s);11.37;4.45;61.94;310.91;364.41;2965.10;17.85;60.48;34.78;12.12;28.48;40.19;18.39;73.64;
547 (s);11.37;4.45;61.92;310.98;360.77;2964.85;17.85;60.48;34.78;12.12;28.48;40.19;18.39;73.49;
557 (s);11.37;4.45;61.91;310.55;359.32;2965.04;17.84;60.47;34.77;12.13;28.48;40.17;18.40;73.50;
567 (s);11.37;4.45;61.93;308.29;362.39;2964.85;17.85;60.47;34.75;12.12;28.48;40.21;18.41;73.66;
577 (s);11.37;4.45;61.94;309.05;355.47;2965.09;17.88;60.42;34.73;12.13;28.49;40.21;18.40;73.53;
587 (s);11.37;4.45;61.92;308.21;359.37;2964.90;17.89;60.42;34.72;12.12;28.50;40.22;18.40;73.60;
598 (s);11.37;4.45;61.92;310.86;361.38;2964.89;17.88;60.43;34.71;12.13;28.52;40.22;18.42;73.55;
608 (s);11.37;4.45;61.92;312.09;362.30;2964.99;17.89;60.43;34.70;12.14;28.52;40.20;18.43;73.54;
618 (s);11.37;4.45;61.93;308.64;356.98;2964.84;17.88;60.42;34.70;12.15;28.53;40.21;18.43;73.57;
628 (s);11.37;4.45;62.18;309.19;363.16;2965.02;17.87;60.41;34.68;12.14;28.54;40.26;18.44;73.53;
638 (s);11.37;4.45;62.17;309.11;359.41;2964.74;17.87;60.41;34.66;12.17;28.53;40.21;18.44;73.50;
648 (s);11.37;4.45;62.42;311.19;359.62;2964.94;17.87;60.40;34.67;12.16;28.54;40.21;18.46;73.67;
658 (s);11.37;4.45;62.41;311.43;364.18;2964.97;17.88;60.41;34.68;12.16;28.54;40.26;18.45;73.71;
669 (s);11.37;4.46;62.66;310.28;361.92;2964.90;17.88;60.39;34.68;12.17;28.55;40.26;18.46;73.50;
679 (s);11.37;4.46;62.41;309.45;363.37;2964.89;17.89;60.40;34.67;12.17;28.56;40.26;18.46;73.54;
689 (s);11.37;4.46;62.42;309.62;362.20;2964.86;17.89;60.40;34.64;12.19;28.55;40.25;18.47;73.48;
699 (s);11.37;4.46;62.41;309.53;362.64;2965.09;17.92;60.38;34.64;12.19;28.54;40.22;18.47;73.61;
709 (s);11.37;4.46;62.41;307.55;359.46;2965.02;17.92;60.37;34.63;12.19;28.55;40.24;18.45;73.55;
719 (s);11.38;4.46;62.41;308.48;360.27;2964.83;17.90;60.34;34.64;12.19;28.56;40.21;18.46;73.53;
729 (s);11.37;4.46;62.41;310.22;359.50;2964.89;17.90;60.35;34.64;12.19;28.57;40.25;18.46;73.62;
740 (s);11.37;4.46;62.41;309.90;360.68;2964.84;17.90;60.36;34.63;12.19;28.58;40.25;18.46;73.59;
750 (s);11.37;4.46;62.42;308.56;360.68;2964.71;17.89;60.37;34.63;12.18;28.58;40.27;18.47;73.55;
760 (s);11.37;4.46;62.42;308.97;360.97;2965.07;17.88;60.35;34.65;12.19;28.60;40.29;18.47;73.71;
770 (s);11.38;4.46;62.41;311.01;359.67;2965.04;17.87;60.35;34.60;12.20;28.59;40.26;18.46;73.74;
780 (s);11.38;4.46;62.41;309.13;361.24;2964.99;17.86;60.35;34.58;12.20;28.61;40.28;18.48;73.54;
790 (s);11.38;4.46;62.40;308.92;361.56;2964.87;17.88;60.36;34.58;12.20;28.62;40.25;18.50;73.59;
800 (s);11.38;4.46;62.43;308.94;360.25;2964.73;17.91;60.33;34.58;12.21;28.62;40.29;18.50;73.69;
810 (s);11.38;4.46;62.43;307.10;358.09;2965.05;17.92;60.31;34.59;12.20;28.62;40.24;18.49;73.62;
821 (s);11.38;4.46;62.40;307.99;358.86;2964.93;17.93;60.30;34.59;12.20;28.64;40.29;18.51;73.52;
831 (s);11.38;4.46;62.42;308.48;362.20;2964.84;17.94;60.30;34.58;12.23;28.64;40.25;18.53;73.54;
841 (s);11.39;4.46;62.42;310.82;363.35;2964.92;17.94;60.30;34.62;12.23;28.64;40.26;18.53;73.70;
851 (s);11.39;4.47;62.41;310.50;360.17;2964.91;17.94;60.27;34.62;12.25;28.64;40.28;18.53;73.58;
861 (s);11.39;4.47;62.42;306.85;358.58;2964.84;17.94;60.27;34.64;12.24;28.65;40.25;18.53;73.78;
871 (s);11.39;4.47;62.40;308.21;359.59;2964.88;17.92;60.28;34.66;12.25;28.66;40.32;18.53;73.68;
